type,created,latitude,longitude,no_sighted,data_source_id,data_source_comments,m,day,year,month,date,date_ymd,time,J,K,L,sum_jkl,srkw_generic,srkw_type,srkw,biggs,sum_srkw_biggs,south,southeast,southwest,north,northeast,northwest,east,west,dir_sum
,2020-01-23 17:05:50,47.4366862,-122.4022532,,1579799150501.0,"visual entry: 12+ orcas Sbound, likely J+Ks",1,23,2020,Jan,Jan-23,2020-1-23,17:05:50,1,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Orca Sighting:,2020-01-25 01:15:06,47.3885993958,-122.372001648,50.0,70552.0,"[Orca Network]: multiple reports of the Southern Residents, members of all three pods present ( probably all of J & K pods and part of L pod) spread out in groups while passing close to shore at Point Robinson, Vashon heading southbound.",1,25,2020,Jan,Jan-25,2020-1-25,01:15:06,1,1,1,3,1,0,1,0,1,1,0,0,0,0,0,0,0,1
Orca Sighting:,2020-02-26 16:15:44,47.6870994568,-122.255996704,12.0,84093.0,J pod hydrophone by J Hyde,2,26,2020,Feb,Feb-26,2020-2-26,16:15:44,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Killer Whale (Orca) Sighting:,2020-02-27 04:15:00,48.51442,-123.16084,1.0,84094.0,j pod by heard by Jeanne hyde,2,27,2020,Feb,Feb-27,2020-2-27,04:15:00,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Killer Whale (Orca) Sighting:,2020-04-01 08:28:00,48.54924,-123.00169,22.0,84971.0,J pod (ON: estimate from Maya's legacy),4,1,2020,Apr,Apr-1,2020-4-1,08:28:00,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Killer Whale (Orca) Sighting:,2020-04-10 23:00:00,48.89434,-123.27777,16.0,85155.0,Jpod Sbound (FB WSSJI),4,10,2020,Apr,Apr-10,2020-4-10,23:00:00,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Southern Resident Killer Whale Sighting:,2020-04-15 16:17:00,44.51606,-122.66465,1.0,85165.0,test,4,15,2020,Apr,Apr-15,2020-4-15,16:17:00,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Southern Resident Killer Whale Sighting:,2020-04-15 16:17:00,44.51606,-122.66465,1.0,85164.0,test,4,15,2020,Apr,Apr-15,2020-4-15,16:17:00,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Killer Whale (Orca),2020-05-04 23:00:00,40.89158,-124.2136,10.0,85898.0,Kpod,5,4,2020,May,May-4,2020-5-4,23:00:00,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
,2020-06-27 01:13:00,48.50475,-123.14736,15.0,118120.0,Fred Horn sights SRKWs from Land Bank (via Facebook),6,27,2020,Jun,Jun-27,2020-6-27,01:13:00,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
,2020-06-29 19:30:00,50.5566,-126.68564,15.0,118118.0,"Jared Towers reports K pod, OrcaLab hydrophones suggest SRKW/S16 calls, video via Explore.org OrcaLab base camera.",6,29,2020,Jun,Jun-29,2020-6-29,19:30:00,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Killer Whale (Orca),2020-07-25 00:00:00,48.69071,-123.15652,17.0,118998.0,"L87 present, xy of Peniel AIS",7,25,2020,Jul,Jul-25,2020-7-25,00:00:00,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Killer Whale (Orca),2020-09-06 00:04:00,48.32815,-123.19591,72.0,121566.0,"SRKW, ais western explorer II",9,6,2020,Sep,Sep-6,2020-9-6,00:04:00,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Killer Whale (Orca),2020-09-06 02:46:00,48.50791,-123.15277,10.0,121568.0,"SRKW, visual from WW point, switched from travelling to NNE to SE",9,6,2020,Sep,Sep-6,2020-9-6,02:46:00,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,2
Unspecified,2020-09-12 06:06:00,48.5541,-123.18184,73.0,121639.0,~60 humans listened to possible superpod of SRKWs Nbound,9,12,2020,Sep,Sep-12,2020-9-12,06:06:00,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Southern Resident Killer Whale,2020-09-24 00:00:00,48.91334,-123.137,25.0,122270.0,J & L pod members sighted by Maya’s Legacy Whale Watching via ON newsletter,9,24,2020,Sep,Sep-24,2020-9-24,00:00:00,1,0,1,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Southern Resident Killer Whale,2020-09-24 09:33:00,48.54966,-123.2071,25.0,122271.0,"Orcasound Lab human detection of ""Orcas"" at 02:33:06 verified by SV as calls of SRKWs",9,24,2020,Sep,Sep-24,2020-9-24,09:33:00,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
Southern Resident Killer Whale,2020-09-25 00:03:00,48.33203,-123.82508,25.0,122277.0,"Westbound (Paul Pudwell, Sooke Coastal Explorations via Orca Network newsletter)",9,25,2020,Sep,Sep-25,2020-9-25,00:03:00,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1
Southern Resident Killer Whale,2020-09-25 02:00:00,48.36482,-123.92587,25.0,122278.0,"Center for Whale Research observed at twilight (~7pm Pacific), but not the newborn per Orca Network newsletter.",9,25,2020,Sep,Sep-25,2020-9-25,02:00:00,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Southern Resident Killer Whale,2020-09-27 21:49:00,48.21547,-123.28314,20.0,122279.0,Lat/lon from WW vessel AIS fix (3kt); SRKW via FB posts,9,27,2020,Sep,Sep-27,2020-9-27,21:49:00,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
Southern Resident Killer Whale,2020-09-28 03:35:00,48.06963,-122.64846,20.0,122280.0,Likely J pod leaders (super faint) southbound.,9,28,2020,Sep,Sep-28,2020-9-28,03:35:00,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1
Southern Resident Killer Whale,2020-09-28 06:00:00,48.0414,-122.61693,20.0,122288.0,SRKWs (likely J pod) heard on Bush Point hydrophones; dark so number approximate...,9,28,2020,Sep,Sep-28,2020-9-28,06:00:00,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
Southern Resident Killer Whale,2020-09-28 11:50:00,48.03774,-122.62824,1.0,122293.0,SRKWs heard on Orcasound: Bush Point hydrophone per Orca Network,9,28,2020,Sep,Sep-28,2020-9-28,11:50:00,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
Orca,2020-09-28 17:17:18,47.7585720662,-122.454005906,15.0,122286.0,Residents ( presumably Js) south of Kingston ferry dock spread in several groups heading northbound. Male in lead that Ive seen so far with several groups of females and young following. West side of channel. Slight breeze with ripple seas. Hundreds of fishing boats.,9,28,2020,Sep,Sep-28,2020-9-28,17:17:18,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1
Southern Resident Killer Whale,2020-09-28 20:06:00,47.91637,-122.51515,15.0,122294.0,Orca Network: whales heard from Pt No Pt at 2am,9,28,2020,Sep,Sep-28,2020-9-28,20:06:00,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Southern Resident Killer Whale,2020-09-28 20:16:00,47.86252,-122.38242,15.0,122295.0,"Orca Network: J pod; surface activity, lots of breaches; may be milling, trending NE.",9,28,2020,Sep,Sep-28,2020-9-28,20:16:00,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1
Southern Resident Killer Whale,2020-09-28 20:45:00,47.9157,-122.34568,15.0,122297.0,Orca Network: At least some of J pod Nbound,9,28,2020,Sep,Sep-28,2020-9-28,20:45:00,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Unspecified,2020-09-28 21:55:00,47.89422,-122.36613,15.0,122298.0,Orca Network: Js now Sbound,9,28,2020,Sep,Sep-28,2020-9-28,21:55:00,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Southern Resident Killer Whale,2020-09-29 16:11:00,47.7563,-122.44062,15.0,122321.0,Orca Network: Likely J pod Nbound.,9,29,2020,Sep,Sep-29,2020-9-29,16:11:00,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Southern Resident Killer Whale,2020-09-29 19:53:00,47.91631,-122.47891,1.0,122322.0,"Orca Network: J pod spread out  SE of Point No Point towards west of South Whidbey in wide expanse. Foraging, milling , breaching. Non directional at this time.",9,29,2020,Sep,Sep-29,2020-9-29,19:53:00,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1
Southern Resident Killer Whale,2020-09-29 21:25:00,47.95449,-122.54689,8.0,122327.0,"Orca Network FB: ~6 females, 1 juvenile, 1 male moving slowly.",9,29,2020,Sep,Sep-29,2020-9-29,21:25:00,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Southern Resident Killer Whale,2020-09-29 22:10:00,47.96599,-122.56577,15.0,122330.0,"Orca Network: foraging, grouped up E of green buoy, no clear direction",9,29,2020,Sep,Sep-29,2020-9-29,22:10:00,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Southern Resident Killer Whale,2020-09-30 00:15:00,48.03084,-122.61482,10.0,122337.0,Orca Network FB: crazy active close to Shore nb,9,30,2020,Sep,Sep-30,2020-9-30,00:15:00,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Southern Resident Killer Whale,2020-09-30 02:28:00,48.14361,-122.68868,1.0,122333.0,WA State Ferries: 8-12 orca moving north.,9,30,2020,Sep,Sep-30,2020-9-30,02:28:00,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Southern Resident Killer Whale,2020-09-30 03:53:00,48.14361,-122.68868,10.0,122334.0,WA State Ferries: 8-12 orca moving north (via ON FB),9,30,2020,Sep,Sep-30,2020-9-30,03:53:00,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Southern Resident Killer Whale,2020-09-30 03:54:00,48.0991,-122.66129,10.0,122335.0,Orca Network FB: several orcas mid-channel & on the Port Townsend side,9,30,2020,Sep,Sep-30,2020-9-30,03:54:00,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Southern Resident Killer Whale,2020-09-30 03:57:00,48.06885,-122.63645,10.0,122336.0,J pod. Super active.,9,30,2020,Sep,Sep-30,2020-9-30,03:57:00,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Southern Resident Killer Whale,2020-09-30 10:35:00,48.55524,-123.18289,24.0,122354.0,"Orcasound: SRKW signals detected 2:14-5:08, with CPA about 3:35",9,30,2020,Sep,Sep-30,2020-9-30,10:35:00,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
Southern Resident Killer Whale,2020-09-30 16:19:00,48.80499,-123.34157,1.0,122356.0,WSSJ: NB,9,30,2020,Sep,Sep-30,2020-9-30,16:19:00,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Southern Resident Killer Whale,2020-09-30 17:26:00,48.86326,-123.30739,24.0,122355.0,WSSJ: NB,9,30,2020,Sep,Sep-30,2020-9-30,17:26:00,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Southern Resident Killer Whale,2020-09-30 20:45:00,49.04645,-123.212,25.0,122357.0,WSSJ: hdg SE,9,30,2020,Sep,Sep-30,2020-9-30,20:45:00,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1
Southern Resident Killer Whale,2020-10-04 18:38:00,48.5504,-123.1839,24.0,122818.0,Orcasound: human detection of J pod calls. Sighting network context suggests they were SB.,10,4,2020,Oct,Oct-4,2020-10-4,18:38:00,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Southern Resident Killer Whale,2020-10-04 19:15:00,48.5071,-123.16975,24.0,122819.0,WSSJ: Milling,10,4,2020,Oct,Oct-4,2020-10-4,19:15:00,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Southern Resident Killer Whale,2020-10-04 20:00:00,48.50259,-123.14572,8.0,122831.0,SV+ON: J pod trailers SB.,10,4,2020,Oct,Oct-4,2020-10-4,20:00:00,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Southern Resident Killer Whale,2020-10-05 00:00:00,48.46424,-123.06342,24.0,122820.0,"WSSJ: J pod SB slow, wide spread.",10,5,2020,Oct,Oct-5,2020-10-5,00:00:00,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Southern Resident Killer Whale,2020-10-06 17:40:00,47.97057,-122.55985,10.0,122871.0,Orca Network: trailers NB; J16s and J11s.,10,6,2020,Oct,Oct-6,2020-10-6,17:40:00,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Southern Resident Killer Whale,2020-10-06 18:38:00,48.00127,-122.62964,10.0,122872.0,VF GS: AIS,10,6,2020,Oct,Oct-6,2020-10-6,18:38:00,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Southern Resident Killer Whale,2020-10-06 19:06:00,48.03844,-122.62222,10.0,122874.0,Orcasound: S1 & S4 calls detected by listeners.,10,6,2020,Oct,Oct-6,2020-10-6,19:06:00,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Southern Resident Killer Whale,2020-10-07 05:35:00,48.50345,-123.17079,24.0,122909.0,Orca Network: listener detections on Lime Kiln hydrophone,10,7,2020,Oct,Oct-7,2020-10-7,05:35:00,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Southern Resident Killer Whale,2020-10-07 05:44:00,48.53976,-123.23697,24.0,122886.0,"Orcasound: human detection (likely Jpod calls, NB, but distant/reverberant)",10,7,2020,Oct,Oct-7,2020-10-7,05:44:00,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Southern Resident Killer Whale,2020-10-07 10:30:00,48.54962,-123.17914,24.0,122885.0,Orcasound: J pod calls detected,10,7,2020,Oct,Oct-7,2020-10-7,10:30:00,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Southern Resident Killer Whale,2020-10-07 15:15:00,48.49004,-123.11713,8.0,122888.0,"WSSJI: Jpod milling, then SB",10,7,2020,Oct,Oct-7,2020-10-7,15:15:00,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Southern Resident Killer Whale,2020-10-07 19:00:00,48.4863,-123.10884,15.0,122889.0,"WSSJI: hearing blows in fog, likely milling most of morning",10,7,2020,Oct,Oct-7,2020-10-7,19:00:00,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Southern Resident Killer Whale,2020-10-07 22:20:00,48.46572,-123.06256,15.0,122890.0,WW AIS: between False Bay &  Eagle point during afternoon,10,7,2020,Oct,Oct-7,2020-10-7,22:20:00,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Southern Resident Killer Whale,2020-10-08 06:14:00,48.48865,-123.11844,15.0,122887.0,WSSJI: 15+ NB,10,8,2020,Oct,Oct-8,2020-10-8,06:14:00,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Southern Resident Killer Whale,2020-10-16 12:15:00,48.03935,-122.62286,24.0,123331.0,"Orcasound listener hears calls from 04:50-05:30 at Bush Point (via email from LA to ON). J pod sighted later in a.m. off Kingston, so assume SB.",10,16,2020,Oct,Oct-16,2020-10-16,12:15:00,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Orca,2020-10-17 22:56:46,47.7607643975,-122.439018282,24.0,123247.0,J pod spread out mid channel and each side of foraging while traveling slowly northbound.,10,17,2020,Oct,Oct-17,2020-10-17,22:56:46,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1
Orca,2020-10-19 17:30:07,48.0284556244,-122.636794877,24.0,123309.0,J pod spread out across Admiraty heading northbound out from Bush Point 10:30-10:55.,10,19,2020,Oct,Oct-19,2020-10-19,17:30:07,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1
Orca,2020-10-19 19:03:54,48.109975362,-122.660917558,24.0,123308.0,SRKWs: J pod spread out heading northbound.,10,19,2020,Oct,Oct-19,2020-10-19,19:03:54,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1
Southern Resident Killer Whale,2020-10-21 07:41:00,48.5528,-123.18589,24.0,123354.0,Orcasound human+machine detections: J pod NB from PS.,10,21,2020,Oct,Oct-21,2020-10-21,07:41:00,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
