type,created,latitude,longitude,no_sighted,data_source_id,data_source_comments,m,day,year,month,date,date_ymd,time,J,K,L,sum_jkl,srkw_generic,srkw_type,srkw,biggs,sum_srkw_biggs,south,southeast,southwest,north,northeast,northwest,east,west,dir_sum
Southern Resident Killer Whale,2022-01-01 23:30:00,48.58771,-123.03896,24.0,139411.0,[WSSJI FB: J pod southbound spread out],1,1,2022,Jan,Jan-1,2022-1-1,23:30:00,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1
Southern Resident Killer Whale,2022-01-02 00:00:00,48.54773,-122.99467,24.0,139409.0,"[Orca Network, Cindy Hansen: J pod southbound]",1,2,2022,Jan,Jan-2,2022-1-2,00:00:00,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1
Southern Resident Killer Whale,2022-01-02 16:58:00,47.7573,-122.42854,10.0,139404.0,[Orca Network: WSF reports 8-10 milling. Later confirmed J Pod],1,2,2022,Jan,Jan-2,2022-1-2,16:58:00,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Southern Resident Killer Whale,2022-01-02 17:10:00,47.68663,-122.47385,1.0,139405.0,[Orca Network: Southbound. J pod. Lead],1,2,2022,Jan,Jan-2,2022-1-2,17:10:00,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1
Southern Resident Killer Whale,2022-01-02 19:45:00,48.74937,-123.07278,24.0,139410.0,"[WSSJI FB, OBI: southwest bound]",1,2,2022,Jan,Jan-2,2022-1-2,19:45:00,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1
Southern Resident Killer Whale,2022-01-02 20:30:00,47.52628,-122.43564,24.0,139407.0,[Orca Network: southbound. Confirmed later as Js],1,2,2022,Jan,Jan-2,2022-1-2,20:30:00,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1
Southern Resident Killer Whale,2022-01-02 21:00:00,47.44432,-122.40656,24.0,139408.0,[Orca Network; southbound w/some directional changes. Spread out whales. Later confirmed Js],1,2,2022,Jan,Jan-2,2022-1-2,21:00:00,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1
Southern Resident Killer Whale,2022-01-02 21:40:00,47.38487,-122.3692,24.0,139403.0,[Orcasound] S1 call on Point Robinson hydrophone,1,2,2022,Jan,Jan-2,2022-1-2,21:40:00,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Southern Resident Killer Whale,2022-01-02 22:01:00,47.61447,-122.45806,24.0,139406.0,"[Orca Network: Southbound, spread in all directions.  Confirmed later as Js]",1,2,2022,Jan,Jan-2,2022-1-2,22:01:00,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1
Southern Resident Killer Whale,2022-01-02 22:50:00,47.33367,-122.44612,24.0,139419.0,[Orca Network FB] J pod spread out southbound,1,2,2022,Jan,Jan-2,2022-1-2,22:50:00,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1
Southern Resident Killer Whale,2022-01-02 23:45:00,47.31924,-122.46964,24.0,139431.0,[Orca Network FB] milling,1,2,2022,Jan,Jan-2,2022-1-2,23:45:00,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Southern Resident Killer Whale,2022-01-03 00:33:00,47.30889,-122.50895,24.0,139433.0,[Orca Network FB] J pod eastbound,1,3,2022,Jan,Jan-3,2022-1-3,00:33:00,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1
Southern Resident Killer Whale,2022-01-03 18:30:00,47.46639,-122.41668,24.0,139437.0,[Orca Network FB] J pod southbound,1,3,2022,Jan,Jan-3,2022-1-3,18:30:00,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1
Southern Resident Killer Whale,2022-01-03 21:12:00,47.38068,-122.35797,24.0,139436.0,"[Orca Network FB]  J pod grouped up, traveling southbound, silent on the hydrophone",1,3,2022,Jan,Jan-3,2022-1-3,21:12:00,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1
Southern Resident Killer Whale,2022-01-03 22:00:00,47.34999,-122.40741,24.0,139438.0,[Orca Network FB] southbound,1,3,2022,Jan,Jan-3,2022-1-3,22:00:00,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1
Southern Resident Killer Whale,2022-01-03 22:50:00,47.31881,-122.48981,24.0,139439.0,[Orca Network FB] westbound,1,3,2022,Jan,Jan-3,2022-1-3,22:50:00,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1
Southern Resident Killer Whale,2022-01-09 19:03:00,48.74421,-123.28904,24.0,139617.0,J pod traveling northwest,1,9,2022,Jan,Jan-9,2022-1-9,19:03:00,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1
Southern Resident Killer Whale,2022-01-09 21:51:00,48.86609,-123.41984,24.0,139616.0,J pod northbound,1,9,2022,Jan,Jan-9,2022-1-9,21:51:00,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1
Killer Whale (Orca),2022-01-12 23:06:00,48.56663,-123.01541,11.0,139614.0,"[WSSJI] 10-12 orcas eastbound, possibly J pod",1,12,2022,Jan,Jan-12,2022-1-12,23:06:00,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1
Southern Resident Killer Whale,2022-01-18 23:40:00,48.13427,-122.55812,24.0,139749.0,[Orca Network: northbound. Confirmed later as J pod],1,18,2022,Jan,Jan-18,2022-1-18,23:40:00,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1
Southern Resident Killer Whale,2022-01-19 00:30:00,48.10155,-122.52164,24.0,139750.0,[Orca Network: J pod spread out milling trending southbound],1,19,2022,Jan,Jan-19,2022-1-19,00:30:00,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1
Southern Resident Killer Whale,2022-01-19 02:40:00,48.03502,-122.36989,24.0,139751.0,"[Orca Network: J pod southbound in several groups... \""southbound past Sandy Point. You can see them under the moon and city light, hear the blows and tail slaps\""]",1,19,2022,Jan,Jan-19,2022-1-19,02:40:00,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1
Southern Resident Killer Whale,2022-01-20 18:20:00,48.54683,-123.18994,24.0,139764.0,"[Orcasound] J pod calls detected by humans and machines (S1s, S4s, whistles, clicks).",1,20,2022,Jan,Jan-20,2022-1-20,18:20:00,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Southern Resident Killer Whale,2022-01-20 18:50:00,48.5616,-123.18994,4.0,139765.0,[WSSJI] northbound,1,20,2022,Jan,Jan-20,2022-1-20,18:50:00,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1
Southern Resident Killer Whale,2022-01-20 22:10:00,48.74568,-123.29787,24.0,139766.0,[WSSJI] J pod northbound,1,20,2022,Jan,Jan-20,2022-1-20,22:10:00,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1
Unspecified,2022-01-22 20:45:00,48.51209,-123.16076,15.0,139901.0,"[WSSJI] L pod calls, whistles, clicks heard by Alisa at Lime Kiln.",1,22,2022,Jan,Jan-22,2022-1-22,20:45:00,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Southern Resident Killer Whale,2022-01-23 00:30:00,48.354,-123.03167,15.0,139904.0,[WSSJI] L pod southbound.,1,23,2022,Jan,Jan-23,2022-1-23,00:30:00,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1
Southern Resident Killer Whale,2022-01-25 21:20:00,48.48115,-123.11956,15.0,139902.0,"[WSSJI] L pod southbound, including L91 Muncher.",1,25,2022,Jan,Jan-25,2022-1-25,21:20:00,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1
Southern Resident Killer Whale,2022-01-25 22:50:00,48.43379,-123.05021,15.0,139903.0,"[WSSJI] L pod southbound,  likely the L4s, L47s, L72s, L87, and L90.",1,25,2022,Jan,Jan-25,2022-1-25,22:50:00,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1
Southern Resident Killer Whale,2022-01-26 19:07:00,48.58289,-123.02567,24.0,139899.0,"[Orca Network] WSF reports 12-24 orcas southbound, later confirmed J pod",1,26,2022,Jan,Jan-26,2022-1-26,19:07:00,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1
Southern Resident Killer Whale,2022-01-26 20:25:00,48.54665,-122.93108,24.0,139900.0,[WSSJI] J pod eastbound,1,26,2022,Jan,Jan-26,2022-1-26,20:25:00,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1
Southern Resident Killer Whale,2022-01-28 21:35:00,48.40155,-123.12368,5.0,139929.0,[WSSJI] blows heading NE with J and or L pod calls heard.,1,28,2022,Jan,Jan-28,2022-1-28,21:35:00,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1
Southern Resident Killer Whale,2022-02-11 16:45:00,48.32365,-123.70664,24.0,140127.0,"[WSOPS FB] Presumably J Pod.  Whale Spotters Otter Point and Sooke FB group:  08:45 -7-8  (incl 2 males) heading east. Steady pace . 
",2,11,2022,Feb,Feb-11,2022-2-11,16:45:00,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1
Southern Resident Killer Whale,2022-02-11 18:20:00,48.29569,-123.65568,24.0,140230.0,[CWR] encounter start (from report) ,2,11,2022,Feb,Feb-11,2022-2-11,18:20:00,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Southern Resident Killer Whale,2022-02-11 19:00:00,48.28974,-123.55695,24.0,140126.0,[Orca Network] NE bound CWR return message to ON. ,2,11,2022,Feb,Feb-11,2022-2-11,19:00:00,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1
Southern Resident Killer Whale,2022-02-12 07:45:00,48.54192,-123.23264,24.0,140132.0,"[Orcasound] SRKW calls, mainly faint S19s",2,12,2022,Feb,Feb-12,2022-2-12,07:45:00,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
Southern Resident Killer Whale,2022-02-12 17:00:00,48.87631,-123.30302,24.0,140131.0,[SSOS]  J pod northbound,2,12,2022,Feb,Feb-12,2022-2-12,17:00:00,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1
Southern Resident Killer Whale,2022-02-15 19:30:00,48.56379,-123.01184,24.0,140215.0,[WSSJI] J pod southbound<br><br>Submitted by a Trusted Observer,2,15,2022,Feb,Feb-15,2022-2-15,19:30:00,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1
Southern Resident Killer Whale,2022-02-15 19:30:00,48.56379,-123.01184,24.0,140215.0,[WSSJI] J pod southbound,2,15,2022,Feb,Feb-15,2022-2-15,19:30:00,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1
Southern Resident Killer Whale,2022-02-15 20:05:00,48.54192,-122.98944,24.0,140216.0,[WSSJI] J pod leaders heading southeast,2,15,2022,Feb,Feb-15,2022-2-15,20:05:00,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,2
Southern Resident Killer Whale,2022-02-15 21:30:00,48.5497,-122.92713,24.0,140217.0,[WSSJI] J pod heading northeast<br><br>Submitted by a Trusted Observer,2,15,2022,Feb,Feb-15,2022-2-15,21:30:00,1,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,2
Southern Resident Killer Whale,2022-02-15 21:30:00,48.5497,-122.92713,24.0,140217.0,[WSSJI] J pod heading northeast,2,15,2022,Feb,Feb-15,2022-2-15,21:30:00,1,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,2
Southern Resident Killer Whale,2022-02-16 16:30:00,48.72933,-123.18924,24.0,140225.0,[Orca Network] westbound<br><br>Submitted by a Trusted Observer,2,16,2022,Feb,Feb-16,2022-2-16,16:30:00,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1
Southern Resident Killer Whale,2022-02-16 16:30:00,48.72933,-123.18924,24.0,140225.0,[Orca Network] westbound,2,16,2022,Feb,Feb-16,2022-2-16,16:30:00,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1
Southern Resident Killer Whale,2022-02-17 02:00:00,48.94118,-123.52986,24.0,140229.0,"[SSOS] J pod northbound, sunset video",2,17,2022,Feb,Feb-17,2022-2-17,02:00:00,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1
Southern Resident Killer Whale,2022-02-21 23:50:00,48.58537,-122.87358,24.0,140305.0,[WSSJI] J pod eastbound,2,21,2022,Feb,Feb-21,2022-2-21,23:50:00,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1
Southern Resident Killer Whale,2022-02-25 21:15:00,48.6899,-123.24807,24.0,140388.0,[WSSJI] J pod southbound<br><br>Submitted by a Trusted Observer,2,25,2022,Feb,Feb-25,2022-2-25,21:15:00,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1
Southern Resident Killer Whale,2022-02-25 21:15:00,48.6899,-123.24807,24.0,140388.0,[WSSJI] J pod southbound,2,25,2022,Feb,Feb-25,2022-2-25,21:15:00,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1
Southern Resident Killer Whale,2022-02-25 22:45:00,48.55658,-123.2325,24.0,140410.0,[Orcasound] J pod echolocation<br><br>Submitted by a Trusted Observer,2,25,2022,Feb,Feb-25,2022-2-25,22:45:00,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Southern Resident Killer Whale,2022-02-25 22:45:00,48.55658,-123.2325,24.0,140410.0,[Orcasound] J pod echolocation,2,25,2022,Feb,Feb-25,2022-2-25,22:45:00,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Southern Resident Killer Whale,2022-02-25 23:25:00,48.53499,-123.22032,24.0,140411.0,[WSSJI] J pod southbound in large resting group<br><br>Submitted by a Trusted Observer,2,25,2022,Feb,Feb-25,2022-2-25,23:25:00,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1
Southern Resident Killer Whale,2022-02-25 23:25:00,48.53499,-123.22032,24.0,140411.0,[WSSJI] J pod southbound in large resting group,2,25,2022,Feb,Feb-25,2022-2-25,23:25:00,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1
Southern Resident Killer Whale,2022-02-26 01:00:00,48.44101,-123.02995,24.0,140425.0,[WSSJI+] J pod spread out southbound,2,26,2022,Feb,Feb-26,2022-2-26,01:00:00,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1
Southern Resident Killer Whale,2022-02-26 22:50:00,48.73986,-123.28916,24.0,140430.0,"[WSSJI] J pod hdg NW,  then S",2,26,2022,Feb,Feb-26,2022-2-26,22:50:00,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1
Southern Resident Killer Whale,2022-02-28 08:59:00,48.55126,-123.22876,24.0,140518.0,[Orcasound] SRKW calls detected by OrcaHello AI,2,28,2022,Feb,Feb-28,2022-2-28,08:59:00,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
Southern Resident Killer Whale,2022-03-01 18:22:00,48.5595,-123.20116,24.0,140520.0,"[Orcasound] Humans detect SRKW whistles, then calls<br><br>Submitted by a Trusted Observer",3,1,2022,Mar,Mar-1,2022-3-1,18:22:00,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
Southern Resident Killer Whale,2022-03-01 18:22:00,48.5595,-123.20116,24.0,140520.0,"[Orcasound] Humans detect SRKW whistles, then calls",3,1,2022,Mar,Mar-1,2022-3-1,18:22:00,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
Southern Resident Killer Whale,2022-03-01 18:45:00,48.53632,-123.18914,24.0,140521.0,[WSSJI] J pod southbound,3,1,2022,Mar,Mar-1,2022-3-1,18:45:00,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1
Southern Resident Killer Whale,2022-03-01 18:45:00,48.53632,-123.18914,24.0,140521.0,[WSSJI] J pod southbound<br><br>Submitted by a Trusted Observer,3,1,2022,Mar,Mar-1,2022-3-1,18:45:00,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1
Southern Resident Killer Whale,2022-03-01 19:03:00,48.50903,-123.17506,24.0,140522.0,[WSSJI] J pod in 2 groups heading southwest<br><br>Submitted by a Trusted Observer,3,1,2022,Mar,Mar-1,2022-3-1,19:03:00,1,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,2
Southern Resident Killer Whale,2022-03-01 19:03:00,48.50903,-123.17506,24.0,140522.0,[WSSJI] J pod in 2 groups heading southwest,3,1,2022,Mar,Mar-1,2022-3-1,19:03:00,1,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,2
Southern Resident Killer Whale,2022-03-01 20:01:00,48.47376,-123.18571,24.0,140523.0,[WSSJI] J pod including large male heading south or southwest<br><br>Submitted by a Trusted Observer,3,1,2022,Mar,Mar-1,2022-3-1,20:01:00,1,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,2
Southern Resident Killer Whale,2022-03-01 20:01:00,48.47376,-123.18571,24.0,140523.0,[WSSJI] J pod including large male heading south or southwest,3,1,2022,Mar,Mar-1,2022-3-1,20:01:00,1,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,2
Southern Resident Killer Whale,2022-03-02 01:02:00,48.54206,-123.17747,24.0,140534.0,"[Orcasound] SRKW calls and clicks, J pod northbound w CWR vessel",3,2,2022,Mar,Mar-2,2022-3-2,01:02:00,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1
Southern Resident Killer Whale,2022-03-02 01:02:00,48.54206,-123.17747,24.0,140534.0,"[Orcasound] SRKW calls and clicks, J pod northbound w CWR vessel<br><br>Submitted by a Trusted Observer",3,2,2022,Mar,Mar-2,2022-3-2,01:02:00,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1
Southern Resident Killer Whale,2022-03-02 03:30:00,48.53854,-123.17129,1.0,140537.0,[WSSJ] lone orca came close from the south and then turned around,3,2,2022,Mar,Mar-2,2022-3-2,03:30:00,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Southern Resident Killer Whale,2022-03-02 03:30:00,48.53854,-123.17129,1.0,140537.0,[WSSJ] lone orca came close from the south and then turned around<br><br>Submitted by a Trusted Observer,3,2,2022,Mar,Mar-2,2022-3-2,03:30:00,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Southern Resident Killer Whale,2022-03-07 20:30:00,48.6574,-123.03276,4.0,140749.0,"[WSSJI] J pod, southbound<br><br>Submitted by a Trusted Observer",3,7,2022,Mar,Mar-7,2022-3-7,20:30:00,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1
Southern Resident Killer Whale,2022-03-07 20:30:00,48.6574,-123.03276,4.0,140749.0,"[WSSJI] J pod, southbound",3,7,2022,Mar,Mar-7,2022-3-7,20:30:00,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1
Southern Resident Killer Whale,2022-03-07 21:30:00,48.54138,-122.98916,24.0,140756.0,"[WSSJI] J pod, eastbound",3,7,2022,Mar,Mar-7,2022-3-7,21:30:00,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1
Southern Resident Killer Whale,2022-03-07 21:30:00,48.54138,-122.98916,24.0,140756.0,"[WSSJI] J pod, eastbound<br><br>Submitted by a Trusted Observer",3,7,2022,Mar,Mar-7,2022-3-7,21:30:00,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1
Southern Resident Killer Whale,2022-03-07 21:30:00,48.61344,-123.05989,24.0,140752.0,"[WSSJI] J pod, heading S or SW",3,7,2022,Mar,Mar-7,2022-3-7,21:30:00,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1
Southern Resident Killer Whale,2022-03-07 21:30:00,48.61344,-123.05989,24.0,140752.0,"[WSSJI] J pod, heading S or SW<br><br>Submitted by a Trusted Observer",3,7,2022,Mar,Mar-7,2022-3-7,21:30:00,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1
Southern Resident Killer Whale,2022-03-07 21:44:00,48.60249,-123.06812,24.0,140753.0,"[WSSJI] J pod, S",3,7,2022,Mar,Mar-7,2022-3-7,21:44:00,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Southern Resident Killer Whale,2022-03-07 21:44:00,48.60249,-123.06812,24.0,140753.0,"[WSSJI] J pod, S<br><br>Submitted by a Trusted Observer",3,7,2022,Mar,Mar-7,2022-3-7,21:44:00,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Southern Resident Killer Whale,2022-03-07 22:05:00,48.59341,-123.06023,24.0,140754.0,"[WSSJI] J pod, S, pretty spread out – a big male closer to SJI and the others— including a fun breach — closer to the Deer Harbor side",3,7,2022,Mar,Mar-7,2022-3-7,22:05:00,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Southern Resident Killer Whale,2022-03-07 22:05:00,48.59341,-123.06023,24.0,140754.0,"[WSSJI] J pod, S, pretty spread out – a big male closer to SJI and the others— including a fun breach — closer to the Deer Harbor side<br><br>Submitted by a Trusted Observer",3,7,2022,Mar,Mar-7,2022-3-7,22:05:00,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Southern Resident Killer Whale,2022-03-07 22:50:00,48.55047,-122.99946,24.0,140755.0,"[WSSJI] J pod, S",3,7,2022,Mar,Mar-7,2022-3-7,22:50:00,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Southern Resident Killer Whale,2022-03-07 22:50:00,48.55047,-122.99946,24.0,140755.0,"[WSSJI] J pod, S<br><br>Submitted by a Trusted Observer",3,7,2022,Mar,Mar-7,2022-3-7,22:50:00,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Southern Resident Killer Whale,2022-03-07 23:46:00,48.53837,-122.96744,24.0,140757.0,"[WSSJI] J pod, eastbound",3,7,2022,Mar,Mar-7,2022-3-7,23:46:00,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1
Southern Resident Killer Whale,2022-03-07 23:46:00,48.53837,-122.96744,24.0,140757.0,"[WSSJI] J pod, eastbound<br><br>Submitted by a Trusted Observer",3,7,2022,Mar,Mar-7,2022-3-7,23:46:00,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1
Southern Resident Killer Whale,2022-03-08 00:20:00,48.54058,-122.95731,24.0,140758.0,"[WSSJI] J pod,  heading northeast (ON, WSF)<br><br>Submitted by a Trusted Observer",3,8,2022,Mar,Mar-8,2022-3-8,00:20:00,1,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,2
Southern Resident Killer Whale,2022-03-08 00:20:00,48.54058,-122.95731,24.0,140758.0,"[WSSJI] J pod,  heading northeast (ON, WSF)",3,8,2022,Mar,Mar-8,2022-3-8,00:20:00,1,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,2
Southern Resident Killer Whale,2022-03-08 00:40:00,48.54155,-122.93895,24.0,140759.0,"[WSSJI] J pod, trending north (Cy Scammell)",3,8,2022,Mar,Mar-8,2022-3-8,00:40:00,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Southern Resident Killer Whale,2022-03-08 00:40:00,48.54155,-122.93895,24.0,140759.0,"[WSSJI] J pod, trending north (Cy Scammell)<br><br>Submitted by a Trusted Observer",3,8,2022,Mar,Mar-8,2022-3-8,00:40:00,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Southern Resident Killer Whale,2022-03-08 01:12:00,48.56308,-122.9047,24.0,140760.0,"[WSSJI] J pod, milling (ON, WSF)",3,8,2022,Mar,Mar-8,2022-3-8,01:12:00,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Southern Resident Killer Whale,2022-03-08 01:12:00,48.56308,-122.9047,24.0,140760.0,"[WSSJI] J pod, milling (ON, WSF)<br><br>Submitted by a Trusted Observer",3,8,2022,Mar,Mar-8,2022-3-8,01:12:00,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Southern Resident Killer Whale,2022-03-11 00:50:00,48.53899,-123.17583,24.0,140795.0,"[WSSJI] J pod, northbound, J16s with Mike trailing",3,11,2022,Mar,Mar-11,2022-3-11,00:50:00,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1
Southern Resident Killer Whale,2022-03-11 00:50:00,48.53899,-123.17583,24.0,140795.0,"[WSSJI] J pod, northbound, J16s with Mike trailing<br><br>Submitted by a Trusted Observer",3,11,2022,Mar,Mar-11,2022-3-11,00:50:00,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1
Southern Resident Killer Whale,2022-03-11 02:00:00,48.55683,-123.18758,24.0,140796.0,"[Orcasound] J pod call, plus clicks and whistles 1643-1910.<br><br>Submitted by a Trusted Observer",3,11,2022,Mar,Mar-11,2022-3-11,02:00:00,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Southern Resident Killer Whale,2022-03-11 02:00:00,48.55683,-123.18758,24.0,140796.0,"[Orcasound] J pod call, plus clicks and whistles 1643-1910.",3,11,2022,Mar,Mar-11,2022-3-11,02:00:00,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
