type,created,latitude,longitude,no_sighted,data_source_id,data_source_comments,m,day,year,month,date,date_ymd,J,K,L,biggs,sum_jkl,sum_jkl_biggs,south,southeast,southwest,north,northeast,northwest,east,west,dir_sum
Southern Resident Killer Whale,2023-01-02 21:29:00,47.75505,-122.43655,17.0,153567.0,"[ Orca  Network] Group Ine orcas, at least some K pod members  Southbound spread in singles mid Chanel’s to each side of and 2miles north south. (Alisa Lemire Brooks) ",1,2,2023,Jan,Jan-2,2023-1-2,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1
Southern Resident Killer Whale,2023-01-02 22:00:00,47.72077,-122.44358,41.0,153581.0,"[Orca Network] Js and Ks southbound. Spread across with sizable groups far sides of the Sound and others in between. (Alisa Lemire Brooks, Grace Haaland, Betsey Thoennes, Tyan Schreck)",1,2,2023,Jan,Jan-2,2023-1-2,1,1,0,0,2,2,1,0,0,0,0,0,0,0,1
Southern Resident Killer Whale,2023-01-02 22:28:00,47.6734,-122.45285,17.0,153569.0,"[Orca Network] K pod at least spread across entire Sound and N/S. These lead, others back 2 miles. All southbound with some foraging. (Alisa Lemire Brooks) ",1,2,2023,Jan,Jan-2,2023-1-2,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1
Southern Resident Killer Whale,2023-01-02 23:23:00,47.65617,-122.46281,41.0,153572.0,"[Orca Network] Js and Ks southbound spread across and back north approx 2 miles. (Cara Sorenson, Mary Hartman) ",1,2,2023,Jan,Jan-2,2023-1-2,1,1,0,0,2,2,1,0,0,0,0,0,0,0,1
Southern Resident Killer Whale,2023-01-02 23:45:00,47.60445,-122.45924,41.0,153578.0,[Orca Network] Js and Ks  southbound spread across and to the North.  (Trileigh Tucker) ,1,2,2023,Jan,Jan-2,2023-1-2,1,1,0,0,2,2,1,0,0,0,0,0,0,0,1
Southern Resident Killer Whale,2023-01-03 00:45:00,47.53473,-122.45786,41.0,153579.0,[Orca Network] Js and Ks spread mid Blake Island to S Bainbridge traveling southbound. (Mary Hartman & others)  ,1,3,2023,Jan,Jan-3,2023-1-3,1,1,0,0,2,2,1,0,0,0,0,0,0,0,1
Southern Resident Killer Whale,2023-01-03 18:24:00,47.98487,-122.59145,50.0,153589.0,"[Orca Network] Confirmed Ls at least. Likely Js and Ks around. Northbound. (Rachel Haight) (IDs by Alisa Lemire Brooks per Sara Frey images) 
",1,3,2023,Jan,Jan-3,2023-1-3,1,1,1,0,3,3,0,0,0,1,0,0,0,0,1
Southern Resident Killer Whale,2023-01-03 19:20:00,47.99866,-122.60862,50.0,153590.0,[Orca Network] Spread out Residents Northbound. L pod members confirmed so far. (Rachel Haight) ,1,3,2023,Jan,Jan-3,2023-1-3,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1
Southern Resident Killer Whale,2023-01-03 19:35:00,48.01849,-122.60319,50.0,153591.0,[Orca Network] SRKWs Northbound spread. (Susan Berta),1,3,2023,Jan,Jan-3,2023-1-3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Southern Resident Killer Whale,2023-01-03 19:52:00,48.02653,-122.62619,50.0,153592.0,[Orca Network] 20+ orcas northbound mid-channel... others spread. (Rachel Haight),1,3,2023,Jan,Jan-3,2023-1-3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
