SightDate,Time1,Time2,Month,Day,Year,pod,likelypod,Direction,FishArea,Quadrant,latitude,longitude,Source,j_pod,j_likelypod,j,j_tag,k_pod,k_likelypod,k,k_tag,l_pod,l_likelypod,l,l_tag,pod_tag
2000-01-07,15:00:00,1500,1,7.0,2000,kl,nan,,11,420,47.3387,-122.4451,TWM-SA-Rel,0,0,0,,1,0,1,K,1,0,1,L,KL
2000-01-07,,,1,7.0,2000,orcas,nan,S,11,414,47.5093,-122.4054,TWM-SA-Rel,0,0,0,,0,0,0,,0,0,0,,
2000-01-10,14:05:00,1405,1,10.0,2000,orcas,nan,E,7,196,48.7151,-122.8291,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
2000-01-20,,,1,20.0,2000,orcas,nan,,11,414,47.5093,-122.4054,TWM-SA-Rel,0,0,0,,0,0,0,,0,0,0,,
2000-01-23,09:50:00,950,1,23.0,2000,orcas,nan,,8,383,48.0625,-122.4045,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
2000-01-23,12:00:00,1200,1,23.0,2000,j,nan,,8,381,48.1021,-122.449,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,J
2000-01-23,15:00:00,1500,1,23.0,2000,j,nan,S,8,383,48.0625,-122.4045,TWM-SA-Pub,1,0,1,J,0,0,0,,0,0,0,,J
2000-01-23,22:00:00,2200,1,23.0,2000,j,nan,S,8,383,48.0625,-122.4045,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,J
2000-01-23,,,1,23.0,2000,orcas,nan,S,8,383,48.0625,-122.4045,TWM-SA-Rel,0,0,0,,0,0,0,,0,0,0,,
2000-01-24,,,1,24.0,2000,j,nan,N then S,8,373,48.2313,-122.6706,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,J
2000-02-06,10:30:00,1030,2,6.0,2000,orcas,nan,S,7,176,48.5602,-123.2168,TWM-SA-Rel,0,0,0,,0,0,0,,0,0,0,,
2000-02-06,12:00:00,1200,2,6.0,2000,orcas,nan,W,7,181,48.5065,-123.1786,TWM-SA-Rel,0,0,0,,0,0,0,,0,0,0,,
2000-02-06,12:30:00,1230,2,6.0,2000,orcas,nan,N,7,176,48.5602,-123.2168,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
2000-02-07,10:00:00,1000,2,7.0,2000,orcas,nan,S,9,394,47.9811,-122.5625,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
2000-02-16,,,2,16.0,2000,j, ,W,14C,,,,BCCSN,1,0,1,J,0,0,0,,0,0,0,,J
2000-02-27,11:30:00,1130,2,27.0,2000,orcas,nan,S,9,365,48.1692,-122.7198,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
2000-02-28,08:00:00,800,2,28.0,2000,j,nan,S,7,176,48.5602,-123.2168,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,J
2000-02-28,11:30:00,1130,2,28.0,2000,j,nan,N,7,185,48.4454,-123.0354,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,J
2000-02-28,13:30:00,1330,2,28.0,2000,orcas,nan,,8,374,48.2361,-122.5749,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
2000-03-03,13:30:00,1330,3,3.0,2000,orcas,nan,mill,8,374,48.2361,-122.5749,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
2000-03-10,08:00:00,800,3,10.0,2000,orcas,nan,,8,379,48.1232,-122.5229,TWM-SA-Rel,0,0,0,,0,0,0,,0,0,0,,
2000-03-19,10:50:00,1050,3,19.0,2000,j,nan,,7,176,48.5602,-123.2168,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,J
2000-03-19,11:20:00,1120,3,19.0,2000,orcas,nan,S,7,181,48.5065,-123.1786,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
2000-03-19,11:20:00,1120,3,19.0,2000,orcas,nan,S,7,184,48.4629,-123.1092,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
2000-03-26,07:30:00,730,3,26.0,2000,orcas,nan,N,7,188,48.5386,-122.9544,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
2000-03-26,12:00:00,1200,3,26.0,2000,j,nan,S,7,176,48.5602,-123.2168,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,J
2000-03-26,18:00:00,1800,3,26.0,2000,orcas,nan,N,7,181,48.5065,-123.1786,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
2000-03-26,18:30:00,1830,3,26.0,2000,orcas,nan,N,7,181,48.5065,-123.1786,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
2000-03-28,08:00:00,800,3,28.0,2000,j,nan,,7,185,48.4454,-123.0354,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,J
2000-03-29,11:30:00,1130,3,29.0,2000,j,nan,N,7,169,48.6266,-123.1794,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,J
2000-03-29,18:00:00,1800,3,29.0,2000,orcas,nan,N,7,186,48.4412,-122.9393,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
2000-03-30,15:35:00,1535,3,30.0,2000,j,nan,W,7,191,48.6044,-122.9721,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,J
2000-03-30,16:45:00,1645,3,30.0,2000,orcas,nan,E,7,191,48.6044,-122.9721,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
