SightDate,Time1,Month,Day,Year,pod,likelypod,latitude,longitude,Source,j_pod,j_likelypod,j,j_tag,k_pod,k_likelypod,k,k_tag,l_pod,l_likelypod,l,l_tag,puget_sound,central_salish,pod_tag
2015-01-01,06:00:00,1,1.0,2015,j,nan,,,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,,,J
2015-01-01,09:43:00,1,1.0,2015,j,nan,,,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,,,J
2015-01-01,,1,1.0,2015,j,nan,,,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,,,J
2015-01-02,12:45:00,1,2.0,2015,orcas,ts,47.2222,-122.9299,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,1.0,0.0,
2015-01-02,,1,2.0,2015,orcas,nan,48.6408,-123.0779,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,0.0,1.0,
2015-01-04,09:45:00,1,4.0,2015,orcas,ts,48.5799,-122.8595,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,0.0,1.0,
2015-01-04,12:30:00,1,4.0,2015,orcas,ts,48.0443,-122.8689,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,1.0,0.0,
2015-01-06,12:00:00,1,6.0,2015,orcas,nan,47.329,-122.6772,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,1.0,0.0,
2015-01-06,13:00:00,1,6.0,2015,orcas,nan,48.5513,-124.7138,BCCSN,0,0,0,,0,0,0,,0,0,0,,0.0,0.0,
2015-01-07,,1,7.0,2015,orcas,ts,47.308,-122.8179,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,1.0,0.0,
2015-01-08,11:05:00,1,8.0,2015,j,nan,48.5602,-123.2168,TWM-HYD-Rel,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2015-01-08,16:01:00,1,8.0,2015,orcas,srs,48.5065,-123.1786,TWM-HYD-Rel,0,0,0,,0,0,0,,0,0,0,,0.0,1.0,
2015-01-08,18:18:00,1,8.0,2015,orcas,srs,48.5065,-123.1786,TWM-HYD-Pub,0,0,0,,0,0,0,,0,0,0,,0.0,1.0,
2015-01-08,18:20:00,1,8.0,2015,kl,nan,48.5065,-123.1786,TWM-HYD-Rel,0,0,0,,1,0,1,K,1,0,1,L,0.0,1.0,KL
2015-01-08,18:35:00,1,8.0,2015,orcas,srs,48.5065,-123.1786,TWM-HYD-Pub,0,0,0,,0,0,0,,0,0,0,,0.0,1.0,
2015-01-08,18:43:00,1,8.0,2015,orcas,srs,48.5065,-123.1786,TWM-HYD-Rel,0,0,0,,0,0,0,,0,0,0,,0.0,1.0,
2015-01-08,18:43:00,1,8.0,2015,kl,nan,48.5065,-123.1786,TWM-HYD-Rel,0,0,0,,1,0,1,K,1,0,1,L,0.0,1.0,KL
2015-01-08,23:05:00,1,8.0,2015,orcas,srs,48.5602,-123.2168,TWM-HYD-Rel,0,0,0,,0,0,0,,0,0,0,,0.0,1.0,
2015-01-08,23:11:00,1,8.0,2015,j,nan,48.5602,-123.2168,TWM-HYD-Rel,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2015-01-08,23:33:00,1,8.0,2015,j,nan,48.5065,-123.1786,TWM-HYD-Rel,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2015-01-08,,1,8.0,2015,j,nan,49.1818,-123.88,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2015-01-08,,1,8.0,2015,j,nan,49.1818,-123.88,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
2015-01-08,,1,8.0,2015,kl,nan,48.3155,-123.5625,TWM-SA-Rel,0,0,0,,1,0,1,K,1,0,1,L,0.0,1.0,KL
2015-01-08,,1,8.0,2015,kl,nan,48.3155,-123.5625,TWM-SA-Rel,0,0,0,,1,0,1,K,1,0,1,L,0.0,1.0,KL
