SightDate,Time1,Month,Day,Year,pod,likelypod,latitude,longitude,Source,j_pod,j_likelypod,j,j_tag,k_pod,k_likelypod,k,k_tag,l_pod,l_likelypod,l,l_tag,puget_sound,central_salish,pod_tag
1978-01-03,11:40:00,1,3.0,1978,orcas,nan,47.1808,-122.6152,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,1.0,0.0,
1978-01-15,,1,15.0,1978,j,nan,48.5602,-123.2168,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
1978-01-16,,1,16.0,1978,orcas,srs,48.1084,-122.9311,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,1.0,0.0,
1978-01-17,12:00:00,1,17.0,1978,orcas,srs,48.5602,-123.2168,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,0.0,1.0,
1978-01-17,13:00:00,1,17.0,1978,orcas,srs,48.1203,-122.7177,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,1.0,0.0,
1978-01-17,13:10:00,1,17.0,1978,orcas,srs,48.1203,-122.7177,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,1.0,0.0,
1978-01-17,13:30:00,1,17.0,1978,orcas,srs,48.0449,-122.7495,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,1.0,0.0,
1978-01-17,15:15:00,1,17.0,1978,orcas,srs,48.0449,-122.7495,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,1.0,0.0,
1978-01-17,15:30:00,1,17.0,1978,orcas,srs,48.0449,-122.7495,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,1.0,0.0,
1978-01-18,10:15:00,1,18.0,1978,orcas,nan,48.4629,-123.1092,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,0.0,1.0,
1978-01-18,10:30:00,1,18.0,1978,orcas,nan,48.5065,-123.1786,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,0.0,1.0,
1978-01-18,10:40:00,1,18.0,1978,orcas,nan,48.5602,-123.2168,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,0.0,1.0,
1978-02-02,09:20:00,2,2.0,1978,orcas,nan,47.9624,-122.292,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,1.0,0.0,
1978-02-04,09:30:00,2,4.0,1978,orcas,j,48.5602,-123.2168,TWM-SA-Pub,0,1,1,J,0,0,0,,0,0,0,,0.0,1.0,J
1978-02-04,10:30:00,2,4.0,1978,orcas,j,48.5602,-123.2168,TWM-SA-Pub,0,1,1,J,0,0,0,,0,0,0,,0.0,1.0,J
1978-02-04,10:40:00,2,4.0,1978,j,nan,48.5602,-123.2168,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
1978-02-04,11:45:00,2,4.0,1978,orcas,j,48.6562,-123.243,TWM-SA-Pub,0,1,1,J,0,0,0,,0,0,0,,0.0,1.0,J
1978-02-04,16:20:00,2,4.0,1978,j,nan,48.7226,-123.4416,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
1978-02-05,16:45:00,2,5.0,1978,orcas,nan,47.3567,-122.3476,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,1.0,0.0,
1978-02-08,11:15:00,2,8.0,1978,orcas,srs,48.5602,-123.2168,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,0.0,1.0,
1978-02-11,10:04:00,2,11.0,1978,jp,nan,48.5602,-123.2168,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
1978-02-11,11:04:00,2,11.0,1978,jp,nan,48.5065,-123.1786,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
1978-02-11,16:00:00,2,11.0,1978,orcas,nan,47.6399,-122.4409,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,1.0,0.0,
1978-02-11,,2,11.0,1978,jp,nan,48.4489,-122.7675,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
1978-02-12,16:52:00,2,12.0,1978,jp,nan,48.5602,-123.2168,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
1978-02-15,11:45:00,2,15.0,1978,orcas,nan,48.6043,-122.471,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,0.0,1.0,
1978-02-15,12:15:00,2,15.0,1978,orcas,nan,48.6043,-122.471,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,0.0,1.0,
1978-02-16,12:00:00,2,16.0,1978,jp,nan,48.5602,-123.2168,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
1978-02-16,15:00:00,2,16.0,1978,jp,nan,48.4412,-122.9393,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,0.0,1.0,J
1978-02-18,10:00:00,2,18.0,1978,orcas,nan,47.9003,-122.4618,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,1.0,0.0,
1978-02-18,11:30:00,2,18.0,1978,orcas,srs,48.0251,-122.314,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,1.0,0.0,
1978-02-19,,2,19.0,1978,orcas,nan,47.6586,-122.8401,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,1.0,0.0,
