SightDate,Time1,Time2,Month,Day,Year,pod,likelypod,Direction,FishArea,Quadrant,latitude,longitude,Source,j_pod,j_likelypod,j,j_tag,k_pod,k_likelypod,k,k_tag,l_pod,l_likelypod,l,l_tag,pod_tag
2016-01-01,00:39:00,39,1,1.0,2016,k,nan,,7,181,48.5065,-123.1786,TWM-HYD-Rel,0,0,0,,1,0,1,K,0,0,0,,K
2016-01-01,01:47:00,147,1,1.0,2016,k,nan,,7,181,48.5065,-123.1786,TWM-HYD-Rel,0,0,0,,1,0,1,K,0,0,0,,K
2016-01-01,,,1,1.0,2016,k,nan,,4,,,,TWM-SA-Rel,0,0,0,,1,0,1,K,0,0,0,,K
2016-01-02,11:30:00,1130,1,2.0,2016,jkp,nan,,7,176,48.5602,-123.2168,TWM-HYD-Rel,1,0,1,J,1,0,1,K,0,0,0,,JK
2016-01-02,11:32:00,1132,1,2.0,2016,jkp,nan,,7,181,48.5065,-123.1786,TWM-HYD-Rel,1,0,1,J,1,0,1,K,0,0,0,,JK
2016-01-02,11:50:00,1150,1,2.0,2016,srs,jkp,,7,176,48.5602,-123.2168,TWM-HYD-Rel,0,1,1,J,0,1,1,K,0,0,0,,JK
2016-01-02,13:00:00,1300,1,2.0,2016,srs,jkp,,7,181,48.5065,-123.1786,TWM-HYD-Rel,0,1,1,J,0,1,1,K,0,0,0,,JK
2016-01-02,15:17:00,1517,1,2.0,2016,srs,jkp,,7,181,48.5065,-123.1786,TWM-HYD-Rel,0,1,1,J,0,1,1,K,0,0,0,,JK
2016-01-02,15:28:00,1528,1,2.0,2016,srs,jkp,SW,19C,230,48.4125,-123.2314,TWM-SA-Rel,0,1,1,J,0,1,1,K,0,0,0,,JK
2016-01-02,,,1,2.0,2016,jkp,nan,,7,181,48.5065,-123.1786,TWM-SA-Rel,1,0,1,J,1,0,1,K,0,0,0,,JK
2016-01-02,,,1,2.0,2016,jkp,nan,,7,181,48.5065,-123.1786,TWM-SA-Rel,1,0,1,J,1,0,1,K,0,0,0,,JK
2016-01-02,,,1,2.0,2016,jkp,nan,,19C,230,48.4125,-123.2314,TWM-SA-Rel,1,0,1,J,1,0,1,K,0,0,0,,JK
2016-01-02,,,1,2.0,2016,srs,jkp,W,19C,236,48.3627,-123.3651,TWM-SA-Rel,0,1,1,J,0,1,1,K,0,0,0,,JK
2016-01-02,,,1,2.0,2016,j,nan,S,8.1,374,48.2254,-122.6206,BCCSN,1,0,1,J,0,0,0,,0,0,0,,J
2016-01-02,,,1,2.0,2016,j,nan,,8.1,380,48.0724,-122.5343,BCCSN,1,0,1,J,0,0,0,,0,0,0,,J
2016-01-04,12:47:00,1247,1,4.0,2016,orcas,nan,,2,,,,TWM-SA-Rel,0,0,0,,0,0,0,,0,0,0,,
2016-01-05,15:55:00,1555,1,5.0,2016,srs,nan,,7,181,48.5065,-123.1786,TWM-HYD-Rel,0,0,0,,0,0,0,,0,0,0,,
2016-01-05,16:00:00,1600,1,5.0,2016,l,nan,,7,181,48.5065,-123.1786,TWM-HYD-Rel,0,0,0,,0,0,0,,1,0,1,L,L
2016-01-05,16:00:00,1600,1,5.0,2016,l,nan,,7,176,48.5602,-123.2168,TWM-HYD-Rel,0,0,0,,0,0,0,,1,0,1,L,L
2016-01-05,16:24:00,1624,1,5.0,2016,srs,nan,,7,181,48.5065,-123.1786,TWM-HYD-Rel,0,0,0,,0,0,0,,0,0,0,,
2016-01-05,16:34:00,1634,1,5.0,2016,srs,nan,,7,181,48.5065,-123.1786,TWM-HYD-Rel,0,0,0,,0,0,0,,0,0,0,,
2016-01-05,17:49:00,1749,1,5.0,2016,jk,nan,,7,176,48.5602,-123.2168,TWM-HYD-Rel,1,0,1,J,1,0,1,K,0,0,0,,JK
2016-01-05,18:12:00,1812,1,5.0,2016,srs,nan,,7,176,48.5602,-123.2168,TWM-HYD-Rel,0,0,0,,0,0,0,,0,0,0,,
2016-01-05,18:12:00,1812,1,5.0,2016,j,nan,,7,176,48.5602,-123.2168,TWM-HYD-Rel,1,0,1,J,0,0,0,,0,0,0,,J
2016-01-05,19:12:00,1912,1,5.0,2016,l?,nan,,7,176,48.5602,-123.2168,TWM-HYD-Rel,0,0,0,,0,0,0,,1,0,1,L,L
2016-01-05,,,1,5.0,2016,srs,nan,,7,181,48.5065,-123.1786,TWM-HYD-Rel,0,0,0,,0,0,0,,0,0,0,,
2016-01-07,11:00:00,1100,1,7.0,2016,orcas,ts,SW,18C,160,48.7226,-123.4416,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
2016-01-07,11:00:00,1100,1,7.0,2016,jkplp,nan,,15C,,,,TWM-SA-Rel,1,0,1,J,1,0,1,K,1,0,1,L,JKL
2016-01-07,,,1,7.0,2016,k,nan,,13C,,,,TWM-SA-Rel,0,0,0,,1,0,1,K,0,0,0,,K
2016-01-07,,,1,7.0,2016,j,nan,,20,292,48.2595,-123.7152,BCCSN,1,0,1,J,0,0,0,,0,0,0,,J
2016-01-08,,,1,8.0,2016,kl,nan,S,29C,118,48.937,-123.4193,TWM-SA-Rel,0,0,0,,1,0,1,K,1,0,1,L,KL
2016-01-09,11:59:00,1159,1,9.0,2016,kl,nan,W,20C,264,48.3567,-123.7289,TWM-SA-Pub,0,0,0,,1,0,1,K,1,0,1,L,KL
2016-01-09,12:35:00,1235,1,9.0,2016,kl,nan,W,20C,269,48.3625,-123.9645,TWM-SA-Rel,0,0,0,,1,0,1,K,1,0,1,L,KL
2016-01-09,,,1,9.0,2016,kl,nan,W,20C,264,48.3567,-123.7289,TWM-SA-Rel,0,0,0,,1,0,1,K,1,0,1,L,KL
2016-01-09,,,1,9.0,2016,j,nan,N,18,123,48.8544,-123.3495,BCCSN,1,0,1,J,0,0,0,,0,0,0,,J
2016-01-11,08:10:00,810,1,11.0,2016,orcas,nan, ,18,151,48.7746,-123.0598,BCCSN,0,0,0,,0,0,0,,0,0,0,,
2016-01-12,,,1,12.0,2016,srs,nan,,1,,,,TWM-SA-Rel,0,0,0,,0,0,0,,0,0,0,,
