SightDate,Time1,Time2,Month,Day,Year,pod,likelypod,Direction,FishArea,Quadrant,latitude,longitude,Source,j_pod,j_likelypod,j,j_tag,k_pod,k_likelypod,k,k_tag,l_pod,l_likelypod,l,l_tag,pod_tag
1994-01-12,09:00:00,900,1,12.0,1994,orcas,nan,SE,7,181,48.5065,-123.1786,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-01-12,10:20:00,1020,1,12.0,1994,orcas,nan,,7,186,48.4412,-122.9393,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-01-12,10:25:00,1025,1,12.0,1994,orcas,nan,,7,186,48.4412,-122.9393,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-01-12,11:00:00,1100,1,12.0,1994,orcas,nan,W,7,186,48.4412,-122.9393,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-01-12,11:45:00,1145,1,12.0,1994,orcas,nan,S,7,186,48.4412,-122.9393,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-01-13,10:00:00,1000,1,13.0,1994,orcas,nan,S,10,410,47.5995,-122.4367,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-01-13,13:00:00,1300,1,13.0,1994,orcas,nan,S,11,419,47.3567,-122.3476,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-01-13,14:30:00,1430,1,13.0,1994,orcas,nan,,11,420,47.3387,-122.4451,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-01-13,16:00:00,1600,1,13.0,1994,orcas,nan,N,11,419,47.3567,-122.3476,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-01-13,16:25:00,1625,1,13.0,1994,orcas,nan,N,11,419,47.3567,-122.3476,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-01-18,01:00:00,100,1,18.0,1994,orcas,nan,N,11,420,47.3387,-122.4451,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-01-18,14:00:00,1400,1,18.0,1994,j,nan,,10,409,47.5925,-122.3481,TWM-SA-Pub,1,0,1,J,0,0,0,,0,0,0,,J
1994-01-19,01:00:00,100,1,19.0,1994,orcas,nan,N,7,176,48.5602,-123.2168,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-01-19,10:20:00,1020,1,19.0,1994,j,nan,N,7,176,48.5602,-123.2168,TWM-SA-Pub,1,0,1,J,0,0,0,,0,0,0,,J
1994-01-19,10:25:00,1025,1,19.0,1994,orcas,nan,N,7,176,48.5602,-123.2168,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-01-19,10:30:00,1030,1,19.0,1994,orcas,nan,N,7,176,48.5602,-123.2168,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-01-19,11:20:00,1120,1,19.0,1994,orcas,nan,N,7,176,48.5602,-123.2168,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-01-28,13:15:00,1315,1,28.0,1994,orcas,nan,E,6,340,48.1514,-123.5017,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-02-05,10:00:00,1000,2,5.0,1994,orcas,nan,,8,379,48.1232,-122.5229,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-02-05,10:25:00,1025,2,5.0,1994,orcas,nan,S,9,390,48.0557,-122.634,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-02-05,12:00:00,1200,2,5.0,1994,orcas,nan,S,9,397,47.9003,-122.4618,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-02-05,12:30:00,1230,2,5.0,1994,orcas,nan,,9,398,47.8987,-122.363,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-02-06,12:00:00,1200,2,6.0,1994,orcas,nan,N,8,386,47.9624,-122.292,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-02-06,13:00:00,1300,2,6.0,1994,orcas,nan,,10,410,47.5995,-122.4367,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-02-06,14:00:00,1400,2,6.0,1994,orcas,nan,,9,399,47.8572,-122.3735,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-02-06,16:00:00,1600,2,6.0,1994,orcas,nan,,11,418,47.371,-122.5189,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-02-06,17:30:00,1730,2,6.0,1994,orcas,nan,N,8,383,48.0625,-122.4045,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-02-06,,,2,6.0,1994,orcas,nan,,9,399,47.8572,-122.3735,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-02-09,14:30:00,1430,2,9.0,1994,orcas,nan,N,7,176,48.5602,-123.2168,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-02-11,14:40:00,1440,2,11.0,1994,orcas,nan,NE,7,187,48.4911,-122.9741,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-02-18,09:15:00,915,2,18.0,1994,orcas,nan,S,7,181,48.5065,-123.1786,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-02-21,08:30:00,830,2,21.0,1994,orcas,nan,S,7,188,48.5386,-122.9544,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-02-21,18:30:00,1830,2,21.0,1994,orcas,nan,E,7,195,48.7183,-122.9285,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-03-01,11:45:00,1145,3,1.0,1994,orcas,nan,N,7,181,48.5065,-123.1786,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-03-01,12:30:00,1230,3,1.0,1994,j,nan,N,7,176,48.5602,-123.2168,TWM-SA-Pub,1,0,1,J,0,0,0,,0,0,0,,J
1994-03-01,13:30:00,1330,3,1.0,1994,orcas,nan,N,7,176,48.5602,-123.2168,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-03-01,13:45:00,1345,3,1.0,1994,orcas,nan,N,7,176,48.5602,-123.2168,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-03-10,16:30:00,1630,3,10.0,1994,jkl,nan,,24C,0,0,0,TWM-SA-Pub,1,0,1,J,1,0,1,K,1,0,1,L,JKL
1994-03-23,18:30:00,1830,3,23.0,1994,orcas,nan,N,8,379,48.1232,-122.5229,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-03-23,18:50:00,1850,3,23.0,1994,j,nan,S,7,176,48.5602,-123.2168,TWM-SA-Pub,1,0,1,J,0,0,0,,0,0,0,,J
1994-03-23,18:50:00,1850,3,23.0,1994,j,nan,S,7,176,48.5602,-123.2168,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,J
1994-03-25,13:45:00,1345,3,25.0,1994,j,nan,N,7,176,48.5602,-123.2168,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,J
1994-03-25,14:00:00,1400,3,25.0,1994,orcas,nan,N,7,176,48.5602,-123.2168,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-03-30,11:30:00,1130,3,30.0,1994,orcas,nan,S,7,181,48.5065,-123.1786,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-03-30,,,3,30.0,1994,orcas,nan,N,7,176,48.5602,-123.2168,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-04-07,10:00:00,1000,4,7.0,1994,orcas,nan,S,7,169,48.6266,-123.1794,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-04-07,10:30:00,1030,4,7.0,1994,orcas,nan,S,7,176,48.5602,-123.2168,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-04-07,11:25:00,1125,4,7.0,1994,orcas,nan,E,7,181,48.5065,-123.1786,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-04-07,11:30:00,1130,4,7.0,1994,orcas,nan,S,7,176,48.5602,-123.2168,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-04-07,14:15:00,1415,4,7.0,1994,orcas,nan,N,7,188,48.5386,-122.9544,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-04-07,16:00:00,1600,4,7.0,1994,orcas,nan,E,7,185,48.4454,-123.0354,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-04-07,18:20:00,1820,4,7.0,1994,orcas,nan,SE,7,186,48.4412,-122.9393,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-04-11,15:30:00,1530,4,11.0,1994,orcas,nan,S,7,209,48.6234,-122.7515,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-04-11,17:15:00,1715,4,11.0,1994,orcas,nan,,7,215,48.5324,-122.7422,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-04-14,18:30:00,1830,4,14.0,1994,orcas,nan,E,29C,124,48.8866,-123.295,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-04-15,04:30:00,430,4,15.0,1994,orcas,nan,S,7,176,48.5602,-123.2168,TWM-SA-Rel,0,0,0,,0,0,0,,0,0,0,,
1994-04-15,08:50:00,850,4,15.0,1994,orcas,nan,N,7,181,48.5065,-123.1786,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-04-15,10:15:00,1015,4,15.0,1994,j,nan,N,7,176,48.5602,-123.2168,TWM-SA-Pub,1,0,1,J,0,0,0,,0,0,0,,J
1994-04-15,10:15:00,1015,4,15.0,1994,orcas,nan,N,7,176,48.5602,-123.2168,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-04-15,10:15:00,1015,4,15.0,1994,orcas,nan,N,7,176,48.5602,-123.2168,TWM-SA-Rel,0,0,0,,0,0,0,,0,0,0,,
1994-04-18,14:00:00,1400,4,18.0,1994,orcas,nan,,7,188,48.5386,-122.9544,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-04-18,18:00:00,1800,4,18.0,1994,orcas,nan,S,7,108,48.9048,-122.7758,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-04-19,08:30:00,830,4,19.0,1994,j,nan,N,7,176,48.5602,-123.2168,TWM-SA-Pub,1,0,1,J,0,0,0,,0,0,0,,J
1994-04-19,,,4,19.0,1994,orcas,nan,N,7,181,48.5065,-123.1786,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-04-22,10:30:00,1030,4,22.0,1994,j,nan,SW,18C,151,48.7633,-123.0295,TWM-SA-Pub,1,0,1,J,0,0,0,,0,0,0,,J
1994-04-22,13:10:00,1310,4,22.0,1994,j,nan,N,7,169,48.6266,-123.1794,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,J
1994-04-22,14:22:00,1422,4,22.0,1994,j,nan,S,7,176,48.5602,-123.2168,TWM-SA-Pub,1,0,1,J,0,0,0,,0,0,0,,J
1994-04-22,14:30:00,1430,4,22.0,1994,orcas,nan,,7,181,48.5065,-123.1786,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-04-22,16:13:00,1613,4,22.0,1994,j,nan,S,7,185,48.4454,-123.0354,TWM-SA-Pub,1,0,1,J,0,0,0,,0,0,0,,J
1994-04-22,20:47:00,2047,4,22.0,1994,orcas,nan,N,7,181,48.5065,-123.1786,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-04-22,22:00:00,2200,4,22.0,1994,orcas,nan,N,7,181,48.5065,-123.1786,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-04-23,18:00:00,1800,4,23.0,1994,orcas,nan,,7,192,48.5871,-123.0382,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-04-27,10:30:00,1030,4,27.0,1994,j,nan,SW,18C,151,48.7633,-123.0295,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,J
1994-04-27,12:40:00,1240,4,27.0,1994,orcas,nan,S,7,169,48.6266,-123.1794,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-04-27,13:30:00,1330,4,27.0,1994,orcas,nan,S,7,176,48.5602,-123.2168,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-04-27,13:30:00,1330,4,27.0,1994,orcas,nan,S,7,181,48.5065,-123.1786,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-04-27,18:20:00,1820,4,27.0,1994,orcas,nan,S,7,181,48.5065,-123.1786,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-04-28,07:30:00,730,4,28.0,1994,j,nan,S,7,176,48.5602,-123.2168,TWM-SA-Pub,1,0,1,J,0,0,0,,0,0,0,,J
1994-04-28,07:30:00,730,4,28.0,1994,j,nan,S,7,176,48.5602,-123.2168,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,J
1994-04-28,12:42:00,1242,4,28.0,1994,orcas,nan,mill,7,184,48.4629,-123.1092,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-04-28,19:45:00,1945,4,28.0,1994,orcas,nan,E,18C,151,48.7633,-123.0295,TWM-SA-Rel,0,0,0,,0,0,0,,0,0,0,,
1994-04-28,20:00:00,2000,4,28.0,1994,j,nan,N,7,176,48.5602,-123.2168,TWM-SA-Pub,1,0,1,J,0,0,0,,0,0,0,,J
1994-04-30,13:00:00,1300,4,30.0,1994,j,nan,E,18C,151,48.7633,-123.0295,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,J
1994-05-01,11:00:00,1100,5,1.0,1994,j,nan,SW,18C,151,48.7633,-123.0295,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,J
1994-05-01,14:45:00,1445,5,1.0,1994,orcas,nan,S,7,176,48.5602,-123.2168,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-05-01,18:00:00,1800,5,1.0,1994,j,nan,N,7,181,48.5065,-123.1786,TWM-SA-Pub,1,0,1,J,0,0,0,,0,0,0,,J
1994-05-01,18:15:00,1815,5,1.0,1994,j,nan,N,7,176,48.5602,-123.2168,TWM-SA-Pub,1,0,1,J,0,0,0,,0,0,0,,J
1994-05-01,18:45:00,1845,5,1.0,1994,j,nan,N,7,176,48.5602,-123.2168,TWM-SA-Pub,1,0,1,J,0,0,0,,0,0,0,,J
1994-05-01,20:45:00,2045,5,1.0,1994,j,nan,N,7,170,48.6562,-123.243,TWM-SA-Pub,1,0,1,J,0,0,0,,0,0,0,,J
1994-05-02,13:00:00,1300,5,2.0,1994,orcas,nan,S,7,169,48.6266,-123.1794,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-05-02,14:00:00,1400,5,2.0,1994,j,nan,S,7,176,48.5602,-123.2168,TWM-SA-Pub,1,0,1,J,0,0,0,,0,0,0,,J
1994-05-02,15:00:00,1500,5,2.0,1994,orcas,nan,S,7,181,48.5065,-123.1786,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-05-02,17:00:00,1700,5,2.0,1994,orcas,nan,N,7,185,48.4454,-123.0354,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-05-02,18:00:00,1800,5,2.0,1994,orcas,nan,N,7,181,48.5065,-123.1786,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-05-02,19:00:00,1900,5,2.0,1994,j,nan,N,7,176,48.5602,-123.2168,TWM-SA-Pub,1,0,1,J,0,0,0,,0,0,0,,J
1994-05-03,10:30:00,1030,5,3.0,1994,j,nan,W,18C,151,48.7633,-123.0295,TWM-SA-Rel,1,0,1,J,0,0,0,,0,0,0,,J
1994-05-03,13:00:00,1300,5,3.0,1994,j,nan,S,7,176,48.5602,-123.2168,TWM-SA-Pub,1,0,1,J,0,0,0,,0,0,0,,J
1994-05-03,13:50:00,1350,5,3.0,1994,j,nan,S,7,176,48.5602,-123.2168,TWM-SA-Pub,1,0,1,J,0,0,0,,0,0,0,,J
1994-05-03,14:00:00,1400,5,3.0,1994,j,nan,S,7,181,48.5065,-123.1786,TWM-SA-Pub,1,0,1,J,0,0,0,,0,0,0,,J
1994-05-03,17:00:00,1700,5,3.0,1994,j,nan,N,7,181,48.5065,-123.1786,TWM-SA-Pub,1,0,1,J,0,0,0,,0,0,0,,J
1994-05-03,17:30:00,1730,5,3.0,1994,j,nan,N,7,176,48.5602,-123.2168,TWM-SA-Pub,1,0,1,J,0,0,0,,0,0,0,,J
1994-05-03,19:00:00,1900,5,3.0,1994,orcas,nan,,7,176,48.5602,-123.2168,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-05-04,17:30:00,1730,5,4.0,1994,j,nan,S,7,176,48.5602,-123.2168,TWM-SA-Pub,1,0,1,J,0,0,0,,0,0,0,,J
1994-05-05,06:10:00,610,5,5.0,1994,j,nan,N,7,176,48.5602,-123.2168,TWM-SA-Pub,1,0,1,J,0,0,0,,0,0,0,,J
1994-05-05,06:45:00,645,5,5.0,1994,j,nan,N,7,176,48.5602,-123.2168,TWM-SA-Pub,1,0,1,J,0,0,0,,0,0,0,,J
1994-05-05,07:50:00,750,5,5.0,1994,j,nan,N,7,169,48.6266,-123.1794,TWM-SA-Pub,1,0,1,J,0,0,0,,0,0,0,,J
1994-05-05,08:05:00,805,5,5.0,1994,j,nan,N,7,169,48.6266,-123.1794,TWM-SA-Pub,1,0,1,J,0,0,0,,0,0,0,,J
1994-05-05,08:25:00,825,5,5.0,1994,j,nan,N,7,169,48.6266,-123.1794,TWM-SA-Pub,1,0,1,J,0,0,0,,0,0,0,,J
1994-05-05,08:45:00,845,5,5.0,1994,j,nan,N,7,170,48.6562,-123.243,TWM-SA-Pub,1,0,1,J,0,0,0,,0,0,0,,J
1994-05-06,,,5,6.0,1994,j,nan,N,7,176,48.5602,-123.2168,TWM-SA-Pub,1,0,1,J,0,0,0,,0,0,0,,J
1994-05-07,18:00:00,1800,5,7.0,1994,orcas,nan,S,7,181,48.5065,-123.1786,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-05-07,19:00:00,1900,5,7.0,1994,orcas,nan,S,7,184,48.4629,-123.1092,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-05-07,20:00:00,2000,5,7.0,1994,orcas,nan,,7,184,48.4629,-123.1092,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-05-07,21:30:00,2130,5,7.0,1994,orcas,nan,N,7,181,48.5065,-123.1786,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-05-08,18:00:00,1800,5,8.0,1994,orcas,nan,S,7,181,48.5065,-123.1786,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-05-10,07:26:00,726,5,10.0,1994,j,nan,,7,185,48.4454,-123.0354,TWM-SA-Pub,1,0,1,J,0,0,0,,0,0,0,,J
1994-05-10,12:00:00,1200,5,10.0,1994,orcas,nan,SE,7,186,48.4412,-122.9393,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-05-10,13:00:00,1300,5,10.0,1994,orcas,nan,NW,7,186,48.4412,-122.9393,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-05-10,,,5,10.0,1994,j,nan,N,7,176,48.5602,-123.2168,TWM-SA-Pub,1,0,1,J,0,0,0,,0,0,0,,J
1994-05-11,09:00:00,900,5,11.0,1994,j,nan,S,7,176,48.5602,-123.2168,TWM-SA-Pub,1,0,1,J,0,0,0,,0,0,0,,J
1994-05-11,11:00:00,1100,5,11.0,1994,orcas,nan,,7,209,48.6234,-122.7515,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1994-05-11,18:15:00,1815,5,11.0,1994,j,nan,N,7,181,48.5065,-123.1786,TWM-SA-Pub,1,0,1,J,0,0,0,,0,0,0,,J
1994-05-11,20:15:00,2015,5,11.0,1994,j,nan,S,7,181,48.5065,-123.1786,TWM-SA-Pub,1,0,1,J,0,0,0,,0,0,0,,J
1994-05-14,11:00:00,1100,5,14.0,1994,j,nan,S,7,176,48.5602,-123.2168,TWM-SA-Pub,1,0,1,J,0,0,0,,0,0,0,,J
