SightDate,Time1,Month,Day,Year,pod,likelypod,latitude,longitude,Source,j_pod,j_likelypod,j,j_tag,k_pod,k_likelypod,k,k_tag,l_pod,l_likelypod,l,l_tag,puget_sound,central_salish,pod_tag
2003-01-02,13:45:00,1,2.0,2003,orcas,nan,48.2365,-122.7747,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,0.0,1.0,
2003-01-02,13:45:00,1,2.0,2003,orcas, ,48.2239,-122.7809,BCCSN,0,0,0,,0,0,0,,0,0,0,,0.0,1.0,
2003-01-02,15:20:00,1,2.0,2003,orcas,nan,48.1374,-122.6386,TWM-SA-Rel,0,0,0,,0,0,0,,0,0,0,,1.0,0.0,
2003-01-02,15:20:00,1,2.0,2003,orcas, ,48.1363,-122.7202,BCCSN,0,0,0,,0,0,0,,0,0,0,,1.0,0.0,
2003-01-02,15:45:00,1,2.0,2003,orcas,nan,48.1203,-122.7177,TWM-SA-Rel,0,0,0,,0,0,0,,0,0,0,,1.0,0.0,
2003-01-02,15:45:00,1,2.0,2003,orcas, ,48.0762,-122.7573,BCCSN,0,0,0,,0,0,0,,0,0,0,,1.0,0.0,
2003-01-03,09:30:00,1,3.0,2003,orcas,nan,47.6399,-122.4409,TWM-SA-Rel,0,0,0,,0,0,0,,0,0,0,,1.0,0.0,
2003-01-03,10:00:00,1,3.0,2003,orcas,nan,47.5995,-122.4367,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,1.0,0.0,
2003-01-03,10:25:00,1,3.0,2003,orcas, ,47.5435,-122.4338,BCCSN,0,0,0,,0,0,0,,0,0,0,,1.0,0.0,
2003-01-03,10:30:00,1,3.0,2003,orcas, ,47.5343,-122.4394,BCCSN,0,0,0,,0,0,0,,0,0,0,,1.0,0.0,
2003-01-03,11:00:00,1,3.0,2003,orcas, ,47.5934,-122.4102,BCCSN,0,0,0,,0,0,0,,0,0,0,,1.0,0.0,
2003-01-03,14:20:00,1,3.0,2003,jkl,nan,47.3567,-122.3476,TWM-SA-Rel,1,0,1,J,1,0,1,K,1,0,1,L,1.0,0.0,JKL
2003-01-03,14:20:00,1,3.0,2003,jkl, ,47.3699,-122.3854,BCCSN,1,0,1,J,1,0,1,K,1,0,1,L,1.0,0.0,JKL
2003-01-03,15:00:00,1,3.0,2003,orcas,nan,47.3387,-122.4451,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,1.0,0.0,
