SightDate,Time1,Time2,Month,Day,Year,pod,likelypod,Direction,FishArea,Quadrant,latitude,longitude,Source,j_pod,j_likelypod,j,j_tag,k_pod,k_likelypod,k,k_tag,l_pod,l_likelypod,l,l_tag,pod_tag
1991-01-01,13:00:00,1300,1,1.0,1991,orcas,nan,E,18C,151,48.7633,-123.0295,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1991-01-09,09:15:00,915,1,9.0,1991,orcas,nan,E,7,195,48.7183,-122.9285,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1991-01-11,10:00:00,1000,1,11.0,1991,orcas,nan,S,11,419,47.3567,-122.3476,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1991-01-11,11:55:00,1155,1,11.0,1991,orcas,nan,N,7,181,48.5065,-123.1786,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1991-01-11,12:00:00,1200,1,11.0,1991,orcas,nan,N,7,181,48.5065,-123.1786,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1991-01-11,12:15:00,1215,1,11.0,1991,orcas,nan,N,7,176,48.5602,-123.2168,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1991-01-15,12:30:00,1230,1,15.0,1991,orcas,nan,,17C,35,49.2309,-123.8131,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1991-01-16,11:24:00,1124,1,16.0,1991,orcas,nan,E,7,195,48.7183,-122.9285,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1991-01-19,08:20:00,820,1,19.0,1991,orcas,nan,S,7,176,48.5602,-123.2168,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1991-01-20,12:00:00,1200,1,20.0,1991,orcas,nan,,18C,156,48.8063,-123.5695,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1991-01-20,12:10:00,1210,1,20.0,1991,orcas,nan,,18C,155,48.7958,-123.3604,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1991-01-20,13:00:00,1300,1,20.0,1991,orcas,nan,W,18C,157,48.7103,-123.5282,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1991-01-22,12:00:00,1200,1,22.0,1991,orcas,nan,E,6,340,48.1514,-123.5017,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1991-01-23,12:00:00,1200,1,23.0,1991,orcas,nan,N,18C,154,48.7847,-123.229,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1991-01-25,09:50:00,950,1,25.0,1991,orcas,nan,N,7,169,48.6266,-123.1794,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1991-01-27,11:20:00,1120,1,27.0,1991,orcas,nan,S,17C,54,49.1818,-123.88,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1991-01-27,11:30:00,1130,1,27.0,1991,orcas,nan,S,17C,54,49.1818,-123.88,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1991-01-29,11:00:00,1100,1,29.0,1991,orcas,nan,S,11,420,47.3387,-122.4451,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1991-02-05,12:30:00,1230,2,5.0,1991,orcas,nan,W,18C,153,48.7399,-123.1448,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
1991-02-10,13:10:00,1310,2,10.0,1991,orcas,nan,N,7,169,48.6266,-123.1794,TWM-SA-Pub,0,0,0,,0,0,0,,0,0,0,,
