day,mon,year,netlen,catch1,sets1,effort1,cpue1,catch2,sets2,effort2,cpue2
03,Jun,1980,150,11,2,"7,350",1.50,0,0,0,0
05,Jun,1980,150,14,2,"7,500",1.87,0,0,0,0
07,Jun,1980,150,17,2,"7,650",2.22,0,0,0,0
10,Jun,1980,150,19,2,"8,400",2.26,0,0,0,0
12,Jun,1980,150,24,2,"8,775",2.74,0,0,0,0
14,Jun,1980,150,19,2,"8,325",2.28,0,0,0,0
17,Jun,1980,150,20,2,"8,775",2.28,0,0,0,0
19,Jun,1980,150,21,2,"8,250",2.55,0,0,0,0
21,Jun,1980,150,15,2,"7,050",2.13,0,0,0,0
24,Jun,1980,150,14,2,"8,025",1.74,0,0,0,0
26,Jun,1980,150,18,2,"8,250",2.18,0,0,0,0
28,Jun,1980,150,13,2,"8,700",1.49,0,0,0,0
02,Jul,1980,150,14,2,"9,450",1.48,0,0,0,0
03,Jul,1980,150,25,2,"8,775",2.85,0,0,0,0
05,Jul,1980,150,17,2,"9,675",1.76,0,0,0,0
08,Jul,1980,150,16,2,"7,350",2.18,0,0,0,0
10,Jul,1980,150,18,2,"8,325",2.16,0,0,0,0
12,Jul,1980,150,19,2,"8,550",2.22,0,0,0,0
15,Jul,1980,150,20,2,"10,050",1.99,0,0,0,0
17,Jul,1980,150,10,2,"8,700",1.15,0,0,0,0
19,Jul,1980,150,24,2,"9,600",2.50,0,0,0,0
22,Jul,1980,150,19,2,"9,600",1.98,0,0,0,0
24,Jul,1980,150,16,2,"8,100",1.98,0,0,0,0
26,Jul,1980,150,15,2,"9,150",1.64,0,0,0,0
29,Jul,1980,150,7,2,"8,775",0.80,0,0,0,0
31,Jul,1980,150,15,2,"9,075",1.65,0,0,0,0
02,Aug,1980,150,4,2,"10,425",0.38,0,0,0,0
05,Aug,1980,150,2,2,"9,600",0.21,0,0,0,0
07,Aug,1980,150,14,2,"9,300",1.51,0,0,0,0
09,Aug,1980,150,6,2,"9,150",0.66,0,0,0,0
12,Aug,1980,150,1,2,"9,150",0.11,0,0,0,0
14,Aug,1980,150,25,2,"10,050",2.49,0,0,0,0
16,Aug,1980,150,9,2,"10,800",0.83,0,0,0,0
18,Aug,1980,150,9,2,"10,350",0.87,0,0,0,0
20,Aug,1980,150,4,2,"9,375",0.43,0,0,0,0
23,Aug,1980,150,2,2,"9,600",0.21,0,0,0,0
26,Aug,1980,150,4,2,"10,200",0.39,0,0,0,0
28,Aug,1980,150,12,2,"10,125",1.19,0,0,0,0
30,Aug,1980,150,6,2,"10,500",0.57,0,0,0,0
02,Sep,1980,150,7,2,"10,425",0.67,0,0,0,0
04,Sep,1980,150,11,2,"8,700",1.26,0,0,0,0
06,Sep,1980,150,22,2,"8,400",2.62,0,0,0,0
09,Sep,1980,150,3,2,"7,725",0.39,0,0,0,0
11,Sep,1980,150,12,2,"8,550",1.40,0,0,0,0
13,Sep,1980,150,15,2,"8,775",1.71,0,0,0,0
16,Sep,1980,150,23,2,"9,225",2.49,0,0,0,0
18,Sep,1980,150,17,2,"12,975",1.31,0,0,0,0
20,Sep,1980,150,17,2,"8,925",1.90,0,0,0,0
23,Sep,1980,150,18,2,"9,300",1.94,0,0,0,0
25,Sep,1980,150,43,2,"9,450",4.55,0,0,0,0
27,Sep,1980,150,33,2,"11,325",2.91,0,0,0,0
30,Sep,1980,150,14,2,"10,800",1.30,0,0,0,0
02,Oct,1980,150,17,2,"13,125",1.30,0,0,0,0
