Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
Bonneville,1998-03-15,Sp,11,,16,4,,,,,,,,,7
Bonneville,1998-03-16,Sp,10,,43,7,,,,,,,,,7.2
Bonneville,1998-03-17,Sp,8,,30,4,,,,,,,,,7.2
Bonneville,1998-03-18,Sp,1,,3,,,,,,,,,,7.3
Bonneville,1998-03-19,Sp,6,,19,7,,,,,,,,,7.5
Bonneville,1998-03-20,Sp,5,,28,5,,,,,,,,,7.8
Bonneville,1998-03-21,Sp,9,,18,2,,,,,,,,,7.9
Bonneville,1998-03-22,Sp,19,,27,4,,,,,,,,,8.1
Bonneville,1998-03-23,Sp,41,,60,10,,,,,,,,,8.2
Bonneville,1998-03-24,Sp,2,,19,-2,,,,,,,,,8.2
Bonneville,1998-03-25,Sp,14,,48,8,,,,,,,,,8.3
Bonneville,1998-03-26,Sp,15,,30,4,,,,,,,,,8.4
Bonneville,1998-03-27,Sp,42,,30,4,,,,,,,,,8.5
Bonneville,1998-03-28,Sp,20,,17,1,,,,,,,,,8.5
Bonneville,1998-03-29,Sp,21,,27,2,,,,,,,,,8.4
Bonneville,1998-03-30,Sp,37,,37,10,,,,,,,,,8.3
Bonneville,1998-03-31,Sp,75,,28,6,,,,,,,,,8.4
Bonneville,1998-04-01,Sp,148,,45,14,,,,,,,,,8.5
Bonneville,1998-04-02,Sp,240,,35,13,,,,,,,,,8.4
Bonneville,1998-04-03,Sp,185,,38,9,,,,,,,,,8.4
Bonneville,1998-04-04,Sp,310,1,35,3,,,,,,,,,8.4
Bonneville,1998-04-05,Sp,290,1,32,9,,,,,,,,,8.5
Bonneville,1998-04-06,Sp,603,,60,15,,,,,,,,,8.7
Bonneville,1998-04-07,Sp,441,-1,43,16,,,,,,,,,8.8
Bonneville,1998-04-08,Sp,434,,35,11,,,,,,,,,8.7
Bonneville,1998-04-09,Sp,592,,49,11,,,,,,,,,8.9
Bonneville,1998-04-10,Sp,724,,39,12,,,,,,,,,9
Bonneville,1998-04-11,Sp,774,1,34,5,,,,,,,,,9.1
Bonneville,1998-04-12,Sp,771,5,36,7,,,,,,,,,9.2
Bonneville,1998-04-13,Sp,903,2,25,7,,,,,,,,,9.2
Bonneville,1998-04-14,Sp,816,,16,4,,,,,,,,,9
Bonneville,1998-04-15,Sp,671,2,11,-3,,,,,,,,,9.1
Bonneville,1998-04-16,Sp,697,2,17,4,,,,,,,,,9.2
Bonneville,1998-04-17,Sp,775,2,28,4,,,,,,,,,9.5
Bonneville,1998-04-18,Sp,881,2,32,6,,,,,,,,,9.9
Bonneville,1998-04-19,Sp,1634,3,10,2,,,,,,,,,10.1
Bonneville,1998-04-20,Sp,1115,1,23,6,,,,,,,,,10.4
Bonneville,1998-04-21,Sp,1921,3,41,12,,,,,,,,,10.6
Bonneville,1998-04-22,Sp,1546,11,31,9,,,,,,,,,10.8
Bonneville,1998-04-23,Sp,1215,6,27,5,,,,,,,,,10.9
Bonneville,1998-04-24,Sp,824,5,14,5,,,,,,,,,10.8
Bonneville,1998-04-25,Sp,663,2,27,11,,,,,,,,,10.9
Bonneville,1998-04-26,Sp,1005,3,23,7,,,,,,,,,10.9
Bonneville,1998-04-27,Sp,972,6,16,4,,,,,,,,,11.3
Bonneville,1998-04-28,Sp,1187,12,16,2,,,,,,,,,11.7
Bonneville,1998-04-29,Sp,1052,20,20,-1,,,,,,,,,12.1
Bonneville,1998-04-30,Sp,936,14,24,7,,,,1,,,,,12.4
Bonneville,1998-05-01,Sp,1289,10,29,1,,,,5,,,,,12.6
Bonneville,1998-05-02,Sp,1121,11,24,2,,,,1,,,,,12.8
Bonneville,1998-05-03,Sp,750,18,37,3,,,,2,,,,,13
Bonneville,1998-05-04,Sp,863,35,23,4,,,,85,,,,,13.2
Bonneville,1998-05-05,Sp,801,24,43,12,,,,86,,,,,13.6
Bonneville,1998-05-06,Sp,733,27,35,1,,,,529,,,,,13.9
Bonneville,1998-05-07,Sp,590,37,40,3,,,,295,,,,,14.1
Bonneville,1998-05-08,Sp,468,20,35,,,,,234,,,,,14.1
Bonneville,1998-05-09,Sp,383,30,29,1,,,,83,,,,,13.9
Bonneville,1998-05-10,Sp,368,25,34,3,,,,61,,,,,13.8
Bonneville,1998-05-11,Sp,277,14,40,8,,,,356,,,,,13.5
Bonneville,1998-05-12,Sp,325,20,35,4,,,,724,,,,,13.2
