Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
Bonneville,1996-03-15,Sp,,,88,8,,,,,,,,,6.1
Bonneville,1996-03-16,Sp,,,72,8,,,,,,,,,5.3
Bonneville,1996-03-17,Sp,,,56,6,,,,,,,,,5.6
Bonneville,1996-03-18,Sp,,,56,8,,,,,,,,,5.8
Bonneville,1996-03-19,Sp,,,58,8,,,,,,,,,6
Bonneville,1996-03-20,Sp,,,56,4,,,,,,,,,6.7
Bonneville,1996-03-21,Sp,2,,72,4,,,,,,,,,7
Bonneville,1996-03-22,Sp,4,,76,6,,,,,,,,,7.2
Bonneville,1996-03-23,Sp,,,60,4,,,,,,,,,7.3
Bonneville,1996-03-24,Sp,12,,60,14,,,,,,,,,7.3
Bonneville,1996-03-25,Sp,8,,34,8,,,,,,,,,7.3
Bonneville,1996-03-26,Sp,6,,48,4,,,,,,,,,7.4
Bonneville,1996-03-27,Sp,4,,24,4,,,,,,,,,7.4
Bonneville,1996-03-28,Sp,12,,44,10,,,,,,,,,7.4
Bonneville,1996-03-29,Sp,10,,30,8,,,,,,,,,7.3
Bonneville,1996-03-30,Sp,4,,48,6,,,,,,,,,7.4
Bonneville,1996-03-31,Sp,10,,36,4,,,,,,,,,7.3
Bonneville,1996-04-01,Sp,12,,114,30,,,,,,,,,7.4
Bonneville,1996-04-02,Sp,18,,72,20,,,,,,,,,7.5
Bonneville,1996-04-03,Sp,22,,60,9,,,,,,,,,7.7
Bonneville,1996-04-04,Sp,61,2,47,4,,,,,,,,,7.9
Bonneville,1996-04-05,Sp,94,2,45,8,,,,,,,,,8
Bonneville,1996-04-06,Sp,101,2,94,6,,,,,,,,,8.2
Bonneville,1996-04-07,Sp,194,,131,32,,,,,,,,,8.6
Bonneville,1996-04-08,Sp,333,7,118,31,,,,,,,,,9
Bonneville,1996-04-09,Sp,566,2,96,25,,,,,,,,,9.3
Bonneville,1996-04-10,Sp,567,2,77,17,,,,,,,,,9.4
Bonneville,1996-04-11,Sp,349,9,53,16,,,,,,,,,9.4
Bonneville,1996-04-12,Sp,235,1,29,1,,,,,,,,,9.3
Bonneville,1996-04-13,Sp,309,2,39,8,,,,,,,,,9.6
Bonneville,1996-04-14,Sp,380,5,55,7,,,,,,,,,9.8
Bonneville,1996-04-15,Sp,314,6,69,14,,,,,,,,,10
Bonneville,1996-04-16,Sp,484,7,50,3,,,,,,,,,10.3
Bonneville,1996-04-17,Sp,395,16,61,9,,,,,,,,,10.4
Bonneville,1996-04-18,Sp,522,15,57,15,,,,,,,,,10.3
Bonneville,1996-04-19,Sp,801,34,66,2,,,,,,,,,10.3
Bonneville,1996-04-20,Sp,541,25,37,8,,,,,,,,,10.4
Bonneville,1996-04-21,Sp,726,59,51,5,,,,,,,,,10.5
Bonneville,1996-04-22,Sp,826,34,47,10,,,,,,,,,10.3
Bonneville,1996-04-23,Sp,1129,42,47,7,,,,,,,,,10.1
Bonneville,1996-04-24,Sp,1255,60,40,7,,,,,,,,,10
Bonneville,1996-04-25,Sp,874,37,50,6,,,,,,,,,10
Bonneville,1996-04-26,Sp,1103,73,45,2,,,,,,,,,10
Bonneville,1996-04-27,Sp,1831,97,36,-2,,,,,,,,,10.3
Bonneville,1996-04-28,Sp,1687,87,33,6,,,,,,,,,10.5
Bonneville,1996-04-29,Sp,1836,99,27,3,,,,,,,,,10.8
Bonneville,1996-04-30,Sp,2377,66,30,6,,,,,,,,,11.1
Bonneville,1996-05-01,Sp,2073,101,22,-1,,,,,,,,,11.2
Bonneville,1996-05-02,Sp,1545,110,20,-3,,,,,,,,,11.1
Bonneville,1996-05-03,Sp,342,39,3,,,,,,,,,,11
Bonneville,1996-05-04,Sp,747,78,6,,,,,,,,,,11.2
Bonneville,1996-05-05,Sp,1198,153,49,5,,,,,,,,,11.3
Bonneville,1996-05-06,Sp,1935,233,80,5,,,,,,,,,11.4
Bonneville,1996-05-07,Sp,2123,196,116,5,,,,,,,,,11.3
Bonneville,1996-05-08,Sp,2616,270,81,-1,,,,,,,,,10.8
Bonneville,1996-05-09,Sp,3144,369,173,6,,,,,,,,,10.8
Bonneville,1996-05-10,Sp,2242,286,125,6,,,,,,,,,11
Bonneville,1996-05-11,Sp,2026,239,85,4,,,,,,,,,11.3
Bonneville,1996-05-12,Sp,1614,256,102,7,,,,,,,,,11.4
Bonneville,1996-05-13,Sp,1570,263,110,14,,,,20,,,,,11.5
Bonneville,1996-05-14,Sp,1576,174,79,10,,,,32,,,,,11.9
Bonneville,1996-05-15,Sp,1035,141,92,7,,,,112,,,,,12.1
Bonneville,1996-05-16,Sp,715,145,108,11,,,,536,,,,,12.2
Bonneville,1996-05-17,Sp,819,156,107,15,,,,832,,,,,12.4
Bonneville,1996-05-18,Sp,517,81,84,9,,,,482,,,,,12.4
Bonneville,1996-05-19,Sp,514,96,97,1,,,,196,,,,,12.4
Bonneville,1996-05-20,Sp,301,59,73,2,,,,292,,,,,12.5
Bonneville,1996-05-21,Sp,297,49,58,5,,,,882,,,,,12.5
Bonneville,1996-05-22,Sp,288,49,56,,,,,444,,,,,12.4
Bonneville,1996-05-23,Sp,281,46,91,3,,,,354,,,,,12.3
Bonneville,1996-05-24,Sp,274,38,75,3,,,,440,,,,,12.6
Bonneville,1996-05-25,Sp,298,53,58,3,,,,2020,,,,,12.8
Bonneville,1996-05-26,Sp,316,47,56,8,,,,8854,,,,,12.8
Bonneville,1996-05-27,Sp,208,25,38,3,,,,3092,,,,,12.6
Bonneville,1996-05-28,Sp,213,27,68,2,,,,364,,,,,12.4
Bonneville,1996-05-29,Sp,189,34,83,5,,,,308,,,,,12.5
Bonneville,1996-05-30,Sp,234,31,110,3,,,,2476,,,,,12.8
Bonneville,1996-05-31,Sp,228,51,102,9,2,,,2920,,,,,12.9
Bonneville,1996-06-01,Su,303,51,139,14,12,,,26450,,,,,13.2
Bonneville,1996-06-02,Su,253,62,138,20,8,,,29874,,,,,13.5
Bonneville,1996-06-03,Su,311,32,157,18,14,,,66544,,,,,13.7
Bonneville,1996-06-04,Su,256,44,156,10,28,,,49466,,,,,13.8
Bonneville,1996-06-05,Su,288,38,180,19,36,,,44344,,,,,14
Bonneville,1996-06-06,Su,242,36,126,8,66,,,52228,,,,,14.4
Bonneville,1996-06-07,Su,240,44,214,12,52,,,78236,,,,,14.8
Bonneville,1996-06-08,Su,298,44,175,12,88,,,87314,,,,,14.9
Bonneville,1996-06-09,Su,288,47,157,17,112,,,72750,,,,,14.9
Bonneville,1996-06-10,Su,255,31,178,11,128,,,62236,,,,,15.1
Bonneville,1996-06-11,Su,252,43,175,17,258,,,54656,,,,,15.2
Bonneville,1996-06-12,Su,232,32,129,10,252,,,77928,,,,,15.5
Bonneville,1996-06-13,Su,276,58,144,15,340,,,98252,,,,,15.6
Bonneville,1996-06-14,Su,249,35,123,18,310,,,60724,,,,,15.5
Bonneville,1996-06-15,Su,260,28,145,20,346,,,75292,,,,,15.5
Bonneville,1996-06-16,Su,298,24,156,27,544,,,76332,,,,,15.4
Bonneville,1996-06-17,Su,190,47,129,12,646,,,46818,,,,,15.2
Bonneville,1996-06-18,Su,240,41,168,15,924,,,45012,,,,,15.2
Bonneville,1996-06-19,Su,262,57,199,22,996,,,45284,,,,,15.4
Bonneville,1996-06-20,Su,476,46,213,22,1296,,,60128,,,,,15.5
Bonneville,1996-06-21,Su,470,43,289,27,1740,,,57328,,,,,15.4
Bonneville,1996-06-22,Su,283,48,200,23,1484,,,50008,,,,,15.4
Bonneville,1996-06-23,Su,308,51,264,20,1528,,,65936,,,,,15.4
Bonneville,1996-06-24,Su,362,45,300,28,1736,,,39916,,,,,15.5
Bonneville,1996-06-25,Su,440,40,332,53,1790,,,35776,,,,,15.9
Bonneville,1996-06-26,Su,398,53,297,33,1832,,,60192,,,,,16.1
Bonneville,1996-06-27,Su,351,44,352,40,1796,,,52158,,,,,16.2
Bonneville,1996-06-28,Su,484,53,492,62,1788,,,49412,,,,,16.3
Bonneville,1996-06-29,Su,403,47,468,61,1300,,,31220,,,,,16.4
Bonneville,1996-06-30,Su,362,49,447,57,1036,,,24884,,,,,16.6
Bonneville,1996-07-01,Su,355,23,493,65,740,,,38520,,,,,17
Bonneville,1996-07-02,Su,367,24,450,57,696,,,32532,,,,,17.5
Bonneville,1996-07-03,Su,320,38,480,68,726,,,19004,,,,,17.5
Bonneville,1996-07-04,Su,310,32,462,78,616,,,13032,,,,,17.5
Bonneville,1996-07-05,Su,317,22,427,58,492,,,9064,,,,,17.8
Bonneville,1996-07-06,Su,338,33,474,81,560,,,9232,,,,,17.7
Bonneville,1996-07-07,Su,336,25,460,110,690,,,10752,,,,,18.2
Bonneville,1996-07-08,Su,281,26,545,117,556,,,21452,,,,,18.7
Bonneville,1996-07-09,Su,343,29,620,122,424,,,9940,,,,,18.6
Bonneville,1996-07-10,Su,308,25,642,160,420,,,3084,,,,,18.5
Bonneville,1996-07-11,Su,261,17,913,277,424,,,13968,,,,,18.9
Bonneville,1996-07-12,Su,251,19,841,250,266,16,,11304,,,,,19.4
Bonneville,1996-07-13,Su,168,12,763,205,188,4,,7176,,,,,19.4
Bonneville,1996-07-14,Su,226,24,909,231,148,,,5666,,,,,19.7
Bonneville,1996-07-15,Su,209,14,1148,340,96,,,3616,,,,,19.9
Bonneville,1996-07-16,Su,239,20,1185,376,104,,,1468,,,,,19.8
Bonneville,1996-07-17,Su,166,13,1039,361,90,,,1140,,,,,19.1
Bonneville,1996-07-18,Su,157,10,1032,321,92,,,1368,,,,,18.9
Bonneville,1996-07-19,Su,126,9,1157,345,62,2,,1480,,,,,19
Bonneville,1996-07-20,Su,88,8,992,295,48,,,1632,,,,,19.2
Bonneville,1996-07-21,Su,134,11,871,291,40,,,1032,,,,,19.4
Bonneville,1996-07-22,Su,75,17,1114,331,48,,,844,,,,,19.8
Bonneville,1996-07-23,Su,109,28,1368,425,40,2,,704,,,,,20
Bonneville,1996-07-24,Su,109,15,1762,537,36,2,,672,,,,,20.3
Bonneville,1996-07-25,Su,148,22,2115,637,24,8,,504,,,,,20.4
Bonneville,1996-07-26,Su,230,32,2734,861,24,,,590,,,,,20.6
Bonneville,1996-07-27,Su,158,18,2913,832,22,,,772,,,,,20.7
Bonneville,1996-07-28,Su,161,18,2747,740,12,,,592,,,,,20.6
Bonneville,1996-07-29,Su,134,13,3416,919,12,2,,232,,,,,20.7
Bonneville,1996-07-30,Su,131,25,2967,752,4,6,4,256,,,,,20.7
Bonneville,1996-07-31,Su,149,25,2875,697,8,10,4,168,,,,,20.5
Bonneville,1996-08-01,Fa,153,14,2643,589,8,,,124,,,,,20.7
Bonneville,1996-08-02,Fa,98,24,2142,451,4,4,,76,,,,,20.4
Bonneville,1996-08-03,Fa,190,26,2978,599,6,,,82,,,,,20.2
Bonneville,1996-08-04,Fa,300,18,3519,679,4,,,78,,,,,20
Bonneville,1996-08-05,Fa,257,27,3931,777,2,,,104,,,,,19.8
Bonneville,1996-08-06,Fa,182,17,2976,505,,2,,128,,,,,19.9
Bonneville,1996-08-07,Fa,267,23,3812,619,4,4,,128,,,,,20.4
Bonneville,1996-08-08,Fa,426,28,3720,578,4,2,,116,,,,,20.7
Bonneville,1996-08-09,Fa,456,29,3993,556,,4,,78,,,,,21
Bonneville,1996-08-10,Fa,566,39,4374,577,,4,,76,,,,,21.1
Bonneville,1996-08-11,Fa,969,46,5236,677,,10,,64,,,,,20.9
Bonneville,1996-08-12,Fa,689,19,4634,553,2,2,,56,,,,,20.7
Bonneville,1996-08-13,Fa,686,36,3979,421,2,,,44,,,,,20.7
Bonneville,1996-08-14,Fa,407,30,2951,285,,,,28,,,,,20.8
Bonneville,1996-08-15,Fa,699,28,3587,405,,,,28,,,,,20.8
Bonneville,1996-08-16,Fa,547,24,3356,357,,4,,52,,,,,20.7
Bonneville,1996-08-17,Fa,419,40,3303,383,,4,,34,,,,,20.4
Bonneville,1996-08-18,Fa,416,25,3245,341,,4,,24,,,,,20.1
Bonneville,1996-08-19,Fa,484,29,2975,304,,,,22,,,,,20.1
Bonneville,1996-08-20,Fa,877,54,3016,266,,4,,22,,,,,20
Bonneville,1996-08-21,Fa,1635,66,2516,281,,18,,20,,,,,20.3
Bonneville,1996-08-22,Fa,2326,92,2504,244,,12,,36,,,,,20.6
Bonneville,1996-08-23,Fa,3519,95,2730,264,,26,,16,,,,,20.7
Bonneville,1996-08-24,Fa,4859,109,3222,296,,32,,18,,,,,20.8
Bonneville,1996-08-25,Fa,4608,134,3681,341,,36,2,2,,,,,20.9
Bonneville,1996-08-26,Fa,4955,228,3389,304,,26,6,10,,,,,20.8
Bonneville,1996-08-27,Fa,3441,197,2905,225,,20,,16,,,,,20.5
Bonneville,1996-08-28,Fa,3198,179,2413,231,,24,,8,,,,,20.3
Bonneville,1996-08-29,Fa,2726,161,1752,173,,28,,12,,,,,20.4
Bonneville,1996-08-30,Fa,5263,237,2082,236,,36,2,12,,,,,20.7
Bonneville,1996-08-31,Fa,10158,414,2297,304,,88,8,10,,,,,20.6
Bonneville,1996-09-01,Fa,8317,445,2614,327,,160,8,,,,,,20.6
Bonneville,1996-09-02,Fa,6937,444,2799,347,,172,18,,,,,,20.4
Bonneville,1996-09-03,Fa,6453,398,2465,263,,208,14,,,,,,20.1
Bonneville,1996-09-04,Fa,10409,552,2801,325,,288,24,,,,,,19.8
Bonneville,1996-09-05,Fa,8259,479,2478,226,,240,36,,,,,,19.6
Bonneville,1996-09-06,Fa,8362,451,2240,239,,212,52,,,,,,19.5
Bonneville,1996-09-07,Fa,8890,470,2060,212,,256,46,,,,,,19.7
Bonneville,1996-09-08,Fa,10833,516,2303,197,,236,48,,,,,,19.9
Bonneville,1996-09-09,Fa,10662,666,2386,229,,326,48,,,,,,19.9
Bonneville,1996-09-10,Fa,8944,787,2397,211,,374,92,,,,,,20
Bonneville,1996-09-11,Fa,6959,734,2052,179,,384,78,,,,,,20
Bonneville,1996-09-12,Fa,5292,698,1957,161,,364,104,,,,,,19.8
Bonneville,1996-09-13,Fa,5244,555,1934,168,,488,106,,,,,,19.6
Bonneville,1996-09-14,Fa,3409,441,1346,114,,460,76,,,,,,19.4
Bonneville,1996-09-15,Fa,3859,514,1570,110,,528,80,,,,,,19.4
Bonneville,1996-09-16,Fa,2912,366,1245,106,,426,72,,,,,,19
Bonneville,1996-09-17,Fa,2496,324,1053,114,,320,92,,,,,,18.9
Bonneville,1996-09-18,Fa,2831,338,1164,120,,354,72,,,,,,19.4
Bonneville,1996-09-19,Fa,3121,482,1205,122,,420,124,,,,,,19.4
Bonneville,1996-09-20,Fa,3202,457,1370,92,,312,104,,,,,,18.9
Bonneville,1996-09-21,Fa,1878,342,1188,101,,288,94,,,,,,18.9
Bonneville,1996-09-22,Fa,1537,258,879,70,,186,84,,,,,,18.3
Bonneville,1996-09-23,Fa,2424,382,1080,87,,234,64,,,,,,18.3
Bonneville,1996-09-24,Fa,1442,236,752,69,,188,48,,,,,,18.3
Bonneville,1996-09-25,Fa,1421,268,756,54,,138,46,,,,,,18.3
Bonneville,1996-09-26,Fa,1189,244,804,72,,176,64,,,,,,17.8
Bonneville,1996-09-27,Fa,904,206,690,62,,144,26,,,,,,17.8
Bonneville,1996-09-28,Fa,1093,219,771,49,,220,60,,,,,,17.8
Bonneville,1996-09-29,Fa,916,189,640,41,,168,42,,,,,,17.8
Bonneville,1996-09-30,Fa,907,147,567,53,,204,34,,,,,,17.8
Bonneville,1996-10-01,Fa,808,177,581,55,,580,56,,,,,,18.3
Bonneville,1996-10-02,Fa,513,98,446,47,,446,48,,,,1,,18.3
Bonneville,1996-10-03,Fa,339,107,372,35,,372,36,,,,,,17.2
Bonneville,1996-10-04,Fa,405,100,464,45,,464,44,,,,,,16.7
Bonneville,1996-10-05,Fa,871,150,479,54,,480,54,,,,,,16.7
