Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
Bonneville,1973-03-15,Sp,3,,12,,,,,,,,,,
Bonneville,1973-03-16,Sp,5,,9,,,,,,,,,,
Bonneville,1973-03-17,Sp,24,,131,,,,,,,,,,
Bonneville,1973-03-18,Sp,4,,39,,,,,,,,,,
Bonneville,1973-03-19,Sp,,,81,,,,,,,,,,
Bonneville,1973-03-20,Sp,7,,12,,,,,,,,,,
Bonneville,1973-03-21,Sp,19,,29,,,,,,,,,,
Bonneville,1973-03-22,Sp,22,,50,,,,,,,,,,
Bonneville,1973-03-23,Sp,30,,21,,,,,,,,,,
Bonneville,1973-03-24,Sp,51,,61,,,,,,,,,,
Bonneville,1973-03-25,Sp,104,,71,,,,,,,,,,
Bonneville,1973-03-26,Sp,194,,97,,,,,,,,,,
Bonneville,1973-03-27,Sp,205,,54,,,,,,,,,,
Bonneville,1973-03-28,Sp,374,,63,,,,,,,,,,
Bonneville,1973-03-29,Sp,261,,29,,,,,,,,,,
Bonneville,1973-03-30,Sp,127,,27,,,,,,,,,,
Bonneville,1973-03-31,Sp,155,,44,,,,,,,,,,
Bonneville,1973-04-01,Sp,1781,,312,,,,,,,,,,
Bonneville,1973-04-02,Sp,2722,,149,,,,,,,,,,
Bonneville,1973-04-03,Sp,1758,,50,,,,,,,,,,
Bonneville,1973-04-04,Sp,2169,,107,,,,,,,,,,
Bonneville,1973-04-05,Sp,3258,,112,,,,,,,,,,
Bonneville,1973-04-06,Sp,2573,,87,,,,,,,,,,
Bonneville,1973-04-07,Sp,2447,,82,,,,,,,,,,
Bonneville,1973-04-08,Sp,2306,,92,,,,,,,,,,
Bonneville,1973-04-09,Sp,3946,,83,,,,,,,,,,
Bonneville,1973-04-10,Sp,2637,,89,,,,,,,,,,
Bonneville,1973-04-11,Sp,4924,,152,,,,,,,,,,
Bonneville,1973-04-12,Sp,4193,,148,,,,,,,,,,
Bonneville,1973-04-13,Sp,4052,,102,,,,,,,,,,
Bonneville,1973-04-14,Sp,7278,,111,,,,,,,,,,
Bonneville,1973-04-15,Sp,8411,,108,,,,,,,,,,
Bonneville,1973-04-16,Sp,8206,,85,,,,,,,,,,
Bonneville,1973-04-17,Sp,5633,,37,,,,,,,,,,
Bonneville,1973-04-18,Sp,3544,,32,,,,,,,,,,
Bonneville,1973-04-19,Sp,4977,,52,,,,,,,,,,
Bonneville,1973-04-20,Sp,5201,,46,,,,,,,,,,
Bonneville,1973-04-21,Sp,5142,,34,,,,,,,,,,
Bonneville,1973-04-22,Sp,6682,,39,,,,,,,,,,
Bonneville,1973-04-23,Sp,8735,,70,,,,,,,,,,
Bonneville,1973-04-24,Sp,3722,,49,,,,,,,,,,
Bonneville,1973-04-25,Sp,5104,,65,,,,,,,,,,
Bonneville,1973-04-26,Sp,6573,,40,,,,,,,,,,
Bonneville,1973-04-27,Sp,3846,,45,,,,,,,,,,
Bonneville,1973-04-28,Sp,2729,,61,,,,,,,,,,
Bonneville,1973-04-29,Sp,2298,,57,,,,,,,,,,
Bonneville,1973-04-30,Sp,1648,,38,,,,,,,,,,
Bonneville,1973-05-01,Sp,722,,26,,,,,,,,,,
Bonneville,1973-05-02,Sp,760,,24,,,,,,,,,,
Bonneville,1973-05-03,Sp,419,,19,,,,,,,,,,
Bonneville,1973-05-04,Sp,549,,24,,,,,,,,,,
Bonneville,1973-05-05,Sp,459,,8,,,,,,,,,,
Bonneville,1973-05-06,Sp,524,,20,,,,,,,,,,
Bonneville,1973-05-07,Sp,298,,19,,1,,,,,,,,
Bonneville,1973-05-08,Sp,327,,30,,,,,,,,,,
Bonneville,1973-05-09,Sp,300,,25,,,,,,,,,,
Bonneville,1973-05-10,Sp,317,,22,,,,,4,,,,,
Bonneville,1973-05-11,Sp,297,,24,,,,,107,,,,,
Bonneville,1973-05-12,Sp,418,,39,,,,,422,,,,,
Bonneville,1973-05-13,Sp,392,,36,,,,,462,,,,,
Bonneville,1973-05-14,Sp,375,,49,,,,,1802,,,,,
Bonneville,1973-05-15,Sp,330,,62,,,,,7769,,,,,
Bonneville,1973-05-16,Sp,311,,63,,,,,7216,,,,,
Bonneville,1973-05-17,Sp,190,,42,,3,,,4973,,,,,
Bonneville,1973-05-18,Sp,206,,62,,,,,3001,,,,,
Bonneville,1973-05-19,Sp,181,,65,,,,,3097,,,,,
Bonneville,1973-05-20,Sp,173,,44,,,,,1765,,,,,
Bonneville,1973-05-21,Sp,153,,34,,,,,2145,,,,,
Bonneville,1973-05-22,Sp,193,,54,,1,,,1518,,,,,
Bonneville,1973-05-23,Sp,183,,67,,2,,,882,,,,,
Bonneville,1973-05-24,Sp,142,,63,,1,,,7821,,,,,
Bonneville,1973-05-25,Sp,257,,56,,,,,3080,,,,,
Bonneville,1973-05-26,Sp,464,,82,,2,,,4336,,,,,
Bonneville,1973-05-27,Sp,604,,64,,,,,11044,,,,,
Bonneville,1973-05-28,Sp,526,,39,,4,,,7243,,,,,
Bonneville,1973-05-29,Sp,518,,59,,,,,11519,,,,,
Bonneville,1973-05-30,Sp,744,,72,,3,,,23695,,,,,
Bonneville,1973-05-31,Sp,736,,74,,,,,12156,,,,,
Bonneville,1973-06-01,Su,800,,57,,9,,,11689,,,,,
Bonneville,1973-06-02,Su,965,,58,,8,,,16088,,,,,
Bonneville,1973-06-03,Su,839,,74,,3,,,3277,,,,,
Bonneville,1973-06-04,Su,712,,46,,14,,,11147,,,,,
Bonneville,1973-06-05,Su,736,,90,,3,,,16538,,,,,
Bonneville,1973-06-06,Su,830,,140,,12,,,34923,,,,,
Bonneville,1973-06-07,Su,740,,77,,15,,,23159,,,,,
Bonneville,1973-06-08,Su,933,,100,,60,,,27971,,,,,
Bonneville,1973-06-09,Su,884,,84,,86,,,9190,,,,,
Bonneville,1973-06-10,Su,1116,,181,,128,,,8622,,,,,
Bonneville,1973-06-11,Su,977,,133,,130,,,20872,,,,,
Bonneville,1973-06-12,Su,1203,,160,,127,,,46892,,,,,
Bonneville,1973-06-13,Su,1094,,158,,212,,,27701,,,,,
Bonneville,1973-06-14,Su,882,,144,,296,,,17501,,,,,
Bonneville,1973-06-15,Su,829,,152,,406,,,17982,,,,,
Bonneville,1973-06-16,Su,959,,178,,459,,,17204,,,,,
Bonneville,1973-06-17,Su,1058,,266,,679,,,9828,,,,,
Bonneville,1973-06-18,Su,736,,158,,559,,,7106,,,,,
Bonneville,1973-06-19,Su,632,,189,,684,,,13178,,,,,
Bonneville,1973-06-20,Su,738,,190,,998,,,9157,,,,,
Bonneville,1973-06-21,Su,719,,128,,1672,,,4315,,,,,
Bonneville,1973-06-22,Su,662,,149,,1601,,,2296,,,,,
Bonneville,1973-06-23,Su,860,,214,,2184,,,5308,,,,,
Bonneville,1973-06-24,Su,803,,257,,2943,,,8180,,,,,
Bonneville,1973-06-25,Su,530,,244,,2854,,,1613,,,,,
Bonneville,1973-06-26,Su,462,,259,,2236,,,2113,,,,,
Bonneville,1973-06-27,Su,358,,262,,2143,,,1617,,,,,
Bonneville,1973-06-28,Su,399,,331,,1865,,,1024,,,,,
Bonneville,1973-06-29,Su,542,,399,,2742,,,786,,,,,
Bonneville,1973-06-30,Su,1166,,482,,4186,,,553,,,,,
Bonneville,1973-07-01,Su,958,,488,,3558,,,360,,,,,
Bonneville,1973-07-02,Su,569,,629,,2909,,,872,,,,,
Bonneville,1973-07-03,Su,578,,646,,1814,,,797,,,,,
Bonneville,1973-07-04,Su,672,,803,,2530,,,1988,,,,,
Bonneville,1973-07-05,Su,563,,855,,1958,,,1478,,,,,
Bonneville,1973-07-06,Su,641,,1096,,1884,,,1942,,,,,
Bonneville,1973-07-07,Su,929,,1183,,2358,,,3158,,,,,
Bonneville,1973-07-08,Su,735,,1039,,1657,,,1477,,,,,
Bonneville,1973-07-09,Su,570,,1084,,1525,,,1216,,,,,
Bonneville,1973-07-10,Su,901,,1658,,1859,,,2276,,,,,
Bonneville,1973-07-11,Su,539,,1519,,1157,,,968,,,,,
Bonneville,1973-07-12,Su,732,,1945,,1046,,,524,,,,,
Bonneville,1973-07-13,Su,1187,,2244,,899,,,707,,,,,
Bonneville,1973-07-14,Su,882,,1992,,664,,,702,,,,,
Bonneville,1973-07-15,Su,494,,1503,,514,,,634,,,,,
Bonneville,1973-07-16,Su,702,,2512,,480,,,412,,,,1,
Bonneville,1973-07-17,Su,879,,2142,,285,,,549,,,,,
Bonneville,1973-07-18,Su,812,,2054,,296,,,866,,,,,
Bonneville,1973-07-19,Su,589,,1554,,238,,,575,,,,,
Bonneville,1973-07-20,Su,516,,1493,,279,,,630,,,,1,
Bonneville,1973-07-21,Su,683,,2180,,303,,,364,,,,,
Bonneville,1973-07-22,Su,604,,2195,,226,,,215,,,,,
Bonneville,1973-07-23,Su,404,,1558,,169,,,168,,,,,
Bonneville,1973-07-24,Su,429,,2038,,153,,,196,,,,,
Bonneville,1973-07-25,Su,515,,2116,,162,,,186,,,,,
Bonneville,1973-07-26,Su,590,,2221,,143,,,218,,,,,
Bonneville,1973-07-27,Su,619,,2216,,75,,,252,,,,,
Bonneville,1973-07-28,Su,822,,3116,,71,,,366,,,,,
Bonneville,1973-07-29,Su,925,,3203,,42,,,370,,,,,
Bonneville,1973-07-30,Su,592,,2034,,28,,,143,,,,,
Bonneville,1973-07-31,Su,565,,2504,,26,,,92,,,,,
Bonneville,1973-08-01,Fa,523,,1899,,26,,,68,,,,,
Bonneville,1973-08-02,Fa,682,,2195,,9,,,58,,,,,
Bonneville,1973-08-03,Fa,454,,1223,,43,,,54,,,,,
Bonneville,1973-08-04,Fa,561,,1715,,30,,,92,,,,,
Bonneville,1973-08-05,Fa,341,,989,,25,,,41,,,,,
Bonneville,1973-08-06,Fa,465,,1131,,19,,,22,,,,,
Bonneville,1973-08-07,Fa,484,,1598,,21,,,34,,,,,
Bonneville,1973-08-08,Fa,472,,1410,,11,,,40,,,,,
Bonneville,1973-08-09,Fa,645,,1907,,12,,,36,,,,,
Bonneville,1973-08-10,Fa,511,,1343,,10,,,14,,,,,
Bonneville,1973-08-11,Fa,804,,1265,,9,,,11,,,,,
Bonneville,1973-08-12,Fa,626,,1317,,22,,,11,,,,,
Bonneville,1973-08-13,Fa,405,,1094,,19,,,8,,,,,
Bonneville,1973-08-14,Fa,732,,1155,,22,,,13,,,,,
Bonneville,1973-08-15,Fa,790,,1227,,29,,,10,,,,,
Bonneville,1973-08-16,Fa,830,,1405,,4,,,11,,,,,
Bonneville,1973-08-17,Fa,963,,1197,,11,,,4,,,,,
Bonneville,1973-08-18,Fa,1049,,1220,,1,,,5,,,,,
Bonneville,1973-08-19,Fa,1288,,1172,,,,,4,,,,,
Bonneville,1973-08-20,Fa,1172,,1373,,1,,,2,,,,,
Bonneville,1973-08-21,Fa,2277,,1965,,2,,,,,,,,
Bonneville,1973-08-22,Fa,1298,,1894,,1,,,5,,,,,
Bonneville,1973-08-23,Fa,1465,,2113,,,,,3,,,,,
Bonneville,1973-08-24,Fa,906,,1459,,,,,1,,,,,
Bonneville,1973-08-25,Fa,1068,,834,,1,,,4,,,,,
Bonneville,1973-08-26,Fa,1071,,948,,1,,,,,,,,
Bonneville,1973-08-27,Fa,1291,,1206,,,,,2,,,,,
Bonneville,1973-08-28,Fa,1437,,1046,,,,,19,,,,,
Bonneville,1973-08-29,Fa,2134,,2142,,6,,,5,,,,,
Bonneville,1973-08-30,Fa,1958,,1690,,2,,,,,,,,
Bonneville,1973-08-31,Fa,2811,,3267,,,,,,,,,,
Bonneville,1973-09-01,Fa,2941,,2248,,,,,,,,,1,
Bonneville,1973-09-02,Fa,3319,,3240,,,,,,,,31,,
Bonneville,1973-09-03,Fa,4803,,3099,,,,,,,,,,
Bonneville,1973-09-04,Fa,7554,,3469,,,,,1,,,,,
Bonneville,1973-09-05,Fa,11367,,3286,,,,,1,,,,2,
Bonneville,1973-09-06,Fa,11886,,2990,,,,,2,,,,1,
Bonneville,1973-09-07,Fa,14409,,2761,,,,,,,,,,
Bonneville,1973-09-08,Fa,15858,,2185,,,,,4,,,,1,
Bonneville,1973-09-09,Fa,13731,,1636,,,,,6,,,,1,
Bonneville,1973-09-10,Fa,14353,,1859,,,,,1,,,,,
Bonneville,1973-09-11,Fa,13970,,1871,,1,,,1,,,,,
Bonneville,1973-09-12,Fa,14017,,1945,,,,,2,,,,,
Bonneville,1973-09-13,Fa,8966,,1721,,,,,1,,,,,
Bonneville,1973-09-14,Fa,5151,,1434,,,,,1,,,,1,
