Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
Bonneville,1985-03-15,Sp,21,,57,,,,,,,,,,6.1
Bonneville,1985-03-16,Sp,22,,64,,,,,,,,,,6.1
Bonneville,1985-03-17,Sp,29,,79,,,,,,,,,,6.1
Bonneville,1985-03-18,Sp,14,,69,,,,,,,,,,6.1
Bonneville,1985-03-19,Sp,34,,50,,,,,,,,,,6.1
Bonneville,1985-03-20,Sp,22,,72,,,,,,,,,,6.1
Bonneville,1985-03-21,Sp,39,,69,,,,,,,,,,6.1
Bonneville,1985-03-22,Sp,10,1,39,,,,,,,,,,6.1
Bonneville,1985-03-23,Sp,63,2,56,,,,,,,,,,6.1
Bonneville,1985-03-24,Sp,43,1,60,,,,,,,,,,6.1
Bonneville,1985-03-25,Sp,142,,55,,,1,,,,,,,6.1
Bonneville,1985-03-26,Sp,120,,32,,,,,,,,,,6.7
Bonneville,1985-03-27,Sp,143,1,36,,,,,,,,,,6.7
Bonneville,1985-03-28,Sp,160,1,50,,,,,,,,,,6.7
Bonneville,1985-03-29,Sp,240,,24,,,,,,,,,,6.7
Bonneville,1985-03-30,Sp,294,,71,,,,,,,,,,6.7
Bonneville,1985-03-31,Sp,633,1,94,,,,,,,,,,6.7
Bonneville,1985-04-01,Sp,1403,1,119,,,,,,,,,,7.8
Bonneville,1985-04-02,Sp,909,2,97,,,,,,,,,,7.8
Bonneville,1985-04-03,Sp,1202,3,99,,,,,,,,,,7.8
Bonneville,1985-04-04,Sp,878,2,82,,,,,,,,,,7.8
Bonneville,1985-04-05,Sp,691,1,78,,,,,,,,,,7.8
Bonneville,1985-04-06,Sp,728,1,89,,,,,,,,,,7.8
Bonneville,1985-04-07,Sp,1433,,102,,,,,,,,,,8.3
Bonneville,1985-04-08,Sp,1229,1,97,,,,,,,,,,8.9
Bonneville,1985-04-09,Sp,1139,9,125,,,,,,,,,,8.9
Bonneville,1985-04-10,Sp,2023,14,119,,,,,,,,,,8.9
Bonneville,1985-04-11,Sp,2513,10,120,,,,,,,,,,9.4
Bonneville,1985-04-12,Sp,1579,9,114,,,,,,,,,,9.4
Bonneville,1985-04-13,Sp,2091,14,100,,,,,,,,,,10
Bonneville,1985-04-14,Sp,2437,14,105,,1,,,,,,,,10
Bonneville,1985-04-15,Sp,2645,15,71,,,,,,,,,,10.6
Bonneville,1985-04-16,Sp,2007,23,125,,,,,,,,,,10.6
Bonneville,1985-04-17,Sp,1786,22,150,,,,,,,,,,11.1
Bonneville,1985-04-18,Sp,1593,22,90,,,,,,,,,,11.1
Bonneville,1985-04-19,Sp,1884,26,115,,,,,,,,,,10.6
Bonneville,1985-04-20,Sp,1482,49,120,,1,,,,,,,,10.6
Bonneville,1985-04-21,Sp,1125,20,105,,,,,,,,,,10.6
Bonneville,1985-04-22,Sp,1676,32,81,,,,,,,,,,10.6
Bonneville,1985-04-23,Sp,2246,48,86,,,,,,,,,,11.1
Bonneville,1985-04-24,Sp,2121,57,67,,,,,,,,,,10.6
Bonneville,1985-04-25,Sp,1828,71,73,,,,,,,,,,11.1
Bonneville,1985-04-26,Sp,1701,51,85,,1,,,,,,,,10.6
Bonneville,1985-04-27,Sp,2247,112,88,,,,,,,,,,10
Bonneville,1985-04-28,Sp,2993,109,78,,,,,,,,,,11.1
