Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
Bonneville,2000-03-15,Sp,4,,58,31,,,,,,,,,6.3
Bonneville,2000-03-16,Sp,3,,45,26,,,,,,,,,6.4
Bonneville,2000-03-17,Sp,4,,38,19,,,,,,,,,6.3
Bonneville,2000-03-18,Sp,2,,45,21,,,,,,,,,6.3
Bonneville,2000-03-19,Sp,6,,32,18,,,,,,,,,6.4
Bonneville,2000-03-20,Sp,8,1,24,15,,,,,,,,,6.4
Bonneville,2000-03-21,Sp,23,1,43,13,,,,,,,,,6.7
Bonneville,2000-03-22,Sp,33,1,52,28,,,,,,,,,6.9
Bonneville,2000-03-23,Sp,16,,66,21,,,,,,,,,7
Bonneville,2000-03-24,Sp,37,,51,25,,,,,,,,,7.1
Bonneville,2000-03-25,Sp,86,1,44,17,,,,,,,,,7.1
Bonneville,2000-03-26,Sp,84,,18,5,,,,,,,,,7.2
Bonneville,2000-03-27,Sp,132,-1,30,13,,,,,,,,,7.3
Bonneville,2000-03-28,Sp,290,1,53,10,,,,,,,,,7.3
Bonneville,2000-03-29,Sp,200,,53,11,,,,,,,,,7.4
Bonneville,2000-03-30,Sp,178,3,40,17,,,,,,,,,7.6
Bonneville,2000-03-31,Sp,330,4,38,11,,,,,,,,,7.8
Bonneville,2000-04-01,Sp,1693,4,58,24,,,,,,,,,8.1
Bonneville,2000-04-02,Sp,2076,9,61,32,,,,,,,,,8.4
Bonneville,2000-04-03,Sp,1872,15,59,21,,,,,,,,,8.7
Bonneville,2000-04-04,Sp,2833,16,55,34,,,,,,,,,8.8
Bonneville,2000-04-05,Sp,1754,17,43,26,,,,,,,,,8.7
Bonneville,2000-04-06,Sp,916,7,53,29,,,,,,,,,8.7
Bonneville,2000-04-07,Sp,1299,6,45,26,,,,,,,,,8.8
Bonneville,2000-04-08,Sp,1104,12,49,22,,,,,,,,,9
Bonneville,2000-04-09,Sp,2147,25,37,21,,,,,,,,,9.3
Bonneville,2000-04-10,Sp,3161,42,34,13,,,,,,,,,9.5
Bonneville,2000-04-11,Sp,4539,54,34,15,,,,,,,,,9.8
Bonneville,2000-04-12,Sp,3824,57,49,24,,,,,,,,,10.1
Bonneville,2000-04-13,Sp,5313,62,35,17,,,,,,,,,10.3
Bonneville,2000-04-14,Sp,3258,64,40,12,,,,,,,,,10.2
Bonneville,2000-04-15,Sp,2028,65,22,6,,,,,,,,,10.1
Bonneville,2000-04-16,Sp,2678,73,44,13,,,,,,,,,10.3
Bonneville,2000-04-17,Sp,8635,246,37,13,,,,,4,,,,10.4
Bonneville,2000-04-18,Sp,7026,150,22,3,,,,,4,,,,10.7
Bonneville,2000-04-19,Sp,7164,245,43,14,,,,,,,,,10.8
Bonneville,2000-04-20,Sp,5551,241,36,10,,,,,11,,,,10.9
Bonneville,2000-04-21,Sp,7434,327,46,11,,,,,19,,,,11.1
Bonneville,2000-04-22,Sp,6513,283,51,20,,,,,23,,,,11.2
Bonneville,2000-04-23,Sp,4357,285,47,14,,,,,8,,,,11.1
Bonneville,2000-04-24,Sp,3399,304,43,9,,,,1,1,,,,10.9
Bonneville,2000-04-25,Sp,5877,567,33,6,,,,,1,,,,10.8
Bonneville,2000-04-26,Sp,4457,535,30,10,,,,,1,,,,10.9
Bonneville,2000-04-27,Sp,7606,746,19,2,,,,4,8,,,,10.9
Bonneville,2000-04-28,Sp,6842,646,19,6,,,,1,5,,,,10.9
Bonneville,2000-04-29,Sp,3432,432,38,5,,,,,5,,,,10.9
Bonneville,2000-04-30,Sp,3233,552,16,-1,,,,,1,,,,10.9
Bonneville,2000-05-01,Sp,4666,703,29,6,,,,,6,,,,11.1
Bonneville,2000-05-02,Sp,5211,972,21,-2,,,,2,6,,,,11.3
Bonneville,2000-05-03,Sp,4633,818,26,-1,,,,2,5,,,,11.3
Bonneville,2000-05-04,Sp,4522,1004,15,-5,,,,6,4,,,,11.4
Bonneville,2000-05-05,Sp,4368,1104,24,,,,,36,11,,,,11.6
Bonneville,2000-05-06,Sp,3223,941,40,-2,,,,23,6,,,,11.8
Bonneville,2000-05-07,Sp,3449,983,39,1,,,,50,12,,,,12.1
Bonneville,2000-05-08,Sp,2364,873,49,6,,,,134,13,,,,12.2
Bonneville,2000-05-09,Sp,2270,736,42,12,,,,61,5,,,,12.3
Bonneville,2000-05-10,Sp,1249,559,55,18,,,,68,20,,,,12.1
Bonneville,2000-05-11,Sp,992,511,55,9,,,,32,-1,,,,11.9
Bonneville,2000-05-12,Sp,1432,705,78,22,,,,55,10,,,,11.9
Bonneville,2000-05-13,Sp,1399,585,80,34,,,,115,7,,,,12.2
Bonneville,2000-05-14,Sp,1300,480,53,18,,,,568,11,,,,12.4
Bonneville,2000-05-15,Sp,1184,377,54,7,,,,2075,19,,,,12.7
Bonneville,2000-05-16,Sp,1116,368,80,14,,,,2048,25,,,,12.8
Bonneville,2000-05-17,Sp,1085,329,47,10,,,,1063,18,,,,12.8
Bonneville,2000-05-18,Sp,827,292,87,7,,,,1697,13,,,,12.8
Bonneville,2000-05-19,Sp,986,238,77,8,,,,4540,12,,,,13.1
Bonneville,2000-05-20,Sp,737,185,90,16,,,,7733,24,,,,13.4
Bonneville,2000-05-21,Sp,748,222,95,13,,,,8317,48,,,,13.7
Bonneville,2000-05-22,Sp,909,203,91,20,,,,14439,228,,,,14.1
Bonneville,2000-05-23,Sp,633,167,67,10,1,,,22614,332,,,,14.3
