Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
Bonneville,1939-01-01,,,,,,,,,,,,,,
Bonneville,1939-01-02,,,,1,,,,,,,,,,
Bonneville,1939-01-03,,,,1,,,,,,,,,,
Bonneville,1939-01-04,,1,,2,,,,,,,,,,
Bonneville,1939-01-05,,,,1,,,,,,,,1,,
Bonneville,1939-01-06,,,,,,,,,,,,,,
Bonneville,1939-01-07,,,,2,,,,,,,,1,,
Bonneville,1939-01-08,,,,,,,,,,,,,,
Bonneville,1939-01-09,,,,,,,,,,,,,,
Bonneville,1939-01-10,,1,,2,,,,,,,,,,
Bonneville,1939-01-11,,1,,,,,,,,,,,,
Bonneville,1939-01-12,,1,,1,,,,,,,,,,
Bonneville,1939-01-13,,,,,,,,,,,,,,
Bonneville,1939-01-14,,,,1,,,,,,,,,,
Bonneville,1939-01-15,,,,1,,,,,,,,,,
Bonneville,1939-01-16,,,,,,,,,,,,,,
Bonneville,1939-01-17,,,,,,,,,,,,,,
Bonneville,1939-01-18,,,,8,,,,,,,,,,
Bonneville,1939-01-19,,1,,1,,,,,,,,,,
Bonneville,1939-01-20,,1,,,,,,,,,,,,
Bonneville,1939-01-21,,,,,,,,,,,,,,
Bonneville,1939-01-22,,,,,,,,,,,,,,
Bonneville,1939-01-23,,,,,,,,,,,,,,
Bonneville,1939-01-24,,,,1,,,,,,,,,,
Bonneville,1939-01-25,,,,1,,,,,,,,,,
Bonneville,1939-01-26,,,,,,,,,,,,,,
Bonneville,1939-01-27,,,,,,,,,,,,,,
Bonneville,1939-01-28,,,,,,,,,,,,,,
Bonneville,1939-01-29,,,,,,,,,,,,,,
Bonneville,1939-01-30,,,,,,,,,,,,,,
Bonneville,1939-01-31,,,,,,,,,,,,,,
Bonneville,1939-02-01,,,,,,,,,,,,,,
Bonneville,1939-02-02,,,,,,,,,,,,,,
Bonneville,1939-02-03,,,,7,,,,,,,,,,
Bonneville,1939-02-04,,,,,,,,,,,,,,
Bonneville,1939-02-05,,,,,,,,,,,,,,
Bonneville,1939-02-06,,,,,,,,,,,,,,
Bonneville,1939-02-07,,,,,,,,,,,,,,
Bonneville,1939-02-08,,,,,,,,,,,,,,
Bonneville,1939-02-09,,,,,,,,,,,,,,
Bonneville,1939-02-10,,,,,,,,,,,,,,
Bonneville,1939-02-11,,,,,,,,,,,,,,
Bonneville,1939-02-12,,,,,,,,,,,,,,
Bonneville,1939-02-13,,6,,,,,,,,,,,,
Bonneville,1939-02-14,,,,4,,,,,,,,,,
Bonneville,1939-02-15,,3,,5,,,,,,,,,,
Bonneville,1939-02-16,,2,,1,,,,,,,,,,
Bonneville,1939-02-17,,1,,,,,,,,,,,,
Bonneville,1939-02-18,,,,1,,,,,,,,,,
Bonneville,1939-02-19,,,,,,,,,,,,,,
Bonneville,1939-02-20,,,,,,,,,,,,,,
Bonneville,1939-02-21,,,,1,,,,,,,,,,
Bonneville,1939-02-22,,,,,,,,,,,,,,
Bonneville,1939-02-23,,,,,,,,,,,,,,
Bonneville,1939-02-24,,,,,,,,,,,,,,
Bonneville,1939-02-25,,,,,,,,,,,,,,
Bonneville,1939-02-26,,,,,,,,,,,,,,
Bonneville,1939-02-27,,,,,,,,,,,,,,
Bonneville,1939-02-28,,,,,,,,,,,,,,
Bonneville,1939-03-01,,,,1,,,,,,,,,,
Bonneville,1939-03-02,,1,,1,,,,,,,,,,
Bonneville,1939-03-03,,,,,,,,,,,,,,
Bonneville,1939-03-04,,2,,9,,,,,,,,,,
Bonneville,1939-03-05,,3,,8,,,,,,,,,,
Bonneville,1939-03-06,,1,,4,,,,,,,,,,
Bonneville,1939-03-07,,1,,14,,,,,,,,,,
Bonneville,1939-03-08,,,,2,,,,,,,,,,
Bonneville,1939-03-09,,,,1,,,,,,,,,,
