Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
Bonneville,2003-01-01,,,,20,-3,,,,,,,,,6.7
Bonneville,2003-01-02,,,,15,-2,,,,,,,,,6.7
Bonneville,2003-01-03,,,,19,4,,,,,,,,,6.7
Bonneville,2003-01-04,,,,16,7,,-1,1,,,,,,6.7
Bonneville,2003-01-05,,,,-5,,,,,,,,,,6.7
Bonneville,2003-01-06,,,,-2,-1,,,,,,,,,6.5
Bonneville,2003-01-07,,,,14,,,,,,,,,,6.2
Bonneville,2003-01-08,,,,5,,,,,,,,,,6.1
Bonneville,2003-01-09,,,,30,6,,,,,,,,,5.9
Bonneville,2003-01-10,,,,9,2,,,,,,,,,5.8
Bonneville,2003-01-11,,,,14,,,,,,,,,,5.7
Bonneville,2003-01-12,,,,15,-1,,,,,,,,,5.7
Bonneville,2003-01-13,,,,32,4,,,,,,,,,5.8
Bonneville,2003-01-14,,,,33,9,,,,,,,,,6
Bonneville,2003-01-15,,,,23,5,,,,,,,,,6
Bonneville,2003-01-16,,-1,,44,12,,,,,,,,,6.1
Bonneville,2003-01-17,,,,28,7,,,,,,,,,6.1
Bonneville,2003-01-18,,1,,48,19,,,,,,,,,5.9
Bonneville,2003-01-19,,,,24,9,,,,,,,,,5.8
Bonneville,2003-01-20,,,,21,6,,,,,,,,,5.8
Bonneville,2003-01-21,,,,14,-1,,,,,,,,,5.7
Bonneville,2003-01-22,,2,,8,-2,,,,,,,,,5.5
Bonneville,2003-01-23,,-1,,10,-1,,,,,,,,,5.5
Bonneville,2003-01-24,,1,,20,4,,,,,,,,,5.6
Bonneville,2003-01-25,,2,,7,4,,,,,,,,,5.6
Bonneville,2003-01-26,,-1,,54,9,,,,,,,,,5.7
Bonneville,2003-01-27,,,,45,1,,,,,,,,,6
Bonneville,2003-01-28,,,,46,4,,,,,,,,,5.9
Bonneville,2003-01-29,,2,,39,14,,,,,,,,,5.8
Bonneville,2003-01-30,,,,30,6,,,,,,,,,5.8
Bonneville,2003-01-31,,1,,48,6,,,,,,,,,6
Bonneville,2003-02-01,,4,,3,-1,,,,,,,,,6
Bonneville,2003-02-02,,,,,,,,,,,,,,5.9
Bonneville,2003-02-03,,,,31,,,,,,,,,,5.9
Bonneville,2003-02-04,,,,108,3,,,,,,,,,5.8
Bonneville,2003-02-05,,,,100,-6,,,,,,,,,5.6
Bonneville,2003-02-06,,,,90,5,,,,,,,,,5.5
Bonneville,2003-02-07,,,,61,1,,,,,,,,,5.4
Bonneville,2003-02-08,,,,56,,,,,,,,,,5.4
Bonneville,2003-02-09,,,,58,,,,,,,,,,5.5
Bonneville,2003-02-10,,,,51,1,,,,,,,,,5.7
Bonneville,2003-02-11,,,,39,1,,,,,,,,,5.7
Bonneville,2003-02-12,,,,59,-1,,,,,,,,,5.7
Bonneville,2003-02-13,,,,74,4,,,,,,,,,5.7
Bonneville,2003-02-14,,,,90,17,,,,,,,,,5.8
Bonneville,2003-02-15,,,,107,-6,,,,,,,,,5.8
Bonneville,2003-02-16,,,,114,6,,,,,,,,,5.8
Bonneville,2003-02-17,,,,61,,,,,,,,,,5.8
Bonneville,2003-02-18,,2,,50,2,,,,,,,,,5.9
Bonneville,2003-02-19,,4,,28,-2,,,,,,,,,5.9
Bonneville,2003-02-20,,2,,44,,,,,,,,,,6
Bonneville,2003-02-21,,2,,110,16,,,,,,,,,6.1
Bonneville,2003-02-22,,3,,90,6,,,,,,,,,6.2
Bonneville,2003-02-23,,6,,81,1,,,,,,,,,6.1
Bonneville,2003-02-24,,6,,19,1,,,,,,,,,5.6
Bonneville,2003-02-25,,3,,10,1,,,,,,,,,5.3
Bonneville,2003-02-26,,1,,30,10,,,,,,,,,5.3
Bonneville,2003-02-27,,12,,85,20,,,,,,,,,5.4
Bonneville,2003-02-28,,48,,79,13,,,,,,,,,5.5
Bonneville,2003-03-01,,66,,131,45,,,,,,,,,5.7
Bonneville,2003-03-02,,88,,93,18,,,,,,,,,5.8
Bonneville,2003-03-03,,121,,64,6,,,,,,,,,5.9
Bonneville,2003-03-04,,102,,35,-5,,,,,,,,,6.1
Bonneville,2003-03-05,,127,,60,-9,,,,,,,,,6.2
Bonneville,2003-03-06,,140,,58,,,,,,,,,,6.3
Bonneville,2003-03-07,,213,,102,16,,,,,,,,,6.2
Bonneville,2003-03-08,,266,,100,22,,,,,,,,,6.1
Bonneville,2003-03-09,,371,,118,35,,,,,,,,,6.2
Bonneville,2003-03-10,,394,,119,24,,,,,,,,,6.5
Bonneville,2003-03-11,,627,,65,7,,,,,,,,,6.7
Bonneville,2003-03-12,,516,,66,11,,,,,,,,,6.8
Bonneville,2003-03-13,,307,,57,20,,,,,,,,,6.9
Bonneville,2003-03-14,,323,,76,15,,,,,,,,,6.9
Bonneville,2003-03-15,Sp,595,,110,7,,,,,,,,,7
Bonneville,2003-03-16,Sp,942,,54,,,,,,,,,,7.3
Bonneville,2003-03-17,Sp,416,1,21,-5,,,,,,,,,7.3
Bonneville,2003-03-18,Sp,559,,41,8,,,,,,,,,7.3
Bonneville,2003-03-19,Sp,736,,50,-2,,,,,,,,,7.3
Bonneville,2003-03-20,Sp,426,,40,2,,,,,,,,,7.4
Bonneville,2003-03-21,Sp,332,,50,5,,,,,,,,,7.6
Bonneville,2003-03-22,Sp,343,,69,6,,,,,,,,,7.8
Bonneville,2003-03-23,Sp,150,,46,4,,,,,,,,,7.9
Bonneville,2003-03-24,Sp,99,,33,-7,,,,,,,,,7.9
Bonneville,2003-03-25,Sp,115,,40,5,,,,,,,,,8
Bonneville,2003-03-26,Sp,622,3,78,,,,,,,,,,8
Bonneville,2003-03-27,Sp,1973,2,79,19,,,,,,,,,8.2
Bonneville,2003-03-28,Sp,2161,29,116,29,,,,,,,,,8.4
Bonneville,2003-03-29,Sp,1690,2,75,7,,,,,,,,,8.5
Bonneville,2003-03-30,Sp,1807,6,93,16,,,,,,,,,8.7
Bonneville,2003-03-31,Sp,2580,33,125,3,,,,,,,,,8.9
Bonneville,2003-04-01,Sp,2574,,79,39,,,,,,,,,8.9
Bonneville,2003-04-02,Sp,1687,,80,27,,,,,,,,,8.8
Bonneville,2003-04-03,Sp,1293,2,78,33,,,,,,,,,8.6
Bonneville,2003-04-04,Sp,1567,,101,40,,,,,,,,,8.6
Bonneville,2003-04-05,Sp,3823,8,97,37,,,,,,,,,8.7
Bonneville,2003-04-06,Sp,7455,3,69,36,,,,,,,,,8.6
Bonneville,2003-04-07,Sp,3900,2,76,36,,,,,,,,,8.7
Bonneville,2003-04-08,Sp,2629,33,80,44,,,,,,,,,8.8
Bonneville,2003-04-09,Sp,3591,41,74,26,,,,,,,,,9.1
Bonneville,2003-04-10,Sp,3955,22,46,12,,,,,,,,,9.3
Bonneville,2003-04-11,Sp,6402,43,71,18,,,,,,,,,9.4
Bonneville,2003-04-12,Sp,5302,35,61,17,,,,,,,,,9.5
Bonneville,2003-04-13,Sp,3678,25,43,22,,,,,,,,,9.7
Bonneville,2003-04-14,Sp,5071,24,40,14,,,,,,,,,9.9
Bonneville,2003-04-15,Sp,7996,16,33,15,,,,,,,,,10.1
Bonneville,2003-04-16,Sp,4832,12,21,10,,,,,,,,,10.2
Bonneville,2003-04-17,Sp,2123,16,13,3,,,,,,,,,10.2
Bonneville,2003-04-18,Sp,2802,23,21,3,,,,,,,,,10.2
Bonneville,2003-04-19,Sp,2362,24,27,3,,,,,,,,,10.4
Bonneville,2003-04-20,Sp,5189,51,45,16,,,,,,,,,10.5
Bonneville,2003-04-21,Sp,5414,68,27,12,,,,,,,,,10.6
Bonneville,2003-04-22,Sp,6358,68,19,5,,,,,,,,,10.7
Bonneville,2003-04-23,Sp,3464,74,38,6,,,,,,,,,10.9
Bonneville,2003-04-24,Sp,4303,94,53,7,,,,,,,,,10.8
Bonneville,2003-04-25,Sp,4371,121,35,15,,,,,,,,,10.6
Bonneville,2003-04-26,Sp,2997,148,25,12,,,,,,,,,10.6
Bonneville,2003-04-27,Sp,3595,142,34,7,,,,,,,,,10.7
Bonneville,2003-04-28,Sp,4152,209,21,6,,,,,4,,,,10.7
Bonneville,2003-04-29,Sp,2191,128,33,9,,,,,,,,,10.9
Bonneville,2003-04-30,Sp,3946,172,34,11,,,,,2,,,,11.1
Bonneville,2003-05-01,Sp,3289,262,38,17,,,,,2,,,,11.3
Bonneville,2003-05-02,Sp,4031,376,45,12,,,,,6,,,,11.5
Bonneville,2003-05-03,Sp,3132,429,38,2,,,,,10,,,,11.4
Bonneville,2003-05-04,Sp,2013,264,19,1,,,,,11,,,,11.3
Bonneville,2003-05-05,Sp,1764,272,25,2,,,,,2,,,,11.3
Bonneville,2003-05-06,Sp,1412,420,31,5,,,,,,,,,11.4
Bonneville,2003-05-07,Sp,1877,512,50,17,,,,,8,,,,11.4
Bonneville,2003-05-08,Sp,1962,611,37,7,,,,,12,,,,11.6
Bonneville,2003-05-09,Sp,2288,812,29,6,,,,2,20,,,,11.6
Bonneville,2003-05-10,Sp,1219,359,27,10,,,,,14,,,,11.6
Bonneville,2003-05-11,Sp,1664,488,29,7,,,,,13,,,,11.8
Bonneville,2003-05-12,Sp,2063,751,50,10,,,,,10,,,,11.9
Bonneville,2003-05-13,Sp,2053,801,45,12,,,,6,24,,,,12.2
Bonneville,2003-05-14,Sp,2378,702,58,13,,,,37,6,,,,12.4
Bonneville,2003-05-15,Sp,1221,352,47,4,,,,12,25,,,,12.3
Bonneville,2003-05-16,Sp,807,245,57,11,,,,,20,,,,12.1
Bonneville,2003-05-17,Sp,1266,532,93,18,,,,8,12,,,,12.1
Bonneville,2003-05-18,Sp,1748,651,66,8,,,,37,14,,,,12.1
Bonneville,2003-05-19,Sp,2330,697,47,14,,,,890,24,,,,12.2
Bonneville,2003-05-20,Sp,2394,482,55,19,,,,3036,36,,,,12.5
Bonneville,2003-05-21,Sp,1480,383,51,18,,,,4573,86,,,,12.8
Bonneville,2003-05-22,Sp,1781,352,67,14,,,,15040,71,,,,13
Bonneville,2003-05-23,Sp,1578,282,63,18,,,,12876,50,,,,13.2
Bonneville,2003-05-24,Sp,1403,274,73,14,,,,11104,49,,,,13.3
Bonneville,2003-05-25,Sp,1113,190,67,17,,,,9239,98,,,,13.5
Bonneville,2003-05-26,Sp,2047,321,94,25,,,,30148,152,,,,13.5
Bonneville,2003-05-27,Sp,1491,159,101,27,1,,,37670,77,,,,13.5
Bonneville,2003-05-28,Sp,1345,156,98,24,,,,42914,193,,,,13.9
Bonneville,2003-05-29,Sp,974,153,72,23,,,,61417,350,,,,14.1
Bonneville,2003-05-30,Sp,1393,119,53,20,1,,,65687,534,,,,14.3
Bonneville,2003-05-31,Sp,1926,171,89,12,,,,125569,945,,,,14.4
Bonneville,2003-06-01,Su,1879,213,128,32,3,,,185667,455,,,,14.6
Bonneville,2003-06-02,Su,1953,194,111,30,10,,,94367,588,,,,14.7
Bonneville,2003-06-03,Su,1993,190,97,24,7,,,66446,323,,,,14.8
Bonneville,2003-06-04,Su,1812,211,124,45,18,,,112135,303,,,,15
Bonneville,2003-06-05,Su,2128,247,95,41,24,,,504724,486,,,,15.5
Bonneville,2003-06-06,Su,1653,231,146,38,69,,,520664,2228,,,,15.9
Bonneville,2003-06-07,Su,1578,234,127,37,65,,,324718,2662,,,,16
Bonneville,2003-06-08,Su,4081,263,161,59,117,,,171420,1974,,,,16.1
Bonneville,2003-06-09,Su,3883,255,151,39,168,,,285277,1361,,,,16
Bonneville,2003-06-10,Su,2386,208,157,56,212,,,165828,2080,,,,16
Bonneville,2003-06-11,Su,1840,213,147,45,192,,,72234,2406,,,,16.1
Bonneville,2003-06-12,Su,2340,215,186,40,225,,,73944,3609,,,,16.3
Bonneville,2003-06-13,Su,2621,256,205,54,336,,,211217,2198,,,,16.4
Bonneville,2003-06-14,Su,2206,194,199,59,395,,,209300,2558,,,,16.4
Bonneville,2003-06-15,Su,1378,176,225,53,408,,,68079,1681,,,,16.6
Bonneville,2003-06-16,Su,1390,246,242,84,553,,,64106,3054,,,,16.8
Bonneville,2003-06-17,Su,3024,282,301,104,842,,,227962,2696,,,,17.2
Bonneville,2003-06-18,Su,2894,272,318,111,930,,,190434,2748,,,,17.3
Bonneville,2003-06-19,Su,2055,232,290,87,909,,,40164,2282,,,,17.1
Bonneville,2003-06-20,Su,1544,147,328,87,900,,,26457,1182,,,,16.7
Bonneville,2003-06-21,Su,3247,266,438,145,1290,,,57402,1197,,,,16.5
Bonneville,2003-06-22,Su,2814,234,499,168,1530,,,36334,1162,,,,16.3
Bonneville,2003-06-23,Su,1777,229,515,168,1474,,,31821,1006,,,,16.4
Bonneville,2003-06-24,Su,2793,365,548,162,1986,,,35285,735,,,,16.6
Bonneville,2003-06-25,Su,2770,392,589,201,2459,,,43276,1371,,,,16.9
Bonneville,2003-06-26,Su,2532,381,620,196,2591,,,39250,2348,,,,17.2
Bonneville,2003-06-27,Su,3814,464,933,368,3258,,,56562,1720,,,,17.5
Bonneville,2003-06-28,Su,3110,320,828,305,1867,,,46272,2166,,,,17.8
Bonneville,2003-06-29,Su,3146,293,1061,424,1935,,,42351,1102,,,,17.9
Bonneville,2003-06-30,Su,2959,310,1197,443,1659,,,22168,1194,,,,18.1
Bonneville,2003-07-01,Su,2826,254,1193,527,1572,,,16047,1146,,,,18.1
Bonneville,2003-07-02,Su,2198,252,1090,463,1400,,,11788,992,,,,18
Bonneville,2003-07-03,Su,2317,233,1106,486,1127,,,9475,888,,,,18
Bonneville,2003-07-04,Su,1803,246,1180,495,1048,,,8155,787,,,,18.2
