Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
Bonneville,1974-03-15,Sp,3,,41,,,,,,,,,,
Bonneville,1974-03-16,Sp,1,,49,,,,,,,,,,
Bonneville,1974-03-17,Sp,6,,110,,,,,,,,,,
Bonneville,1974-03-18,Sp,4,,53,,,,,,,,,,
Bonneville,1974-03-19,Sp,2,,73,,,,,,,,,,
Bonneville,1974-03-20,Sp,2,,61,,,,,,,,,,
Bonneville,1974-03-21,Sp,11,,67,,,,,,,,,,
Bonneville,1974-03-22,Sp,10,,111,,,,,,,,,,
Bonneville,1974-03-23,Sp,10,,114,,,,,,,,,,
Bonneville,1974-03-24,Sp,13,,60,,,,,,,,,,
Bonneville,1974-03-25,Sp,21,,66,,,,,,,,,,
Bonneville,1974-03-26,Sp,38,,82,,,,,,,,,,
Bonneville,1974-03-27,Sp,25,,49,,,,,,,,,,
Bonneville,1974-03-28,Sp,22,,45,,,,,,,,,,
Bonneville,1974-03-29,Sp,96,,126,,,,,,,,,,
Bonneville,1974-03-30,Sp,44,,84,,,,,,,,,,
Bonneville,1974-03-31,Sp,126,,101,,,,,,,,,,
Bonneville,1974-04-01,Sp,164,,105,,,,,,,,,,
Bonneville,1974-04-02,Sp,148,,78,,,,,,,,,,
Bonneville,1974-04-03,Sp,227,,100,,,,,,,,,,
Bonneville,1974-04-04,Sp,132,,46,,,,,,,,,,
Bonneville,1974-04-05,Sp,95,,49,,,,,,,,,,
Bonneville,1974-04-06,Sp,225,,50,,,,,,,,,,
Bonneville,1974-04-07,Sp,407,,136,,,,,,,,,,
Bonneville,1974-04-08,Sp,370,,103,,,,,,,,,,
Bonneville,1974-04-09,Sp,412,,79,,,,,,,,,,
Bonneville,1974-04-10,Sp,469,,68,,,,,,,,,,
Bonneville,1974-04-11,Sp,771,,123,,,,,,,,,,
Bonneville,1974-04-12,Sp,732,,98,,,,,,,,,,
Bonneville,1974-04-13,Sp,858,,98,,,,,,,,,,
Bonneville,1974-04-14,Sp,795,,129,,,,,,,,,,
Bonneville,1974-04-15,Sp,981,,110,,,,,,,,,,
Bonneville,1974-04-16,Sp,1605,,126,,,,,,,,,,
Bonneville,1974-04-17,Sp,2263,,134,,,,,,,,,,
Bonneville,1974-04-18,Sp,2025,,154,,,,,,,,,,
Bonneville,1974-04-19,Sp,3157,,174,,,,,,,,,,
Bonneville,1974-04-20,Sp,3016,,141,,,,,,,,,,
Bonneville,1974-04-21,Sp,3752,,169,,,,,,,,,,
Bonneville,1974-04-22,Sp,5150,,236,,,,,,,,,,
Bonneville,1974-04-23,Sp,4489,,221,,,,,,,,,,
Bonneville,1974-04-24,Sp,3566,,167,,,,,,,,,,
Bonneville,1974-04-25,Sp,5026,,240,,,,,,,,,,
Bonneville,1974-04-26,Sp,5091,,270,,,,,,,,,,
Bonneville,1974-04-27,Sp,3114,,197,,,,,,,,,,
Bonneville,1974-04-28,Sp,3500,,185,,,,,,,,,,
Bonneville,1974-04-29,Sp,2744,,171,,,,,,,,,,
Bonneville,1974-04-30,Sp,2232,,170,,,,,,,,,,
Bonneville,1974-05-01,Sp,2561,,151,,,,,,,,,,
Bonneville,1974-05-02,Sp,3223,,139,,,,,,,,,,
Bonneville,1974-05-03,Sp,3652,,161,,,,,,,,,,
Bonneville,1974-05-04,Sp,4663,,199,,,,,,,,,,
Bonneville,1974-05-05,Sp,5953,,269,,,,,,,,,,
Bonneville,1974-05-06,Sp,7318,,235,,4,,,,,,,,
Bonneville,1974-05-07,Sp,4775,,195,,1,,,,,,,,
Bonneville,1974-05-08,Sp,4136,,172,,2,,,,,,,,
Bonneville,1974-05-09,Sp,3551,,126,,1,,,,,,,,
Bonneville,1974-05-10,Sp,4321,,185,,,,,,,,,,
Bonneville,1974-05-11,Sp,3515,,206,,,,,,,,,,
Bonneville,1974-05-12,Sp,3620,,164,,,,,,,,,,
Bonneville,1974-05-13,Sp,3013,,113,,,,,,,,,,
Bonneville,1974-05-14,Sp,2019,,119,,,,,,,,,,
Bonneville,1974-05-15,Sp,1647,,120,,,,,,,,,,
Bonneville,1974-05-16,Sp,2293,,215,,1,,,,,,,,
Bonneville,1974-05-17,Sp,2086,,177,,,,,,,,,,
Bonneville,1974-05-18,Sp,1233,,106,,,,,,,,,,
Bonneville,1974-05-19,Sp,1174,,130,,,,,,,,,,
Bonneville,1974-05-20,Sp,1128,,133,,1,,,,,,,,
Bonneville,1974-05-21,Sp,1540,,172,,,,,,,,,,
Bonneville,1974-05-22,Sp,1056,,176,,,,,,,,,,
Bonneville,1974-05-23,Sp,1258,,225,,,,,,,,,,
Bonneville,1974-05-24,Sp,1155,,235,,,,,,,,,,
Bonneville,1974-05-25,Sp,1258,,252,,,,,1,,,,,
Bonneville,1974-05-26,Sp,1036,,267,,2,,,,,,,,
Bonneville,1974-05-27,Sp,855,,242,,,,,,,,,,
Bonneville,1974-05-28,Sp,882,,178,,,,,2,,,,,
Bonneville,1974-05-29,Sp,572,,187,,1,,,,,,,,
Bonneville,1974-05-30,Sp,600,,133,,1,,,,,,,,
Bonneville,1974-05-31,Sp,492,,165,,,,,4,,,,,
Bonneville,1974-06-01,Su,735,,254,,,,,7,,,,,
Bonneville,1974-06-02,Su,854,,251,,3,,,90,,,,,
Bonneville,1974-06-03,Su,569,,230,,3,,,161,,,,,
Bonneville,1974-06-04,Su,660,,191,,8,,,113,,,,,
Bonneville,1974-06-05,Su,562,,218,,8,,,23,,,,,
Bonneville,1974-06-06,Su,374,,260,,13,,,13,,,,,
Bonneville,1974-06-07,Su,395,,204,,12,,,4,,,,,
Bonneville,1974-06-08,Su,531,,226,,21,,,9,,,,,
Bonneville,1974-06-09,Su,447,,204,,28,,,4,,,,,
Bonneville,1974-06-10,Su,427,,173,,29,,,7,,,,,
Bonneville,1974-06-11,Su,623,,260,,87,,,261,,,,,
Bonneville,1974-06-12,Su,524,,308,,148,,,1148,,,,,
Bonneville,1974-06-13,Su,650,,261,,244,,,1434,,,,,
Bonneville,1974-06-14,Su,614,,282,,383,,,1449,,,,,
Bonneville,1974-06-15,Su,494,,238,,400,,,783,,,,,
Bonneville,1974-06-16,Su,277,,187,,220,,,340,,,,,
Bonneville,1974-06-17,Su,233,,228,,249,,,60,,,,,
Bonneville,1974-06-18,Su,180,,181,,183,,,6,,,,,
Bonneville,1974-06-19,Su,296,,188,,327,,,7,,,,,
Bonneville,1974-06-20,Su,178,,128,,191,,,1,,,,,
Bonneville,1974-06-21,Su,52,,56,,110,,,1,,,,,
Bonneville,1974-06-22,Su,50,,73,,116,,,,,,,,
Bonneville,1974-06-23,Su,34,,50,,128,,,,,,,,
Bonneville,1974-06-24,Su,40,,79,,125,,,,,,,,
Bonneville,1974-06-25,Su,67,,67,,129,,,,,,,,
Bonneville,1974-06-26,Su,108,,124,,217,,,,,,,,
Bonneville,1974-06-27,Su,210,,228,,576,,,8,,,,,
Bonneville,1974-06-28,Su,393,,259,,818,,,9,,,,,
Bonneville,1974-06-29,Su,786,,370,,1155,,,17,,,,,
Bonneville,1974-06-30,Su,2061,,571,,2142,,,167,,,,,
Bonneville,1974-07-01,Su,1847,,507,,2401,,,1858,,,,,
Bonneville,1974-07-02,Su,1846,,636,,3378,,,1638,,,,,
Bonneville,1974-07-03,Su,1530,,780,,3721,,,1683,,,,,
Bonneville,1974-07-04,Su,1317,,754,,3495,,,3767,,,,,
Bonneville,1974-07-05,Su,1582,,897,,2903,,,6831,,,,,
Bonneville,1974-07-06,Su,1344,,1035,,2870,,,5780,,,,,
Bonneville,1974-07-07,Su,1415,,1041,,2200,,,4485,,,,,
Bonneville,1974-07-08,Su,1288,,1132,,2253,,,9737,,,,,
Bonneville,1974-07-09,Su,1291,,1162,,1816,,,7089,,,,,
Bonneville,1974-07-10,Su,1094,,1200,,1516,,,4626,,,,,
Bonneville,1974-07-11,Su,1260,,1427,,1611,,,3793,,,,,
Bonneville,1974-07-12,Su,1087,,1663,,1378,,,1904,,,,,
Bonneville,1974-07-13,Su,996,,2045,,1188,,,3760,,,,,
Bonneville,1974-07-14,Su,1331,,2577,,1151,,,3774,,,,,
Bonneville,1974-07-15,Su,963,,1796,,642,,,3985,,,,,
Bonneville,1974-07-16,Su,1108,,2423,,531,,,2949,,,,,
Bonneville,1974-07-17,Su,1103,,2287,,475,,,2700,,,,,
Bonneville,1974-07-18,Su,994,,2762,,395,,,5091,,,,,
Bonneville,1974-07-19,Su,786,,2474,,263,,,1659,,,,,
Bonneville,1974-07-20,Su,643,,2140,,201,,,1592,,,,,
Bonneville,1974-07-21,Su,788,,2509,,211,,,2245,,,,,
Bonneville,1974-07-22,Su,805,,2815,,131,,,2301,,,2,,
Bonneville,1974-07-23,Su,646,,2522,,114,,,925,,,,,
Bonneville,1974-07-24,Su,739,,2446,,127,,,1097,,,,,
