Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
Bonneville,2001-03-15,Sp,23,,44,12,,,,,,,,,6.1
Bonneville,2001-03-16,Sp,17,,68,27,,,,,,,,,6
Bonneville,2001-03-17,Sp,56,,80,25,,,,,,,,,6
Bonneville,2001-03-18,Sp,20,,34,4,,,,,,,,,6
Bonneville,2001-03-19,Sp,416,1,92,29,,,,,,,,,6.2
Bonneville,2001-03-20,Sp,233,,59,20,,,,,,,,,6.4
Bonneville,2001-03-21,Sp,389,,43,5,,,,,,,,,6.6
Bonneville,2001-03-22,Sp,455,1,58,10,,,,,,,,,6.8
Bonneville,2001-03-23,Sp,744,,87,25,,,,,,,,,7
Bonneville,2001-03-24,Sp,576,,70,18,,,,,,,,,7.1
Bonneville,2001-03-25,Sp,619,2,40,7,,,,,,,,,7.3
Bonneville,2001-03-26,Sp,635,,33,8,,,,,,,,,7.5
Bonneville,2001-03-27,Sp,634,,39,6,,,,,,,,,7.5
Bonneville,2001-03-28,Sp,699,,44,7,,,,,,,,,7.5
Bonneville,2001-03-29,Sp,871,,48,6,,,,,,,,,7.7
Bonneville,2001-03-30,Sp,1200,,71,14,,,,,,,,,7.7
Bonneville,2001-03-31,Sp,942,,66,25,,,,,,,,,7.9
Bonneville,2001-04-01,Sp,4227,,107,58,,,,,,,,,8.2
Bonneville,2001-04-02,Sp,5433,10,88,38,,,,,,,,,8.2
Bonneville,2001-04-03,Sp,6721,4,80,43,,,,,,,,,8.1
Bonneville,2001-04-04,Sp,6772,6,71,36,,,,,,,,,8.2
Bonneville,2001-04-05,Sp,9942,25,90,31,,,,,,,,,8.3
Bonneville,2001-04-06,Sp,13156,18,88,31,,,,,,,,,8
Bonneville,2001-04-07,Sp,7573,8,70,35,,,,,,,,,8.3
Bonneville,2001-04-08,Sp,5027,1,56,24,,,,,,,,,8.3
Bonneville,2001-04-09,Sp,9241,12,81,11,,,,,,,,,8.4
Bonneville,2001-04-10,Sp,11742,17,45,22,,,,,,,,,8.4
Bonneville,2001-04-11,Sp,14410,13,52,26,,,,,,,,,8.4
Bonneville,2001-04-12,Sp,14520,14,49,8,,,,,,,,,8.4
Bonneville,2001-04-13,Sp,17077,27,55,11,,,,,,,,,8.4
Bonneville,2001-04-14,Sp,15691,32,60,28,,,,,,,,,8.4
Bonneville,2001-04-15,Sp,19192,54,67,16,,,,,,,,,8.4
Bonneville,2001-04-16,Sp,14994,52,64,23,,,,,,,,,8.6
Bonneville,2001-04-17,Sp,13852,54,70,17,,,,,,,,,8.8
Bonneville,2001-04-18,Sp,27020,158,72,13,,,,,,,,,8.7
Bonneville,2001-04-19,Sp,15346,77,50,15,,,,,,,,,9.3
Bonneville,2001-04-20,Sp,6801,34,65,24,,,,,,,,,9.4
Bonneville,2001-04-21,Sp,7143,45,49,14,,,,,,,,,9.5
Bonneville,2001-04-22,Sp,7535,60,45,16,,,,,,,,,9.6
Bonneville,2001-04-23,Sp,4687,48,77,22,,,,,,,,,9.2
Bonneville,2001-04-24,Sp,6357,114,91,9,,,,,,,,,9.8
Bonneville,2001-04-25,Sp,7045,221,61,8,,,,,,,,,10.2
Bonneville,2001-04-26,Sp,7689,237,90,24,,,,,,,,,10.6
Bonneville,2001-04-27,Sp,7869,300,70,10,,,,2,,,,,10.9
Bonneville,2001-04-28,Sp,5702,248,49,,,,,,,,,,11.1
Bonneville,2001-04-29,Sp,3736,193,50,9,,,,2,,,,,11.2
Bonneville,2001-04-30,Sp,3719,182,41,7,,,,5,1,,,,11.2
Bonneville,2001-05-01,Sp,4331,149,44,8,,,,1,1,,,,10.8
Bonneville,2001-05-02,Sp,1326,130,30,10,,,,,1,,,,10.3
Bonneville,2001-05-03,Sp,3840,326,43,-2,,,,,,,,,11.3
Bonneville,2001-05-04,Sp,8026,789,47,10,,,,10,1,,,,11.8
Bonneville,2001-05-05,Sp,3022,441,71,14,,,,26,,,,,11.9
Bonneville,2001-05-06,Sp,2559,439,58,8,,,,9,11,,,,12.1
Bonneville,2001-05-07,Sp,6082,1012,69,5,,,,85,22,,,,12.5
Bonneville,2001-05-08,Sp,3767,893,102,10,,,,187,,,,,12.7
Bonneville,2001-05-09,Sp,2080,581,88,10,,,,347,4,,,,13.2
Bonneville,2001-05-10,Sp,2098,500,78,17,,,,363,11,,,,12.9
Bonneville,2001-05-11,Sp,2209,566,79,9,,,,546,6,,,,13.2
Bonneville,2001-05-12,Sp,2957,571,104,10,,,,306,5,,,,13.5
Bonneville,2001-05-13,Sp,2757,554,86,14,,,,684,20,,,,13.6
Bonneville,2001-05-14,Sp,1976,397,61,9,,,,4252,11,,,,13.7
Bonneville,2001-05-15,Sp,1770,291,59,13,,,,1601,14,,,,13.5
Bonneville,2001-05-16,Sp,1377,292,61,8,,,,10823,12,,,,13.4
Bonneville,2001-05-17,Sp,1938,392,73,14,,,,2648,14,,,,13.3
Bonneville,2001-05-18,Sp,2004,338,64,10,,,,2168,16,,,,13.5
Bonneville,2001-05-19,Sp,2079,318,81,20,,,,4707,49,,,,13.8
Bonneville,2001-05-20,Sp,1836,284,127,17,,,,4534,47,,,,14
Bonneville,2001-05-21,Sp,1843,288,143,24,,,,7004,71,,,,14.4
Bonneville,2001-05-22,Sp,2162,272,168,20,,,,25792,178,,,,15
Bonneville,2001-05-23,Sp,2241,308,157,15,,,,29256,84,,,,15.4
Bonneville,2001-05-24,Sp,3061,320,147,18,,,,77691,163,,,,15.9
Bonneville,2001-05-25,Sp,2745,271,179,24,1,,,50521,235,,,,16.2
Bonneville,2001-05-26,Sp,2750,246,185,32,,,,72388,166,,,,16.4
Bonneville,2001-05-27,Sp,2432,203,166,25,2,,,87846,314,,,,16.3
Bonneville,2001-05-28,Sp,2127,197,162,37,3,,,69550,214,,,,15.9
Bonneville,2001-05-29,Sp,1907,166,138,19,4,,,47609,143,,,,15.7
Bonneville,2001-05-30,Sp,2007,174,170,30,8,,,84698,116,,,,15.8
Bonneville,2001-05-31,Sp,1310,196,177,32,14,,,118452,146,,,,16
Bonneville,2001-06-01,Su,1660,205,239,47,28,,,144306,250,,,,16.4
Bonneville,2001-06-02,Su,1779,216,254,56,68,,,44467,232,,,,16.4
Bonneville,2001-06-03,Su,2182,207,318,58,96,,,40489,173,,,,16.3
Bonneville,2001-06-04,Su,1577,204,306,58,115,,,85595,170,,,,16.3
Bonneville,2001-06-05,Su,1421,183,287,63,147,,,107466,360,,,,16.2
Bonneville,2001-06-06,Su,1457,214,315,50,201,,,63884,306,,,,16
Bonneville,2001-06-07,Su,1447,200,318,60,357,,,97764,201,,,,16.4
Bonneville,2001-06-08,Su,1423,145,377,59,506,,,122785,358,,,,16.8
Bonneville,2001-06-09,Su,1572,174,383,66,641,,,99139,608,,,,17.1
Bonneville,2001-06-10,Su,1237,230,466,104,1005,,,60070,416,,,,17
Bonneville,2001-06-11,Su,1395,210,546,115,1505,,,55073,558,,,,16.9
Bonneville,2001-06-12,Su,1382,170,563,124,1292,,,13737,243,,,,16.1
Bonneville,2001-06-13,Su,1314,131,497,87,1449,,,14662,128,,,,15.8
Bonneville,2001-06-14,Su,1440,159,577,131,1697,,,66170,121,,,,16
Bonneville,2001-06-15,Su,1975,235,703,159,2918,,,55044,236,,,,16.1
Bonneville,2001-06-16,Su,1839,315,914,206,4929,,,83059,303,,,,16.4
Bonneville,2001-06-17,Su,1784,257,1085,280,5510,1,,70608,292,,,,16.5
Bonneville,2001-06-18,Su,1627,243,1022,250,7359,,,40142,378,,,,16.4
Bonneville,2001-06-19,Su,1457,368,1075,300,8886,,,44392,460,,,,16.7
Bonneville,2001-06-20,Su,1617,425,1286,332,10232,,,55340,637,,,,17
Bonneville,2001-06-21,Su,1613,388,1343,373,8630,,,34501,528,,,,17.3
Bonneville,2001-06-22,Su,1587,319,1402,433,8121,,,34994,925,,,,17.6
Bonneville,2001-06-23,Su,1364,289,1214,376,6466,,,20667,679,,,,17.6
Bonneville,2001-06-24,Su,1253,284,1250,404,5010,,,17250,358,,,,17.5
Bonneville,2001-06-25,Su,1318,302,995,304,4599,,,14449,220,,,,17.3
Bonneville,2001-06-26,Su,1029,245,928,339,3913,,,16796,367,,,,17.4
Bonneville,2001-06-27,Su,1165,242,948,328,4081,,,14099,437,,,,17.5
Bonneville,2001-06-28,Su,1287,305,1342,495,3650,1,,16850,471,,,,17.6
Bonneville,2001-06-29,Su,1193,252,1270,529,2232,,,8062,408,,,,17.8
Bonneville,2001-06-30,Su,1194,266,1282,466,2201,,,8779,320,,,,18.1
Bonneville,2001-07-01,Su,1848,445,1483,552,2596,,,3000,131,,,,18.2
Bonneville,2001-07-02,Su,2016,463,1759,690,2446,,,3804,130,,,,18.3
Bonneville,2001-07-03,Su,1701,352,2406,984,2134,,,5969,156,,,,18.6
Bonneville,2001-07-04,Su,1346,291,2699,1159,1169,,,6566,174,,,,18.9
Bonneville,2001-07-05,Su,1349,267,3247,1392,1173,,,2936,184,,,,18.8
Bonneville,2001-07-06,Su,1220,248,4071,1841,1198,,,1678,210,,,,18.6
Bonneville,2001-07-07,Su,1220,269,3917,1775,968,,,1083,226,,,,18.6
Bonneville,2001-07-08,Su,1048,219,3404,1500,611,,,1001,175,,,,18.8
Bonneville,2001-07-09,Su,1006,210,3390,1393,576,,,1413,192,,,,19.2
Bonneville,2001-07-10,Su,1010,294,3561,1547,499,,,1969,384,,,,19.5
Bonneville,2001-07-11,Su,1008,264,3500,1563,494,,,1321,669,,,,19.6
Bonneville,2001-07-12,Su,934,227,3815,1720,443,,,1099,535,,,,19.8
Bonneville,2001-07-13,Su,895,215,3839,1786,439,,,533,438,,,,20
Bonneville,2001-07-14,Su,1129,218,5083,2420,315,,,530,286,,,,19.9
Bonneville,2001-07-15,Su,918,208,5941,2691,263,,,674,284,,,,19.6
Bonneville,2001-07-16,Su,698,154,5641,2485,214,,,613,294,,,,19.1
Bonneville,2001-07-17,Su,746,157,4746,1991,206,,,609,277,,,,19
Bonneville,2001-07-18,Su,980,205,5287,2249,180,,,910,458,,,,19.1
Bonneville,2001-07-19,Su,920,166,4702,2095,145,,,463,541,,,,19.3
Bonneville,2001-07-20,Su,1351,269,7591,3160,180,,,398,342,,,,19.3
Bonneville,2001-07-21,Su,966,215,7243,2889,194,,,344,315,,,,19.2
Bonneville,2001-07-22,Su,735,231,6727,2562,120,,,327,258,,,,19.3
Bonneville,2001-07-23,Su,952,295,10181,3847,142,,,370,295,,,,19.6
