Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
Bonneville,1953-03-01,,16,,20,,,,,,,,,,6.1
Bonneville,1953-03-02,,14,,30,,3,,,,,,,,6.1
Bonneville,1953-03-03,,14,,20,,3,,,,,,,,6.7
Bonneville,1953-03-04,,4,,12,,3,,,,,,,,6.7
Bonneville,1953-03-05,,2,,10,,,,,,,,,,6.7
Bonneville,1953-03-06,,7,,7,,1,,,,,,,,6.7
Bonneville,1953-03-07,,2,,5,,,,,,,,,,6.7
Bonneville,1953-03-08,,2,,9,,,,,,,,,,6.7
Bonneville,1953-03-09,,5,,7,,1,,,,,,,,6.7
Bonneville,1953-03-10,,20,,41,,,,,,,,,,7.8
Bonneville,1953-03-11,,23,,39,,4,,,,,,,,7.8
Bonneville,1953-03-12,,23,,71,,8,,,,,,,,7.8
Bonneville,1953-03-13,,67,,147,,6,,,,,,,,8.9
Bonneville,1953-03-14,,36,,128,,5,,,,,,,,7.8
Bonneville,1953-03-15,Sp,62,,50,,5,,,,,,,,8.3
Bonneville,1953-03-16,Sp,32,,24,,4,,,,,,,,8.3
Bonneville,1953-03-17,Sp,62,,27,,1,,,,,,,,7.8
Bonneville,1953-03-18,Sp,90,,26,,2,,,,,,,,7.8
Bonneville,1953-03-19,Sp,63,,19,,1,,,,,,,,8.3
Bonneville,1953-03-20,Sp,46,,14,,3,,,,,,,,7.8
Bonneville,1953-03-21,Sp,19,,9,,1,,,,,,,,7.8
Bonneville,1953-03-22,Sp,23,,1,,2,,,,,,,,7.8
Bonneville,1953-03-23,Sp,129,,52,,2,,,,,,,,7.8
Bonneville,1953-03-24,Sp,113,,68,,,,,,,,,,8.3
Bonneville,1953-03-25,Sp,64,,92,,,,,,,,,,8.3
Bonneville,1953-03-26,Sp,49,,54,,,,,,,,,,8.3
Bonneville,1953-03-27,Sp,54,,44,,2,,,,,,,,8.3
Bonneville,1953-03-28,Sp,45,,86,,,,,,,,,,8.9
Bonneville,1953-03-29,Sp,29,,57,,,,,,,,,,8.3
Bonneville,1953-03-30,Sp,25,,28,,,,,,,,,,8.9
Bonneville,1953-03-31,Sp,114,,113,,,,,,,,,,8.9
Bonneville,1953-04-01,Sp,118,,131,,,,,,,,,,8.9
Bonneville,1953-04-02,Sp,277,,100,,,,,,,,,,8.3
Bonneville,1953-04-03,Sp,283,,77,,,,,,,,,,8.9
Bonneville,1953-04-04,Sp,764,,153,,2,,,,,,,,8.3
Bonneville,1953-04-05,Sp,1109,,305,,1,,,,,,,,8.9
Bonneville,1953-04-06,Sp,1488,,279,,3,,,,,,,,9.4
Bonneville,1953-04-07,Sp,1791,,308,,3,,,,,,,,6.1
Bonneville,1953-04-08,Sp,1819,,187,,,,,,,,,,9.4
Bonneville,1953-04-09,Sp,1324,,84,,3,,,,,,,,9.4
Bonneville,1953-04-10,Sp,1639,,100,,3,,,,,,,,9.4
Bonneville,1953-04-11,Sp,3661,,113,,1,,,,,,,,9.4
Bonneville,1953-04-12,Sp,3448,,143,,1,,,,,,,,6.1
Bonneville,1953-04-13,Sp,3466,,159,,2,,,,,,,,8.3
Bonneville,1953-04-14,Sp,2057,,173,,1,,,,,,,,7.8
Bonneville,1953-04-15,Sp,2289,,77,,,,,,,,,,8.3
Bonneville,1953-04-16,Sp,1276,,94,,,,,,,,,,8.3
Bonneville,1953-04-17,Sp,2789,,74,,1,,,,1,,,,8.9
Bonneville,1953-04-18,Sp,4059,,183,,,,,,,,,,8.9
Bonneville,1953-04-19,Sp,8397,,388,,,,,,,,,,9.4
Bonneville,1953-04-20,Sp,8617,,489,,1,,,,,,,,10
Bonneville,1953-04-21,Sp,10832,,356,,2,,,,1,,,,11.1
Bonneville,1953-04-22,Sp,12950,,255,,,,,,3,,,,11.7
Bonneville,1953-04-23,Sp,12513,,234,,3,,,,5,,,,12.8
Bonneville,1953-04-24,Sp,11470,,173,,,,,,9,,,,12.8
Bonneville,1953-04-25,Sp,10491,,180,,,,,,26,,,,12.8
Bonneville,1953-04-26,Sp,5785,,160,,,,,,6,,,,12.8
Bonneville,1953-04-27,Sp,6366,,126,,,,,,12,,,,12.8
Bonneville,1953-04-28,Sp,2925,,98,,,,,,2,,,,12.8
Bonneville,1953-04-29,Sp,1574,,58,,,,,,11,,,,12.2
Bonneville,1953-04-30,Sp,873,,51,,,,,,3,,,,11.7
Bonneville,1953-05-01,Sp,148,,7,,,,,,,,,,11.7
Bonneville,1953-05-02,Sp,212,,12,,,,,,,,,,11.1
Bonneville,1953-05-03,Sp,518,,22,,,,,,1,,,,11.1
Bonneville,1953-05-04,Sp,1322,,84,,1,,,,5,,,,11.1
Bonneville,1953-05-05,Sp,3813,,139,,,,,,66,,,,11.7
Bonneville,1953-05-06,Sp,5629,,122,,1,,,,33,,,,12.2
Bonneville,1953-05-07,Sp,4957,,119,,5,,,,10,,,,12.2
Bonneville,1953-05-08,Sp,4388,,80,,7,,,,16,,,,12.2
Bonneville,1953-05-09,Sp,2247,,34,,,,,,2,,,,12.8
Bonneville,1953-05-10,Sp,1558,,24,,,,,,3,,,,12.8
Bonneville,1953-05-11,Sp,1634,,32,,,,,,5,,,,12.8
Bonneville,1953-05-12,Sp,1586,,36,,14,,,,1,,,,12.2
Bonneville,1953-05-13,Sp,1986,,46,,13,,,,6,,,,12.2
Bonneville,1953-05-14,Sp,1022,,39,,23,,,,3,,,,12.2
Bonneville,1953-05-15,Sp,887,,38,,2,,,,4,,,,12.2
Bonneville,1953-05-16,Sp,1547,,69,,193,,,,20,,,,12.2
Bonneville,1953-05-17,Sp,1553,,65,,199,,,,30,,,,12.8
Bonneville,1953-05-18,Sp,1632,,63,,156,,,,268,,,,13.9
Bonneville,1953-05-19,Sp,1471,,60,,44,,,,80,,,,13.3
Bonneville,1953-05-20,Sp,1186,,51,,2,,,,67,,,,13.9
Bonneville,1953-05-21,Sp,1012,,51,,,,,,25,,,,14.4
Bonneville,1953-05-22,Sp,506,,43,,,,,,237,,,,14.4
Bonneville,1953-05-23,Sp,282,,19,,2,,,,10,,,,14.4
Bonneville,1953-05-24,Sp,94,,8,,,,,,16,,,,13.3
Bonneville,1953-05-25,Sp,52,,8,,,,,,2,,,,13.9
Bonneville,1953-05-26,Sp,47,,16,,,,,,,,,,12.2
Bonneville,1953-05-27,Sp,69,,31,,,,,,,,,,11.7
Bonneville,1953-05-28,Sp,200,,40,,1,,,,15,,,,12.2
Bonneville,1953-05-29,Sp,334,,30,,,,,,4,,,,13.3
Bonneville,1953-05-30,Sp,296,,28,,,,,,3,,,,13.3
Bonneville,1953-05-31,Sp,395,,40,,,,,,14,,,,13.3
Bonneville,1953-06-01,Su,457,,43,,,,,,46,,,,13.3
Bonneville,1953-06-02,Su,512,,36,,,,,,11,,,,13.3
Bonneville,1953-06-03,Su,435,,47,,,,,,4,,,,11.7
Bonneville,1953-06-04,Su,294,,51,,,,,,49,,,,13.3
Bonneville,1953-06-05,Su,236,,19,,,,,,,,,,13.9
Bonneville,1953-06-06,Su,194,,34,,,,,,,,,,14.4
Bonneville,1953-06-07,Su,143,,32,,,,,,,,,,13.9
Bonneville,1953-06-08,Su,104,,20,,,,,,,,,,13.9
Bonneville,1953-06-09,Su,122,,44,,,,,,,,,,13.3
Bonneville,1953-06-10,Su,80,,21,,,,,,2,,,,13.3
Bonneville,1953-06-11,Su,98,,33,,,,,,,,,,13.9
Bonneville,1953-06-12,Su,115,,35,,,,,,,,,,13.9
Bonneville,1953-06-13,Su,282,,49,,,,,,3,,,,13.9
Bonneville,1953-06-14,Su,333,,60,,,,,,,,,,14.4
Bonneville,1953-06-15,Su,437,,95,,,,,,1,,,,14.4
Bonneville,1953-06-16,Su,446,,95,,,,,,6,,,,15
Bonneville,1953-06-17,Su,385,,69,,,,,,2,,,,14.4
Bonneville,1953-06-18,Su,395,,78,,1,,,,1,,,,14.4
Bonneville,1953-06-19,Su,405,,66,,,,,,,,,,14.4
Bonneville,1953-06-20,Su,517,,86,,,,,,2,,,,14.4
Bonneville,1953-06-21,Su,959,,176,,3,,,,14,,,,14.4
Bonneville,1953-06-22,Su,1129,,198,,73,,,1,9,,,,14.4
Bonneville,1953-06-23,Su,1289,,249,,99,,,,15,,,,14.4
Bonneville,1953-06-24,Su,2020,,314,,632,,,,3,,,,14.4
Bonneville,1953-06-25,Su,2821,,474,,1836,,,9,18,,,,14.4
Bonneville,1953-06-26,Su,3897,,576,,3306,,,,7,,,,14.4
Bonneville,1953-06-27,Su,3011,,565,,5953,,,2,34,,,,14.4
Bonneville,1953-06-28,Su,3056,,608,,10942,,,8,85,,,,14.4
Bonneville,1953-06-29,Su,1751,,608,,9245,,,,61,,,,15
Bonneville,1953-06-30,Su,1305,,532,,13621,,,33,354,,,,15.6
Bonneville,1953-07-01,Su,1071,,628,,13302,,,79,143,,,,15.6
Bonneville,1953-07-02,Su,1084,,789,,14735,,,57,255,,,,15.6
Bonneville,1953-07-03,Su,1238,,835,,12781,,,21,329,,,,15.6
Bonneville,1953-07-04,Su,1252,,1119,,15541,,,88,410,,,,16.1
Bonneville,1953-07-05,Su,1620,,1079,,20351,,,256,659,,,,16.7
Bonneville,1953-07-06,Su,1587,,1214,,13128,,,678,1017,,,,18.3
Bonneville,1953-07-07,Su,1077,,1198,,9919,,,144,790,,,,17.2
Bonneville,1953-07-08,Su,1114,,1371,,11499,,,65,503,,,,17.8
Bonneville,1953-07-09,Su,1185,,1744,,11204,,,1786,2154,,,,17.8
Bonneville,1953-07-10,Su,995,,1718,,9855,,,1328,1765,,,,17.8
Bonneville,1953-07-11,Su,1106,,2348,,7917,,,424,493,,,,17.8
Bonneville,1953-07-12,Su,1473,,2678,,6244,,,973,371,,,,18.3
Bonneville,1953-07-13,Su,1520,,3173,,5289,,,954,267,,,,18.3
Bonneville,1953-07-14,Su,1434,,3093,,4745,,,654,285,,,,18.3
