Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
Bonneville,1940-01-01,,,,,,,,,,,,,,
Bonneville,1940-01-02,,,,,,,,,,,,,,
Bonneville,1940-01-03,,,,,,,,,,,,,,
Bonneville,1940-01-04,,,,1,,,,,,,,,,
Bonneville,1940-01-05,,,,1,,,,,,,,,,
Bonneville,1940-01-06,,,,,,,,,,,,,,
Bonneville,1940-01-07,,,,1,,,,,,,,,,
Bonneville,1940-01-08,,,,,,,,,,,,,,
Bonneville,1940-01-09,,,,,,,,,,,,,,
Bonneville,1940-01-10,,,,,,,,,,,,,,
Bonneville,1940-01-11,,,,,,,,,,,,,,
Bonneville,1940-01-12,,,,2,,,,,,,,,,
Bonneville,1940-01-13,,,,,,,,,,,,,,
Bonneville,1940-01-14,,,,,,,,,,,,,,
Bonneville,1940-01-15,,,,,,,,,,,,,,
Bonneville,1940-01-16,,,,,,,,,,,,,,
Bonneville,1940-01-17,,,,,,,,,,,,,,
Bonneville,1940-01-18,,,,,,,,,,,,,,
Bonneville,1940-01-19,,,,,,,,,,,,,,
Bonneville,1940-01-20,,,,,,,,,,,,,,
Bonneville,1940-01-21,,,,,,,,,,,,,,
Bonneville,1940-01-22,,,,,,,,,,,,,,
Bonneville,1940-01-23,,,,,,,,,,,,,,
Bonneville,1940-01-24,,,,,,,,,,,,,,
Bonneville,1940-01-25,,,,,,,,,,,,,,
Bonneville,1940-01-26,,,,,,,,,,,,,,
Bonneville,1940-01-27,,,,,,,,,,,,,,
Bonneville,1940-01-28,,,,,,,,,,,,,,
Bonneville,1940-01-29,,,,,,,,,,,,,,
Bonneville,1940-01-30,,,,,,,,,,,,,,
Bonneville,1940-01-31,,,,,,,,,,,,,,
Bonneville,1940-02-01,,,,,,,,,,,,,,
Bonneville,1940-02-02,,,,,,,,,,,,,,
Bonneville,1940-02-03,,,,,,,,,,,,,,
Bonneville,1940-02-04,,,,,,,,,,,,,,
Bonneville,1940-02-05,,,,,,,,,,,,,,
Bonneville,1940-02-06,,,,5,,,,,,,,,,
Bonneville,1940-02-07,,,,4,,,,,,,,,,
Bonneville,1940-02-08,,,,1,,,,,,,,,,
Bonneville,1940-02-09,,,,4,,,,,,,,,,
Bonneville,1940-02-10,,,,6,,,,,,,,,,
Bonneville,1940-02-11,,,,3,,,,,,,,,,
Bonneville,1940-02-12,,,,5,,,,,,,,,,
Bonneville,1940-02-13,,,,5,,,,,,,,,,
Bonneville,1940-02-14,,,,1,,,,,,,,,,
Bonneville,1940-02-15,,,,4,,,,,,,,,,
Bonneville,1940-02-16,,,,3,,,,,,,,,,
Bonneville,1940-02-17,,,,1,,,,,,,,,,
Bonneville,1940-02-18,,,,3,,,,,,,,,,
Bonneville,1940-02-19,,,,10,,,,,,,,,,
Bonneville,1940-02-20,,,,4,,,,,,,,,,
Bonneville,1940-02-21,,,,7,,,,,,,,,,
Bonneville,1940-02-22,,,,1,,,,,,,,,,
Bonneville,1940-02-23,,,,,,,,,,,,,,
Bonneville,1940-02-24,,,,,,,,,,,,,,
Bonneville,1940-02-25,,,,16,,,,,,,,,,
Bonneville,1940-02-26,,,,3,,,,,,,,,,
Bonneville,1940-02-27,,,,1,,,,,,,,,,
Bonneville,1940-02-28,,,,9,,,,,,,,,,
Bonneville,1940-02-29,,,,,,,,,,,,,,
Bonneville,1940-03-01,,,,,,,,,,,,,,
Bonneville,1940-03-02,,,,1,,,,,,,,,,
Bonneville,1940-03-03,,,,,,,,,,,,,,
Bonneville,1940-03-04,,,,1,,,,,,,,,,
Bonneville,1940-03-05,,,,3,,,,,,,,,,
Bonneville,1940-03-06,,,,,,,,,,,,,,
Bonneville,1940-03-07,,,,,,,,,,,,,,
Bonneville,1940-03-08,,5,,3,,,,,,,,,,
Bonneville,1940-03-09,,2,,10,,,,,,,,,,
Bonneville,1940-03-10,,2,,16,,,,,,,,,,
Bonneville,1940-03-11,,,,4,,,,,,,,,,
Bonneville,1940-03-12,,1,,8,,,,,,,,,,
Bonneville,1940-03-13,,3,,6,,,,,,,,,,
Bonneville,1940-03-14,,7,,5,,,,,,,,,,
Bonneville,1940-03-15,Sp,5,,1,,,,,,,,,,
Bonneville,1940-03-16,Sp,4,,5,,,,,,,,,,
Bonneville,1940-03-17,Sp,17,,9,,,,,,,,,,
Bonneville,1940-03-18,Sp,21,,14,,,,,,,,,,
Bonneville,1940-03-19,Sp,5,,8,,,,,,,,,,
Bonneville,1940-03-20,Sp,4,,9,,,,,,,,,,
Bonneville,1940-03-21,Sp,3,,24,,,,,,,,,,
Bonneville,1940-03-22,Sp,,,29,,,,,,,,,,
Bonneville,1940-03-23,Sp,26,,75,,,,,,,,,,
Bonneville,1940-03-24,Sp,35,,383,,,,,,,,,,
Bonneville,1940-03-25,Sp,32,,88,,,,,,,,,,
Bonneville,1940-03-26,Sp,42,,251,,,,,,,,,,
Bonneville,1940-03-27,Sp,37,,158,,,,,,,,,,
Bonneville,1940-03-28,Sp,79,,241,,,,,,,,,,
Bonneville,1940-03-29,Sp,77,,71,,,,,,,,,,
Bonneville,1940-03-30,Sp,80,,232,,,,,,,,,,
Bonneville,1940-03-31,Sp,17,,33,,,,,,,,,,
Bonneville,1940-04-01,Sp,21,,27,,,,,,,,,,
Bonneville,1940-04-02,Sp,5,,9,,,,,,,,,,
Bonneville,1940-04-03,Sp,3,,20,,,,,,,,,,
Bonneville,1940-04-04,Sp,18,,19,,,,,,,,,,
Bonneville,1940-04-05,Sp,9,,22,,,,,,,,,,
Bonneville,1940-04-06,Sp,13,,38,,,,,,,,,,
Bonneville,1940-04-07,Sp,11,,37,,,,,,,,,,
Bonneville,1940-04-08,Sp,8,,47,,,,,,,,,,
Bonneville,1940-04-09,Sp,17,,69,,,,,,,,,,
Bonneville,1940-04-10,Sp,192,,264,,,,,,,,,,
Bonneville,1940-04-11,Sp,279,,181,,,,,,,,,,
Bonneville,1940-04-12,Sp,312,,163,,,,,,,,,,
Bonneville,1940-04-13,Sp,111,,70,,,,,,,,,,
Bonneville,1940-04-14,Sp,274,,129,,,,,,,,,,
Bonneville,1940-04-15,Sp,845,,180,,,,,,,,,,
Bonneville,1940-04-16,Sp,1363,,365,,,,,,,,,,
Bonneville,1940-04-17,Sp,2032,,364,,,,,,,,,,
Bonneville,1940-04-18,Sp,2611,,416,,,,,,,,,,
Bonneville,1940-04-19,Sp,3303,,337,,,,,,,,,,
Bonneville,1940-04-20,Sp,3044,,251,,,,,,,,,,
Bonneville,1940-04-21,Sp,2059,,127,,,,,,,,,,
Bonneville,1940-04-22,Sp,1980,,126,,,,,,,,,,
Bonneville,1940-04-23,Sp,2390,,156,,,,,,,,,,
Bonneville,1940-04-24,Sp,2284,,128,,,,,,,,,,
Bonneville,1940-04-25,Sp,3121,,156,,,,,,,,,,
Bonneville,1940-04-26,Sp,2401,,114,,,,,,,,,,
Bonneville,1940-04-27,Sp,2191,,97,,,,,,,,,,
Bonneville,1940-04-28,Sp,2429,,74,,,,,,,,,,
Bonneville,1940-04-29,Sp,1727,,66,,,,,,,,,,
Bonneville,1940-04-30,Sp,2200,,73,,,,,,,,,,
Bonneville,1940-05-01,Sp,1305,,61,,,,,,,,,,
Bonneville,1940-05-02,Sp,1974,,76,,,,,,,,,,
Bonneville,1940-05-03,Sp,3110,,57,,1,,,,,,,,
Bonneville,1940-05-04,Sp,1950,,47,,6,,,,,,,,
Bonneville,1940-05-05,Sp,1846,,62,,2,,,,,,,,
Bonneville,1940-05-06,Sp,1547,,26,,6,,,,,,,,
Bonneville,1940-05-07,Sp,1401,,46,,6,,,,,,,,
Bonneville,1940-05-08,Sp,1568,,57,,6,,,,,,,,
Bonneville,1940-05-09,Sp,635,,46,,1,,,,,,,,
Bonneville,1940-05-10,Sp,742,,38,,5,,,,,,,,
Bonneville,1940-05-11,Sp,837,,44,,5,,,,,,,,
Bonneville,1940-05-12,Sp,657,,21,,3,,,,,,,,
Bonneville,1940-05-13,Sp,697,,12,,5,,,,,,,,
Bonneville,1940-05-14,Sp,709,,29,,3,,,,,,,,
Bonneville,1940-05-15,Sp,465,,28,,3,,,,,,,,
Bonneville,1940-05-16,Sp,214,,15,,1,,,,,,,,
Bonneville,1940-05-17,Sp,342,,24,,4,,,,,,,,
Bonneville,1940-05-18,Sp,656,,25,,10,,,,,,,,
Bonneville,1940-05-19,Sp,1257,,26,,9,,,,,,,,
Bonneville,1940-05-20,Sp,1172,,27,,27,,,,,,,,
Bonneville,1940-05-21,Sp,1196,,25,,15,,,,,,,,
Bonneville,1940-05-22,Sp,806,,20,,4,,,,,,,,
Bonneville,1940-05-23,Sp,560,,22,,6,,,,,,,,
Bonneville,1940-05-24,Sp,646,,17,,13,,,,,,,,
Bonneville,1940-05-25,Sp,589,,18,,11,,,,,,,,
Bonneville,1940-05-26,Sp,380,,21,,7,,,,,,,,
Bonneville,1940-05-27,Sp,199,,14,,6,,,,,,,,
Bonneville,1940-05-28,Sp,274,,25,,15,,,,,,,,
Bonneville,1940-05-29,Sp,283,,28,,15,,,,,,,,
Bonneville,1940-05-30,Sp,309,,15,,4,,,,,,,,
Bonneville,1940-05-31,Sp,295,,26,,7,,,,,,,,
Bonneville,1940-06-01,Su,273,,43,,10,,,,,,,,
Bonneville,1940-06-02,Su,175,,23,,11,,,,,,,,
Bonneville,1940-06-03,Su,118,,25,,9,,,,,,,,
Bonneville,1940-06-04,Su,95,,11,,14,,,,,,,,
Bonneville,1940-06-05,Su,87,,18,,12,,,,,,,,
Bonneville,1940-06-06,Su,153,,22,,15,,,,,,,,
Bonneville,1940-06-07,Su,272,,40,,12,,,,,,,,
Bonneville,1940-06-08,Su,214,,30,,24,,,,,,,,
Bonneville,1940-06-09,Su,270,,44,,29,,,,,,,,
Bonneville,1940-06-10,Su,224,,35,,48,,,,,,,,
Bonneville,1940-06-11,Su,167,,27,,55,,,,,,,,
Bonneville,1940-06-12,Su,205,,53,,210,,,,,,,,
Bonneville,1940-06-13,Su,183,,51,,388,,,,,,,,
Bonneville,1940-06-14,Su,272,,46,,609,,,,,,,,
Bonneville,1940-06-15,Su,256,,89,,987,,,,,,,,
Bonneville,1940-06-16,Su,239,,58,,1060,,,,,,,,
Bonneville,1940-06-17,Su,215,,70,,988,,,,,,,,
Bonneville,1940-06-18,Su,268,,105,,1492,,,,,,,,
Bonneville,1940-06-19,Su,288,,135,,1605,,,,,,,,
Bonneville,1940-06-20,Su,272,,78,,1605,,,,,,,,
Bonneville,1940-06-21,Su,331,,129,,2429,,,,,,,,
Bonneville,1940-06-22,Su,255,,182,,3322,,,,,,,,
Bonneville,1940-06-23,Su,217,,226,,4235,,,,,,,,
Bonneville,1940-06-24,Su,180,,264,,5355,,,,,,,,
Bonneville,1940-06-25,Su,235,,248,,5778,,,,,,,,
Bonneville,1940-06-26,Su,267,,354,,5339,,,,,,,,
Bonneville,1940-06-27,Su,229,,407,,6018,,,,,,,,
Bonneville,1940-06-28,Su,276,,475,,5501,,,,,,,,
Bonneville,1940-06-29,Su,376,,643,,5108,,,,,,,,
Bonneville,1940-06-30,Su,416,,558,,7371,,,,,,,,
Bonneville,1940-07-01,Su,375,,500,,7086,,,,,,,,
Bonneville,1940-07-02,Su,533,,767,,5372,,,,,,,,
Bonneville,1940-07-03,Su,562,,1039,,4958,,,,,,,,
Bonneville,1940-07-04,Su,810,,1501,,6084,,,,,,,,
