Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
Bonneville,1976-03-15,Sp,4,,32,,,,,,,,,,5
Bonneville,1976-03-16,Sp,1,,61,,,,,,,,,,5
Bonneville,1976-03-17,Sp,1,,59,,,,,,,,,,5
Bonneville,1976-03-18,Sp,4,,150,,,,,,,,,,5
Bonneville,1976-03-19,Sp,16,,83,,,,,,,,,,5.6
Bonneville,1976-03-20,Sp,19,,126,,,,,,,,,,5.6
Bonneville,1976-03-21,Sp,33,,119,,,,,,,,,,5.6
Bonneville,1976-03-22,Sp,27,,100,,,,,,,,,,5.6
Bonneville,1976-03-23,Sp,29,,48,,,,,,,,,,
Bonneville,1976-03-24,Sp,42,,55,,,,,,,,,,5.6
Bonneville,1976-03-25,Sp,62,,80,,,,,,,,,,5
Bonneville,1976-03-26,Sp,57,,61,,,,,,,,,,6.1
Bonneville,1976-03-27,Sp,30,,47,,,,,,,,,,6.1
Bonneville,1976-03-28,Sp,28,,41,,,,,,,,,,6.7
Bonneville,1976-03-29,Sp,82,,133,,,,,,,,,,6.7
Bonneville,1976-03-30,Sp,48,,56,,,,,,,,,,6.7
Bonneville,1976-03-31,Sp,104,,34,,,,,,,,,,6.7
Bonneville,1976-04-01,Sp,268,,29,,,,,,,,,,6.7
Bonneville,1976-04-02,Sp,236,,42,,,,,,,,,,6.7
Bonneville,1976-04-03,Sp,208,,50,,,,,,,,,,6.7
Bonneville,1976-04-04,Sp,357,,53,,,,,,,,,,7.2
Bonneville,1976-04-05,Sp,554,,109,,,,,,,,,,7.2
Bonneville,1976-04-06,Sp,974,,237,,,,,,,,,,7.8
Bonneville,1976-04-07,Sp,1199,,186,,,,,,,,,,7.8
Bonneville,1976-04-08,Sp,665,,87,,,,,,,,,,7.8
Bonneville,1976-04-09,Sp,2112,,242,,,,,,,,,,7.8
Bonneville,1976-04-10,Sp,796,,58,,,,,,,,,,7.8
Bonneville,1976-04-11,Sp,1549,,224,,,,,,,,,,
Bonneville,1976-04-12,Sp,3118,,161,,,,,,,,,,8.3
Bonneville,1976-04-13,Sp,2562,,160,,,,,,,,,,8.3
Bonneville,1976-04-14,Sp,1386,,102,,,,,,,,,,8.3
Bonneville,1976-04-15,Sp,827,,74,,,,,,,,,,8.9
Bonneville,1976-04-16,Sp,1146,,77,,,,,,,,,,8.9
Bonneville,1976-04-17,Sp,1100,,86,,,,,,,,,,8.9
Bonneville,1976-04-18,Sp,1693,,96,,,,,,,,,,8.9
Bonneville,1976-04-19,Sp,918,,57,,,,,,,,,,8.9
Bonneville,1976-04-20,Sp,1239,,97,,,,,,,,,,9.4
Bonneville,1976-04-21,Sp,1512,,105,,,,,,,,,,9.4
Bonneville,1976-04-22,Sp,979,,72,,,,,,,,,,9.4
Bonneville,1976-04-23,Sp,1133,,42,,,,,,,,,,9.4
Bonneville,1976-04-24,Sp,3219,,143,,,,,,,,,,9.4
Bonneville,1976-04-25,Sp,4777,,113,,,,,,,,,,9.4
Bonneville,1976-04-26,Sp,4449,,122,,,,,,,,,,9.4
Bonneville,1976-04-27,Sp,3746,,147,,,,,,,,,,9.4
Bonneville,1976-04-28,Sp,4074,,137,,,,,,,,,,9.4
Bonneville,1976-04-29,Sp,6556,,173,,,,,,,,,,9.4
Bonneville,1976-04-30,Sp,5626,,178,,,,,,,,,,10
Bonneville,1976-05-01,Sp,4843,,151,,,,,,,,,,
Bonneville,1976-05-02,Sp,4089,,166,,,,,,,,,,10
Bonneville,1976-05-03,Sp,4386,,166,,,,,,,,,,10.6
Bonneville,1976-05-04,Sp,3258,,102,,,,,,,,,,11.1
Bonneville,1976-05-05,Sp,2964,,140,,,,,,,,,,10.6
Bonneville,1976-05-06,Sp,3023,,139,,,,,,,,,,10.6
Bonneville,1976-05-07,Sp,3362,,185,,,,,,,,,,11.7
Bonneville,1976-05-08,Sp,2997,,154,,,,,,,,,,11.7
Bonneville,1976-05-09,Sp,2378,,145,,,,,,,,,,12.8
Bonneville,1976-05-10,Sp,1682,,118,,,,,,,,,,12.8
Bonneville,1976-05-11,Sp,1331,,77,,,,,,,,,,12.8
Bonneville,1976-05-12,Sp,1198,,80,,,,,,,,,,12.8
Bonneville,1976-05-13,Sp,2225,,118,,,,,,,,,,13.3
Bonneville,1976-05-14,Sp,1470,,58,,,,,,,,,,13.3
Bonneville,1976-05-15,Sp,1430,,121,,,,,,,,,,13.3
Bonneville,1976-05-16,Sp,1044,,120,,,,,,,,,,13.3
Bonneville,1976-05-17,Sp,1175,,65,,,,,,,,,,13.3
Bonneville,1976-05-18,Sp,1293,,115,,1,,,,,,,,13.3
Bonneville,1976-05-19,Sp,1197,,116,,,,,,,,,,13.3
Bonneville,1976-05-20,Sp,1223,,143,,,,,,,,,,13.3
Bonneville,1976-05-21,Sp,1107,,104,,2,,,,,,,,13.3
Bonneville,1976-05-22,Sp,1042,,99,,5,,,1,,,,,13.3
Bonneville,1976-05-23,Sp,661,,119,,12,,,,,,,,13.3
Bonneville,1976-05-24,Sp,577,,102,,7,,,,,,,,13.3
Bonneville,1976-05-25,Sp,651,,113,,11,,,,,,,,13.3
Bonneville,1976-05-26,Sp,798,,129,,10,,,,,,,,
